START
config	20	360
batch	0	test_loss	2.67462e+06
batch	20	test_loss	1.95302e+06
batch	40	test_loss	1.27335e+06
batch	60	test_loss	700746.0
batch	80	test_loss	360267.0
batch	100	test_loss	209083.0
batch	120	test_loss	151111.0
batch	140	test_loss	127964.0
batch	160	test_loss	116951.0
batch	180	test_loss	109358.0
batch	200	test_loss	101656.0
batch	220	test_loss	94760.8
batch	240	test_loss	88665.6
batch	260	test_loss	83087.8
batch	280	test_loss	77596.1
batch	300	test_loss	72352.8
batch	320	test_loss	67641.6
batch	340	test_loss	63447.9
batch	360	test_loss	59581.7
batch	380	test_loss	56155.0
batch	400	test_loss	53186.4
batch	420	test_loss	50654.4
batch	440	test_loss	48226.4
batch	460	test_loss	46025.6
batch	480	test_loss	44166.4
batch	500	test_loss	42569.2
batch	520	test_loss	41083.9
batch	540	test_loss	39895.4
batch	560	test_loss	38750.7
batch	580	test_loss	37728.4
batch	600	test_loss	36881.8
batch	620	test_loss	36211.2
batch	640	test_loss	35569.1
batch	660	test_loss	34985.6
batch	680	test_loss	34505.6
batch	700	test_loss	34077.1
batch	720	test_loss	33602.8
batch	740	test_loss	33163.6
batch	760	test_loss	32646.0
batch	780	test_loss	32221.6
batch	800	test_loss	31850.1
batch	820	test_loss	31572.8
batch	840	test_loss	31307.0
batch	860	test_loss	31102.4
batch	880	test_loss	30937.4
batch	900	test_loss	30773.5
batch	920	test_loss	30645.0
batch	940	test_loss	30478.7
batch	960	test_loss	30397.7
batch	980	test_loss	30277.7
batch	1000	test_loss	30194.5
batch	1020	test_loss	30105.7
batch	1040	test_loss	30033.4
batch	1060	test_loss	29995.4
batch	1080	test_loss	29874.4
batch	1100	test_loss	29819.8
batch	1120	test_loss	29786.1
batch	1140	test_loss	29728.1
batch	1160	test_loss	29631.4
batch	1180	test_loss	29596.5
batch	1200	test_loss	29553.7
batch	1220	test_loss	29471.9
batch	1240	test_loss	29456.3
batch	1260	test_loss	29405.1
batch	1280	test_loss	29327.1
batch	1300	test_loss	29316.4
batch	1320	test_loss	29259.1
batch	1340	test_loss	29203.9
batch	1360	test_loss	29149.9
batch	1380	test_loss	29119.9
batch	1400	test_loss	29088.6
batch	1420	test_loss	29042.6
batch	1440	test_loss	29005.1
batch	1460	test_loss	28946.6
batch	1480	test_loss	28909.6
batch	1500	test_loss	28881.3
batch	1520	test_loss	28854.3
batch	1540	test_loss	28812.6
batch	1560	test_loss	28796.1
batch	1580	test_loss	28753.3
batch	1600	test_loss	28727.2
batch	1620	test_loss	28650.2
batch	1640	test_loss	28664.8
batch	1660	test_loss	28605.8
batch	1680	test_loss	28580.6
batch	1700	test_loss	28528.8
batch	1720	test_loss	28503.9
batch	1740	test_loss	28478.3
batch	1760	test_loss	28453.2
batch	1780	test_loss	28399.9
batch	1800	test_loss	28406.1
batch	1820	test_loss	28366.3
batch	1840	test_loss	28311.1
batch	1860	test_loss	28275.7
batch	1880	test_loss	28253.6
batch	1900	test_loss	28225.8
batch	1920	test_loss	28228.8
batch	1940	test_loss	28173.0
batch	1960	test_loss	28144.4
batch	1980	test_loss	28136.2
batch	2000	test_loss	28102.6
batch	2020	test_loss	28069.6
batch	2040	test_loss	28044.7
batch	2060	test_loss	28022.5
batch	2080	test_loss	27982.9
batch	2100	test_loss	27931.2
batch	2120	test_loss	27914.5
batch	2140	test_loss	27897.3
batch	2160	test_loss	27875.5
batch	2180	test_loss	27838.3
batch	2200	test_loss	27797.0
batch	2220	test_loss	27773.0
batch	2240	test_loss	27747.3
batch	2260	test_loss	27721.5
batch	2280	test_loss	27715.3
batch	2300	test_loss	27716.0
batch	2320	test_loss	27662.5
batch	2340	test_loss	27634.4
batch	2360	test_loss	27628.3
batch	2380	test_loss	27593.1
batch	2400	test_loss	27577.4
batch	2420	test_loss	27545.3
batch	2440	test_loss	27547.6
batch	2460	test_loss	27485.8
batch	2480	test_loss	27477.2
batch	2500	test_loss	27449.9
batch	2520	test_loss	27429.9
batch	2540	test_loss	27415.6
batch	2560	test_loss	27381.0
batch	2580	test_loss	27343.4
batch	2600	test_loss	27328.2
batch	2620	test_loss	27330.2
batch	2640	test_loss	27312.9
batch	2660	test_loss	27296.3
batch	2680	test_loss	27274.3
batch	2700	test_loss	27240.8
batch	2720	test_loss	27254.0
batch	2740	test_loss	27230.6
batch	2760	test_loss	27185.3
batch	2780	test_loss	27174.9
batch	2800	test_loss	27176.0
batch	2820	test_loss	27134.7
batch	2840	test_loss	27107.0
batch	2860	test_loss	27094.1
batch	2880	test_loss	27081.8
batch	2900	test_loss	27066.5
batch	2920	test_loss	27065.3
batch	2940	test_loss	27042.8
batch	2960	test_loss	27021.7
batch	2980	test_loss	27024.2
batch	3000	test_loss	26980.8
batch	3020	test_loss	26971.2
batch	3040	test_loss	26961.5
batch	3060	test_loss	26927.0
batch	3080	test_loss	26930.6
batch	3100	test_loss	26951.2
batch	3120	test_loss	26891.9
batch	3140	test_loss	26873.2
batch	3160	test_loss	26876.2
batch	3180	test_loss	26841.1
batch	3200	test_loss	26810.1
batch	3220	test_loss	26816.0
batch	3240	test_loss	26818.9
batch	3260	test_loss	26777.4
batch	3280	test_loss	26758.9
batch	3300	test_loss	26752.1
batch	3320	test_loss	26769.6
batch	3340	test_loss	26718.6
batch	3360	test_loss	26711.9
batch	3380	test_loss	26725.1
batch	3400	test_loss	26694.2
batch	3420	test_loss	26675.3
batch	3440	test_loss	26673.8
batch	3460	test_loss	26640.2
batch	3480	test_loss	26636.6
batch	3500	test_loss	26620.3
batch	3520	test_loss	26600.4
batch	3540	test_loss	26598.6
batch	3560	test_loss	26569.5
batch	3580	test_loss	26563.0
batch	3600	test_loss	26549.0
batch	3620	test_loss	26534.0
batch	3640	test_loss	26538.9
batch	3660	test_loss	26525.4
batch	3680	test_loss	26509.7
batch	3700	test_loss	26521.0
batch	3720	test_loss	26478.2
batch	3740	test_loss	26460.1
batch	3760	test_loss	26457.6
batch	3780	test_loss	26430.5
batch	3800	test_loss	26430.5
batch	3820	test_loss	26412.7
batch	3840	test_loss	26386.7
batch	3860	test_loss	26423.2
batch	3880	test_loss	26363.4
batch	3900	test_loss	26378.6
batch	3920	test_loss	26366.0
batch	3940	test_loss	26336.7
batch	3960	test_loss	26310.7
batch	3980	test_loss	26310.2
batch	4000	test_loss	26305.1
batch	4020	test_loss	26281.8
batch	4040	test_loss	26258.2
batch	4060	test_loss	26274.4
batch	4080	test_loss	26279.4
batch	4100	test_loss	26267.7
batch	4120	test_loss	26224.6
batch	4140	test_loss	26213.5
batch	4160	test_loss	26198.6
batch	4180	test_loss	26210.1
batch	4200	test_loss	26203.8
batch	4220	test_loss	26185.9
batch	4240	test_loss	26160.4
batch	4260	test_loss	26197.8
batch	4280	test_loss	26131.3
batch	4300	test_loss	26161.9
batch	4320	test_loss	26105.7
batch	4340	test_loss	26105.5
batch	4360	test_loss	26110.9
batch	4380	test_loss	26105.5
batch	4400	test_loss	26094.8
batch	4420	test_loss	26077.4
batch	4440	test_loss	26055.6
batch	4460	test_loss	26043.5
batch	4480	test_loss	26030.2
batch	4500	test_loss	26031.4
batch	4520	test_loss	26025.7
batch	4540	test_loss	26004.7
batch	4560	test_loss	26028.9
batch	4580	test_loss	25985.7
batch	4600	test_loss	25985.9
batch	4620	test_loss	25978.5
batch	4640	test_loss	25952.7
batch	4660	test_loss	25951.3
batch	4680	test_loss	25956.3
batch	4700	test_loss	25961.7
batch	4720	test_loss	25929.1
batch	4740	test_loss	25923.5
batch	4760	test_loss	25907.3
batch	4780	test_loss	25899.9
batch	4800	test_loss	25881.3
batch	4820	test_loss	25874.4
batch	4840	test_loss	25874.0
batch	4860	test_loss	25866.8
batch	4880	test_loss	25855.3
batch	4900	test_loss	25896.2
batch	4920	test_loss	25871.6
batch	4940	test_loss	25859.3
batch	4960	test_loss	25847.5
batch	4980	test_loss	25870.9
batch	5000	test_loss	25827.7
batch	5020	test_loss	25813.1
batch	5040	test_loss	25826.9
batch	5060	test_loss	25784.6
batch	5080	test_loss	25800.0
batch	5100	test_loss	25784.8
batch	5120	test_loss	25782.9
batch	5140	test_loss	25785.6
batch	5160	test_loss	25754.9
batch	5180	test_loss	25766.9
batch	5200	test_loss	25740.1
batch	5220	test_loss	25732.2
batch	5240	test_loss	25756.7
batch	5260	test_loss	25735.7
batch	5280	test_loss	25733.4
batch	5300	test_loss	25730.1
batch	5320	test_loss	25703.2
batch	5340	test_loss	25710.3
batch	5360	test_loss	25686.1
batch	5380	test_loss	25686.7
batch	5400	test_loss	25682.3
batch	5420	test_loss	25685.6
batch	5440	test_loss	25672.6
batch	5460	test_loss	25687.6
batch	5480	test_loss	25677.5
batch	5500	test_loss	25660.8
batch	5520	test_loss	25688.5
batch	5540	test_loss	25642.2
batch	5560	test_loss	25657.7
batch	5580	test_loss	25618.5
batch	5600	test_loss	25621.7
batch	5620	test_loss	25659.4
batch	5640	test_loss	25648.2
batch	5660	test_loss	25611.4
batch	5680	test_loss	25616.8
batch	5700	test_loss	25645.7
batch	5720	test_loss	25607.3
batch	5740	test_loss	25598.7
batch	5760	test_loss	25612.4
batch	5780	test_loss	25602.8
batch	5800	test_loss	25614.9
batch	5820	test_loss	25572.4
batch	5840	test_loss	25569.2
batch	5860	test_loss	25580.2
STOP
START
config	20	360
batch	0	test_loss	25574.8
batch	20	test_loss	25574.8
batch	40	test_loss	25547.0
batch	60	test_loss	25594.6
batch	80	test_loss	25540.4
batch	100	test_loss	25542.2
batch	120	test_loss	25551.6
batch	140	test_loss	25577.4
batch	160	test_loss	25514.0
batch	180	test_loss	25518.9
batch	200	test_loss	25570.1
batch	220	test_loss	25536.0
batch	240	test_loss	25534.2
batch	260	test_loss	25511.6
batch	280	test_loss	25560.2
batch	300	test_loss	25504.5
batch	320	test_loss	25517.2
batch	340	test_loss	25507.4
batch	360	test_loss	25497.5
batch	380	test_loss	25489.2
batch	400	test_loss	25481.6
batch	420	test_loss	25489.4
batch	440	test_loss	25532.1
batch	460	test_loss	25505.4
batch	480	test_loss	25501.5
batch	500	test_loss	25488.7
batch	520	test_loss	25471.9
batch	540	test_loss	25532.6
batch	560	test_loss	25487.7
batch	580	test_loss	25483.0
batch	600	test_loss	25493.0
batch	620	test_loss	25453.5
batch	640	test_loss	25454.3
batch	660	test_loss	25480.4
batch	680	test_loss	25485.6
batch	700	test_loss	25452.0
batch	720	test_loss	25463.8
batch	740	test_loss	25459.2
batch	760	test_loss	25458.2
batch	780	test_loss	25451.3
batch	800	test_loss	25447.9
batch	820	test_loss	25454.4
batch	840	test_loss	25450.3
batch	860	test_loss	25448.8
batch	880	test_loss	25432.6
batch	900	test_loss	25462.3
batch	920	test_loss	25453.1
batch	940	test_loss	25421.7
batch	960	test_loss	25421.9
batch	980	test_loss	25416.5
batch	1000	test_loss	25404.1
batch	1020	test_loss	25409.4
batch	1040	test_loss	25428.1
batch	1060	test_loss	25395.5
batch	1080	test_loss	25414.6
batch	1100	test_loss	25423.1
batch	1120	test_loss	25449.3
batch	1140	test_loss	25419.7
batch	1160	test_loss	25397.5
batch	1180	test_loss	25398.4
batch	1200	test_loss	25403.2
batch	1220	test_loss	25384.5
batch	1240	test_loss	25401.4
batch	1260	test_loss	25399.6
batch	1280	test_loss	25400.0
batch	1300	test_loss	25393.4
batch	1320	test_loss	25382.8
batch	1340	test_loss	25417.4
batch	1360	test_loss	25397.9
batch	1380	test_loss	25407.1
batch	1400	test_loss	25400.5
batch	1420	test_loss	25378.3
batch	1440	test_loss	25392.6
batch	1460	test_loss	25386.3
batch	1480	test_loss	25369.4
batch	1500	test_loss	25369.7
batch	1520	test_loss	25363.1
batch	1540	test_loss	25368.3
batch	1560	test_loss	25355.3
batch	1580	test_loss	25372.9
batch	1600	test_loss	25361.8
batch	1620	test_loss	25391.2
batch	1640	test_loss	25358.7
batch	1660	test_loss	25371.0
batch	1680	test_loss	25366.9
batch	1700	test_loss	25368.4
batch	1720	test_loss	25411.3
batch	1740	test_loss	25366.9
batch	1760	test_loss	25417.5
batch	1780	test_loss	25358.7
batch	1800	test_loss	25340.0
batch	1820	test_loss	25347.1
batch	1840	test_loss	25365.4
batch	1860	test_loss	25370.2
batch	1880	test_loss	25352.0
batch	1900	test_loss	25377.8
batch	1920	test_loss	25372.3
batch	1940	test_loss	25333.4
batch	1960	test_loss	25350.7
batch	1980	test_loss	25342.7
batch	2000	test_loss	25330.9
batch	2020	test_loss	25354.3
batch	2040	test_loss	25355.8
batch	2060	test_loss	25343.2
batch	2080	test_loss	25322.4
batch	2100	test_loss	25339.0
batch	2120	test_loss	25340.7
batch	2140	test_loss	25326.9
batch	2160	test_loss	25337.2
batch	2180	test_loss	25328.5
batch	2200	test_loss	25317.2
batch	2220	test_loss	25353.0
batch	2240	test_loss	25337.9
batch	2260	test_loss	25352.3
batch	2280	test_loss	25327.6
batch	2300	test_loss	25334.6
batch	2320	test_loss	25330.4
batch	2340	test_loss	25334.9
batch	2360	test_loss	25328.1
batch	2380	test_loss	25333.1
batch	2400	test_loss	25330.0
batch	2420	test_loss	25322.3
batch	2440	test_loss	25313.2
batch	2460	test_loss	25339.7
batch	2480	test_loss	25318.4
batch	2500	test_loss	25337.9
batch	2520	test_loss	25335.0
batch	2540	test_loss	25317.7
batch	2560	test_loss	25308.6
batch	2580	test_loss	25314.1
batch	2600	test_loss	25306.1
batch	2620	test_loss	25319.2
batch	2640	test_loss	25325.9
batch	2660	test_loss	25319.1
batch	2680	test_loss	25310.2
batch	2700	test_loss	25309.8
batch	2720	test_loss	25327.1
batch	2740	test_loss	25322.9
batch	2760	test_loss	25306.0
batch	2780	test_loss	25314.9
batch	2800	test_loss	25317.9
batch	2820	test_loss	25313.9
batch	2840	test_loss	25317.8
batch	2860	test_loss	25325.5
batch	2880	test_loss	25287.5
batch	2900	test_loss	25325.4
batch	2920	test_loss	25322.4
batch	2940	test_loss	25297.0
batch	2960	test_loss	25343.1
batch	2980	test_loss	25315.5
batch	3000	test_loss	25324.3
batch	3020	test_loss	25303.5
batch	3040	test_loss	25302.0
batch	3060	test_loss	25306.5
batch	3080	test_loss	25322.8
batch	3100	test_loss	25333.7
batch	3120	test_loss	25294.0
batch	3140	test_loss	25307.2
batch	3160	test_loss	25308.1
batch	3180	test_loss	25290.8
batch	3200	test_loss	25318.9
batch	3220	test_loss	25298.4
batch	3240	test_loss	25292.0
batch	3260	test_loss	25307.7
batch	3280	test_loss	25308.6
batch	3300	test_loss	25296.9
batch	3320	test_loss	25312.4
batch	3340	test_loss	25297.4
batch	3360	test_loss	25312.7
batch	3380	test_loss	25320.3
batch	3400	test_loss	25314.6
batch	3420	test_loss	25307.7
batch	3440	test_loss	25290.6
batch	3460	test_loss	25313.2
batch	3480	test_loss	25303.0
batch	3500	test_loss	25311.2
batch	3520	test_loss	25293.8
batch	3540	test_loss	25282.3
batch	3560	test_loss	25284.4
batch	3580	test_loss	25332.9
batch	3600	test_loss	25300.3
batch	3620	test_loss	25281.0
batch	3640	test_loss	25311.5
batch	3660	test_loss	25295.9
batch	3680	test_loss	25294.2
batch	3700	test_loss	25295.1
batch	3720	test_loss	25297.5
batch	3740	test_loss	25278.6
batch	3760	test_loss	25277.2
batch	3780	test_loss	25270.8
batch	3800	test_loss	25281.1
batch	3820	test_loss	25297.8
batch	3840	test_loss	25283.0
batch	3860	test_loss	25289.2
batch	3880	test_loss	25280.6
batch	3900	test_loss	25287.1
batch	3920	test_loss	25286.7
batch	3940	test_loss	25292.6
batch	3960	test_loss	25285.7
batch	3980	test_loss	25295.6
batch	4000	test_loss	25276.8
batch	4020	test_loss	25279.8
batch	4040	test_loss	25298.3
batch	4060	test_loss	25277.9
batch	4080	test_loss	25296.5
batch	4100	test_loss	25305.8
batch	4120	test_loss	25301.8
batch	4140	test_loss	25308.7
batch	4160	test_loss	25299.9
batch	4180	test_loss	25295.1
batch	4200	test_loss	25300.8
batch	4220	test_loss	25294.9
batch	4240	test_loss	25296.8
batch	4260	test_loss	25297.6
batch	4280	test_loss	25267.9
batch	4300	test_loss	25312.0
batch	4320	test_loss	25264.1
batch	4340	test_loss	25281.2
batch	4360	test_loss	25293.6
batch	4380	test_loss	25261.4
batch	4400	test_loss	25269.4
batch	4420	test_loss	25264.3
batch	4440	test_loss	25273.2
batch	4460	test_loss	25274.8
batch	4480	test_loss	25255.8
batch	4500	test_loss	25273.2
batch	4520	test_loss	25275.7
batch	4540	test_loss	25291.7
batch	4560	test_loss	25278.3
batch	4580	test_loss	25277.4
batch	4600	test_loss	25280.5
batch	4620	test_loss	25307.2
batch	4640	test_loss	25290.1
batch	4660	test_loss	25297.3
batch	4680	test_loss	25289.9
batch	4700	test_loss	25286.5
batch	4720	test_loss	25264.6
batch	4740	test_loss	25273.8
batch	4760	test_loss	25269.9
batch	4780	test_loss	25293.1
batch	4800	test_loss	25277.1
batch	4820	test_loss	25253.6
batch	4840	test_loss	25281.7
batch	4860	test_loss	25309.8
batch	4880	test_loss	25268.8
batch	4900	test_loss	25263.3
batch	4920	test_loss	25259.2
batch	4940	test_loss	25262.1
batch	4960	test_loss	25271.2
batch	4980	test_loss	25268.2
batch	5000	test_loss	25285.5
batch	5020	test_loss	25257.5
batch	5040	test_loss	25264.6
batch	5060	test_loss	25277.5
batch	5080	test_loss	25295.8
batch	5100	test_loss	25266.2
batch	5120	test_loss	25268.5
batch	5140	test_loss	25279.2
batch	5160	test_loss	25273.5
batch	5180	test_loss	25262.3
batch	5200	test_loss	25267.6
batch	5220	test_loss	25283.0
batch	5240	test_loss	25265.2
batch	5260	test_loss	25290.9
