START
config	60	360
batch	0	test_loss	2.76671e+06
batch	20	test_loss	962942.0
batch	40	test_loss	310641.0
batch	60	test_loss	116062.0
batch	80	test_loss	68026.0
batch	100	test_loss	55799.0
batch	120	test_loss	51770.9
batch	140	test_loss	50015.8
batch	160	test_loss	48970.2
batch	180	test_loss	48090.1
batch	200	test_loss	47246.1
batch	220	test_loss	46422.2
batch	240	test_loss	45633.9
batch	260	test_loss	44848.9
batch	280	test_loss	44057.8
batch	300	test_loss	43272.0
batch	320	test_loss	42535.3
batch	340	test_loss	41672.3
batch	360	test_loss	40908.8
batch	380	test_loss	40122.0
batch	400	test_loss	39265.7
batch	420	test_loss	38378.6
batch	440	test_loss	37597.5
batch	460	test_loss	36884.6
batch	480	test_loss	36177.7
batch	500	test_loss	35561.3
batch	520	test_loss	34965.8
batch	540	test_loss	34478.9
batch	560	test_loss	33966.2
batch	580	test_loss	33507.1
batch	600	test_loss	33125.8
batch	620	test_loss	32689.1
batch	640	test_loss	32294.1
batch	660	test_loss	31937.0
batch	680	test_loss	31592.1
batch	700	test_loss	31254.8
batch	720	test_loss	30937.6
batch	740	test_loss	30611.2
batch	760	test_loss	30324.7
batch	780	test_loss	30008.2
batch	800	test_loss	29740.6
batch	820	test_loss	29467.2
batch	840	test_loss	29187.2
batch	860	test_loss	28918.2
batch	880	test_loss	28698.5
batch	900	test_loss	28403.4
batch	920	test_loss	28169.8
batch	940	test_loss	27918.4
batch	960	test_loss	27680.8
batch	980	test_loss	27463.8
batch	1000	test_loss	27240.1
batch	1020	test_loss	27024.5
batch	1040	test_loss	26812.9
batch	1060	test_loss	26605.6
batch	1080	test_loss	26397.5
batch	1100	test_loss	26202.7
batch	1120	test_loss	25992.9
batch	1140	test_loss	25793.9
batch	1160	test_loss	25609.1
batch	1180	test_loss	25428.0
batch	1200	test_loss	25233.4
batch	1220	test_loss	25043.6
batch	1240	test_loss	24866.4
batch	1260	test_loss	24683.6
batch	1280	test_loss	24507.9
batch	1300	test_loss	24340.3
batch	1320	test_loss	24179.9
batch	1340	test_loss	24003.6
batch	1360	test_loss	23852.5
batch	1380	test_loss	23686.8
batch	1400	test_loss	23529.8
batch	1420	test_loss	23387.4
batch	1440	test_loss	23231.0
batch	1460	test_loss	23077.9
batch	1480	test_loss	22940.2
batch	1500	test_loss	22789.8
batch	1520	test_loss	22659.8
batch	1540	test_loss	22502.9
batch	1560	test_loss	22383.2
batch	1580	test_loss	22257.9
batch	1600	test_loss	22141.4
batch	1620	test_loss	22003.3
batch	1640	test_loss	21866.1
batch	1660	test_loss	21731.9
batch	1680	test_loss	21640.8
batch	1700	test_loss	21519.9
batch	1720	test_loss	21401.7
batch	1740	test_loss	21280.3
batch	1760	test_loss	21181.3
batch	1780	test_loss	21047.6
batch	1800	test_loss	20959.1
batch	1820	test_loss	20846.4
batch	1840	test_loss	20742.9
batch	1860	test_loss	20644.9
batch	1880	test_loss	20535.6
batch	1900	test_loss	20440.9
batch	1920	test_loss	20340.2
batch	1940	test_loss	20238.1
batch	1960	test_loss	20146.6
batch	1980	test_loss	20047.5
batch	2000	test_loss	19966.6
batch	2020	test_loss	19862.6
batch	2040	test_loss	19773.8
batch	2060	test_loss	19688.0
batch	2080	test_loss	19627.4
batch	2100	test_loss	19510.0
batch	2120	test_loss	19423.0
batch	2140	test_loss	19334.1
batch	2160	test_loss	19254.7
batch	2180	test_loss	19184.9
batch	2200	test_loss	19100.9
batch	2220	test_loss	19014.7
batch	2240	test_loss	18934.4
batch	2260	test_loss	18868.4
batch	2280	test_loss	18775.4
batch	2300	test_loss	18703.4
batch	2320	test_loss	18616.0
batch	2340	test_loss	18567.2
batch	2360	test_loss	18482.3
batch	2380	test_loss	18412.3
batch	2400	test_loss	18332.4
batch	2420	test_loss	18267.4
batch	2440	test_loss	18192.7
batch	2460	test_loss	18126.8
batch	2480	test_loss	18046.0
batch	2500	test_loss	17980.8
batch	2520	test_loss	17924.7
batch	2540	test_loss	17856.4
batch	2560	test_loss	17798.8
batch	2580	test_loss	17731.4
batch	2600	test_loss	17674.4
batch	2620	test_loss	17606.2
batch	2640	test_loss	17540.1
batch	2660	test_loss	17487.4
batch	2680	test_loss	17422.4
batch	2700	test_loss	17370.8
batch	2720	test_loss	17315.9
batch	2740	test_loss	17260.2
batch	2760	test_loss	17210.4
batch	2780	test_loss	17132.7
batch	2800	test_loss	17080.1
batch	2820	test_loss	17033.4
batch	2840	test_loss	16980.2
batch	2860	test_loss	16917.9
batch	2880	test_loss	16860.8
batch	2900	test_loss	16826.4
batch	2920	test_loss	16759.0
batch	2940	test_loss	16715.0
batch	2960	test_loss	16662.7
batch	2980	test_loss	16607.1
batch	3000	test_loss	16560.0
batch	3020	test_loss	16519.6
batch	3040	test_loss	16464.7
batch	3060	test_loss	16407.8
batch	3080	test_loss	16369.8
batch	3100	test_loss	16331.0
batch	3120	test_loss	16279.2
batch	3140	test_loss	16231.1
batch	3160	test_loss	16188.8
batch	3180	test_loss	16145.2
