START
config	160	380
batch	0	test_loss	2.38708e+06
batch	20	test_loss	180930.0
batch	40	test_loss	62491.7
batch	60	test_loss	47828.7
batch	80	test_loss	45096.7
batch	100	test_loss	44029.2
batch	120	test_loss	43087.4
batch	140	test_loss	42151.5
batch	160	test_loss	41214.1
batch	180	test_loss	40234.4
batch	200	test_loss	39242.1
batch	220	test_loss	38252.8
batch	240	test_loss	37252.2
batch	260	test_loss	36262.9
batch	280	test_loss	35307.4
batch	300	test_loss	34404.1
batch	320	test_loss	33533.3
batch	340	test_loss	32687.3
batch	360	test_loss	31879.2
batch	380	test_loss	31118.5
batch	400	test_loss	30368.1
batch	420	test_loss	29668.6
batch	440	test_loss	28976.6
batch	460	test_loss	28328.9
batch	480	test_loss	27682.8
batch	500	test_loss	27069.2
batch	520	test_loss	26456.7
batch	540	test_loss	25869.0
batch	560	test_loss	25296.9
batch	580	test_loss	24747.9
batch	600	test_loss	24211.5
batch	620	test_loss	23702.2
batch	640	test_loss	23204.1
batch	660	test_loss	22712.5
batch	680	test_loss	22230.0
batch	700	test_loss	21783.9
batch	720	test_loss	21343.7
batch	740	test_loss	20909.2
batch	760	test_loss	20482.6
batch	780	test_loss	20069.7
batch	800	test_loss	19674.0
batch	820	test_loss	19292.9
batch	840	test_loss	18917.0
batch	860	test_loss	18534.0
batch	880	test_loss	18170.2
batch	900	test_loss	17812.8
batch	920	test_loss	17477.3
batch	940	test_loss	17139.6
batch	960	test_loss	16811.7
batch	980	test_loss	16498.9
batch	1000	test_loss	16193.9
batch	1020	test_loss	15893.2
batch	1040	test_loss	15589.8
batch	1060	test_loss	15302.0
batch	1080	test_loss	15018.9
batch	1100	test_loss	14747.7
batch	1120	test_loss	14484.1
batch	1140	test_loss	14214.9
batch	1160	test_loss	13966.8
batch	1180	test_loss	13719.8
batch	1200	test_loss	13474.4
batch	1220	test_loss	13254.3
batch	1240	test_loss	13019.5
batch	1260	test_loss	12796.1
batch	1280	test_loss	12578.2
batch	1300	test_loss	12373.7
batch	1320	test_loss	12161.6
batch	1340	test_loss	11965.9
batch	1360	test_loss	11782.6
batch	1380	test_loss	11590.2
batch	1400	test_loss	11407.3
batch	1420	test_loss	11218.6
