START
config	180	360
batch	0	test_loss	4.03521e+06
batch	20	test_loss	283898.0
batch	40	test_loss	116060.0
batch	60	test_loss	89187.0
batch	80	test_loss	84776.9
batch	100	test_loss	82562.8
batch	120	test_loss	80691.1
batch	140	test_loss	78833.8
batch	160	test_loss	76939.1
batch	180	test_loss	75059.4
batch	200	test_loss	73168.0
batch	220	test_loss	71330.6
batch	240	test_loss	69411.1
batch	260	test_loss	67574.1
batch	280	test_loss	65749.0
batch	300	test_loss	63995.4
batch	320	test_loss	62247.4
batch	340	test_loss	60556.5
batch	360	test_loss	58930.6
batch	380	test_loss	57324.3
batch	400	test_loss	55772.7
batch	420	test_loss	54262.9
batch	440	test_loss	52794.2
batch	460	test_loss	51405.5
batch	480	test_loss	50091.9
batch	500	test_loss	48769.4
batch	520	test_loss	47517.6
batch	540	test_loss	46330.2
batch	560	test_loss	45165.9
batch	580	test_loss	44096.8
batch	600	test_loss	42990.8
batch	620	test_loss	41976.6
batch	640	test_loss	40986.0
batch	660	test_loss	40055.1
batch	680	test_loss	39134.0
batch	700	test_loss	38260.5
batch	720	test_loss	37385.6
batch	740	test_loss	36607.2
batch	760	test_loss	35766.1
batch	780	test_loss	35023.9
batch	800	test_loss	34278.4
batch	820	test_loss	33574.0
batch	840	test_loss	32887.9
batch	860	test_loss	32226.7
batch	880	test_loss	31587.4
batch	900	test_loss	30951.8
batch	920	test_loss	30352.9
batch	940	test_loss	29781.5
batch	960	test_loss	29222.4
batch	980	test_loss	28679.2
batch	1000	test_loss	28154.4
batch	1020	test_loss	27647.5
batch	1040	test_loss	27164.6
batch	1060	test_loss	26683.8
batch	1080	test_loss	26210.0
batch	1100	test_loss	25768.4
batch	1120	test_loss	25343.6
batch	1140	test_loss	24918.6
batch	1160	test_loss	24519.0
batch	1180	test_loss	24115.3
batch	1200	test_loss	23743.6
batch	1220	test_loss	23378.2
batch	1240	test_loss	23018.8
batch	1260	test_loss	22663.3
batch	1280	test_loss	22331.7
batch	1300	test_loss	22004.5
batch	1320	test_loss	21699.9
batch	1340	test_loss	21370.3
batch	1360	test_loss	21083.6
batch	1380	test_loss	20820.7
batch	1400	test_loss	20511.1
batch	1420	test_loss	20227.7
batch	1440	test_loss	19992.5
batch	1460	test_loss	19713.1
batch	1480	test_loss	19457.9
batch	1500	test_loss	19218.1
batch	1520	test_loss	18994.9
batch	1540	test_loss	18765.1
batch	1560	test_loss	18546.7
batch	1580	test_loss	18323.4
batch	1600	test_loss	18116.0
batch	1620	test_loss	17920.1
batch	1640	test_loss	17712.1
batch	1660	test_loss	17540.8
batch	1680	test_loss	17356.4
batch	1700	test_loss	17152.6
batch	1720	test_loss	16994.4
batch	1740	test_loss	16817.8
batch	1760	test_loss	16647.3
batch	1780	test_loss	16484.3
batch	1800	test_loss	16309.4
batch	1820	test_loss	16165.4
batch	1840	test_loss	16009.3
batch	1860	test_loss	15863.3
batch	1880	test_loss	15722.3
batch	1900	test_loss	15576.7
batch	1920	test_loss	15451.0
batch	1940	test_loss	15319.7
batch	1960	test_loss	15185.0
batch	1980	test_loss	15054.3
batch	2000	test_loss	14926.7
batch	2020	test_loss	14826.2
batch	2040	test_loss	14706.8
batch	2060	test_loss	14598.6
batch	2080	test_loss	14483.5
batch	2100	test_loss	14376.1
batch	2120	test_loss	14264.9
batch	2140	test_loss	14156.1
batch	2160	test_loss	14047.6
batch	2180	test_loss	13949.5
batch	2200	test_loss	13856.9
batch	2220	test_loss	13772.0
batch	2240	test_loss	13677.6
batch	2260	test_loss	13580.0
batch	2280	test_loss	13468.9
batch	2300	test_loss	13407.5
batch	2320	test_loss	13317.2
batch	2340	test_loss	13226.8
batch	2360	test_loss	13157.7
batch	2380	test_loss	13074.8
batch	2400	test_loss	12995.0
batch	2420	test_loss	12917.7
batch	2440	test_loss	12850.0
batch	2460	test_loss	12795.0
batch	2480	test_loss	12701.7
batch	2500	test_loss	12641.9
batch	2520	test_loss	12570.7
batch	2540	test_loss	12510.9
batch	2560	test_loss	12428.9
batch	2580	test_loss	12359.2
batch	2600	test_loss	12311.8
batch	2620	test_loss	12245.0
batch	2640	test_loss	12193.0
batch	2660	test_loss	12134.5
batch	2680	test_loss	12069.8
batch	2700	test_loss	12017.0
batch	2720	test_loss	11951.0
batch	2740	test_loss	11897.0
batch	2760	test_loss	11867.1
batch	2780	test_loss	11783.7
batch	2800	test_loss	11758.3
batch	2820	test_loss	11682.2
batch	2840	test_loss	11643.5
batch	2860	test_loss	11615.5
batch	2880	test_loss	11554.7
batch	2900	test_loss	11497.1
batch	2920	test_loss	11452.7
batch	2940	test_loss	11407.0
batch	2960	test_loss	11361.5
batch	2980	test_loss	11324.5
batch	3000	test_loss	11279.0
batch	3020	test_loss	11218.8
batch	3040	test_loss	11178.0
batch	3060	test_loss	11148.0
batch	3080	test_loss	11112.2
batch	3100	test_loss	11051.9
batch	3120	test_loss	11016.9
batch	3140	test_loss	10990.7
batch	3160	test_loss	10954.4
batch	3180	test_loss	10941.5
batch	3200	test_loss	10884.4
batch	3220	test_loss	10842.3
batch	3240	test_loss	10822.7
batch	3260	test_loss	10771.4
batch	3280	test_loss	10752.5
batch	3300	test_loss	10710.7
batch	3320	test_loss	10679.9
batch	3340	test_loss	10639.5
batch	3360	test_loss	10612.9
batch	3380	test_loss	10585.2
batch	3400	test_loss	10563.4
batch	3420	test_loss	10544.9
batch	3440	test_loss	10502.1
batch	3460	test_loss	10483.0
batch	3480	test_loss	10451.0
batch	3500	test_loss	10408.5
batch	3520	test_loss	10394.2
batch	3540	test_loss	10338.1
batch	3560	test_loss	10314.3
batch	3580	test_loss	10300.7
batch	3600	test_loss	10272.8
batch	3620	test_loss	10243.5
batch	3640	test_loss	10224.1
batch	3660	test_loss	10221.8
batch	3680	test_loss	10183.8
batch	3700	test_loss	10144.6
batch	3720	test_loss	10121.1
batch	3740	test_loss	10102.5
batch	3760	test_loss	10083.1
batch	3780	test_loss	10080.5
batch	3800	test_loss	10038.8
batch	3820	test_loss	10044.2
batch	3840	test_loss	9996.86
batch	3860	test_loss	9971.81
batch	3880	test_loss	9972.67
batch	3900	test_loss	9948.16
batch	3920	test_loss	9904.27
batch	3940	test_loss	9881.16
batch	3960	test_loss	9896.62
batch	3980	test_loss	9860.55
batch	4000	test_loss	9859.09
batch	4020	test_loss	9819.09
batch	4040	test_loss	9799.51
batch	4060	test_loss	9787.18
batch	4080	test_loss	9760.52
batch	4100	test_loss	9760.69
batch	4120	test_loss	9725.58
batch	4140	test_loss	9728.58
batch	4160	test_loss	9697.47
batch	4180	test_loss	9684.6
batch	4200	test_loss	9687.92
batch	4220	test_loss	9640.38
batch	4240	test_loss	9656.11
batch	4260	test_loss	9622.51
batch	4280	test_loss	9606.77
batch	4300	test_loss	9617.65
batch	4320	test_loss	9580.02
