START
config	180	470
batch	0	valid_loss	2.15478e+07
batch	30	valid_loss	793432.0
batch	60	valid_loss	432677.0
batch	90	valid_loss	405395.0
batch	120	valid_loss	394592.0
batch	150	valid_loss	384603.0
batch	180	valid_loss	374405.0
batch	210	valid_loss	364389.0
batch	240	valid_loss	354033.0
batch	270	valid_loss	343916.0
batch	300	valid_loss	333390.0
batch	330	valid_loss	322917.0
batch	360	valid_loss	312618.0
batch	390	valid_loss	302680.0
batch	420	valid_loss	292876.0
batch	450	valid_loss	283685.0
batch	480	valid_loss	274764.0
batch	510	valid_loss	266229.0
batch	540	valid_loss	258068.0
batch	570	valid_loss	250387.0
batch	600	valid_loss	242757.0
batch	630	valid_loss	235615.0
batch	660	valid_loss	228812.0
batch	690	valid_loss	222235.0
batch	720	valid_loss	215981.0
batch	750	valid_loss	209977.0
batch	780	valid_loss	204188.0
batch	810	valid_loss	198557.0
batch	840	valid_loss	193288.0
batch	870	valid_loss	188080.0
batch	900	valid_loss	183321.0
batch	930	valid_loss	178455.0
batch	960	valid_loss	173955.0
batch	990	valid_loss	169493.0
batch	1020	valid_loss	165389.0
batch	1050	valid_loss	161304.0
batch	1080	valid_loss	157506.0
batch	1110	valid_loss	153693.0
batch	1140	valid_loss	150219.0
batch	1170	valid_loss	146794.0
batch	1200	valid_loss	143536.0
batch	1230	valid_loss	140364.0
batch	1260	valid_loss	137270.0
batch	1290	valid_loss	134515.0
batch	1320	valid_loss	131689.0
batch	1350	valid_loss	128910.0
batch	1380	valid_loss	126294.0
batch	1410	valid_loss	123749.0
batch	1440	valid_loss	121392.0
batch	1470	valid_loss	119057.0
batch	1500	valid_loss	116816.0
batch	1530	valid_loss	114697.0
batch	1560	valid_loss	112579.0
batch	1590	valid_loss	110518.0
batch	1620	valid_loss	108636.0
batch	1650	valid_loss	106726.0
batch	1680	valid_loss	104968.0
batch	1710	valid_loss	103299.0
batch	1740	valid_loss	101606.0
batch	1770	valid_loss	99974.3
batch	1800	valid_loss	98399.5
batch	1830	valid_loss	96886.6
batch	1860	valid_loss	95458.9
batch	1890	valid_loss	94089.6
batch	1920	valid_loss	92739.8
batch	1950	valid_loss	91471.9
batch	1980	valid_loss	90226.4
batch	2010	valid_loss	88962.7
batch	2040	valid_loss	87855.3
batch	2070	valid_loss	86680.1
batch	2100	valid_loss	85626.6
batch	2130	valid_loss	84631.9
batch	2160	valid_loss	83571.5
batch	2190	valid_loss	82594.1
batch	2220	valid_loss	81719.5
batch	2250	valid_loss	80860.9
batch	2280	valid_loss	79903.0
batch	2310	valid_loss	79033.7
batch	2340	valid_loss	78197.7
batch	2370	valid_loss	77471.7
batch	2400	valid_loss	76606.1
batch	2430	valid_loss	75894.7
batch	2460	valid_loss	75192.8
batch	2490	valid_loss	74466.0
batch	2520	valid_loss	73748.3
batch	2550	valid_loss	73261.2
batch	2580	valid_loss	72423.3
batch	2610	valid_loss	71903.6
batch	2640	valid_loss	71426.4
batch	2670	valid_loss	70738.3
batch	2700	valid_loss	70225.4
batch	2730	valid_loss	69695.6
batch	2760	valid_loss	69145.4
batch	2790	valid_loss	68624.6
batch	2820	valid_loss	68098.7
batch	2850	valid_loss	67688.3
batch	2880	valid_loss	67233.3
batch	2910	valid_loss	66743.6
batch	2940	valid_loss	66373.8
batch	2970	valid_loss	65866.0
batch	3000	valid_loss	65443.5
batch	3030	valid_loss	65019.4
batch	3060	valid_loss	64613.4
batch	3090	valid_loss	64248.2
batch	3120	valid_loss	63850.7
batch	3150	valid_loss	63455.0
batch	3180	valid_loss	63192.7
batch	3210	valid_loss	62936.3
batch	3240	valid_loss	62603.2
batch	3270	valid_loss	62114.1
batch	3300	valid_loss	61886.2
batch	3330	valid_loss	61596.1
batch	3360	valid_loss	61275.1
batch	3390	valid_loss	60852.3
batch	3420	valid_loss	60689.8
batch	3450	valid_loss	60565.5
batch	3480	valid_loss	60116.4
batch	3510	valid_loss	59931.5
batch	3540	valid_loss	59645.8
batch	3570	valid_loss	59416.9
batch	3600	valid_loss	59132.8
batch	3630	valid_loss	59097.8
batch	3660	valid_loss	58688.6
batch	3690	valid_loss	58498.3
batch	3720	valid_loss	58338.9
batch	3750	valid_loss	58053.1
batch	3780	valid_loss	57819.2
batch	3810	valid_loss	57671.4
batch	3840	valid_loss	57488.9
batch	3870	valid_loss	57311.7
batch	3900	valid_loss	57186.2
batch	3930	valid_loss	56958.2
batch	3960	valid_loss	56665.9
batch	3990	valid_loss	56527.3
batch	4020	valid_loss	56494.4
batch	4050	valid_loss	56415.4
batch	4080	valid_loss	56116.2
batch	4110	valid_loss	56079.0
batch	4140	valid_loss	55848.9
batch	4170	valid_loss	55721.4
batch	4200	valid_loss	55628.5
batch	4230	valid_loss	55552.9
batch	4260	valid_loss	55349.7
batch	4290	valid_loss	55118.4
batch	4320	valid_loss	55084.0
batch	4350	valid_loss	54987.9
batch	4380	valid_loss	54842.5
batch	4410	valid_loss	54792.6
batch	4440	valid_loss	54651.6
batch	4470	valid_loss	54591.3
batch	4500	valid_loss	54288.2
batch	4530	valid_loss	54274.9
batch	4560	valid_loss	54196.2
batch	4590	valid_loss	54087.3
batch	4620	valid_loss	53918.4
batch	4650	valid_loss	53974.0
batch	4680	valid_loss	53846.5
batch	4710	valid_loss	53683.3
batch	4740	valid_loss	53569.0
batch	4770	valid_loss	53549.8
batch	4800	valid_loss	53454.4
batch	4830	valid_loss	53298.9
batch	4860	valid_loss	53320.1
batch	4890	valid_loss	53216.7
batch	4920	valid_loss	53165.7
batch	4950	valid_loss	53104.4
batch	4980	valid_loss	53082.6
batch	5010	valid_loss	52939.6
batch	5040	valid_loss	52858.4
batch	5070	valid_loss	52663.0
batch	5100	valid_loss	52721.0
batch	5130	valid_loss	52749.0
batch	5160	valid_loss	52590.0
batch	5190	valid_loss	52506.2
batch	5220	valid_loss	52524.6
batch	5250	valid_loss	52482.9
batch	5280	valid_loss	52430.2
batch	5310	valid_loss	52366.5
batch	5340	valid_loss	52157.9
batch	5370	valid_loss	52281.4
batch	5400	valid_loss	52222.8
batch	5430	valid_loss	52149.3
batch	5460	valid_loss	52053.4
batch	5490	valid_loss	52122.4
batch	5520	valid_loss	52018.5
batch	5550	valid_loss	51948.3
batch	5580	valid_loss	52030.3
batch	5610	valid_loss	51794.6
batch	5640	valid_loss	51923.2
batch	5670	valid_loss	51734.9
batch	5700	valid_loss	51756.7
batch	5730	valid_loss	51666.4
batch	5760	valid_loss	51556.8
batch	5790	valid_loss	51629.0
batch	5820	valid_loss	51555.2
batch	5850	valid_loss	51489.4
batch	5880	valid_loss	51569.2
batch	5910	valid_loss	51496.5
batch	5940	valid_loss	51534.2
batch	5970	valid_loss	51314.8
batch	6000	valid_loss	51366.8
batch	6030	valid_loss	51382.6
batch	6060	valid_loss	51411.0
batch	6090	valid_loss	51326.4
batch	6120	valid_loss	51206.6
batch	6150	valid_loss	51334.2
batch	6180	valid_loss	51227.2
batch	6210	valid_loss	51112.0
batch	6240	valid_loss	51188.1
batch	6270	valid_loss	51131.4
batch	6300	valid_loss	51074.4
batch	6330	valid_loss	50983.1
batch	6360	valid_loss	51136.3
batch	6390	valid_loss	51053.6
batch	6420	valid_loss	51001.7
batch	6450	valid_loss	51082.2
batch	6480	valid_loss	50928.0
batch	6510	valid_loss	50896.7
batch	6540	valid_loss	51039.8
batch	6570	valid_loss	50850.9
batch	6600	valid_loss	50917.9
batch	6630	valid_loss	50974.5
batch	6660	valid_loss	51007.5
batch	6690	valid_loss	50712.2
batch	6720	valid_loss	50725.3
batch	6750	valid_loss	50722.2
batch	6780	valid_loss	50686.3
batch	6810	valid_loss	50735.5
batch	6840	valid_loss	50763.4
batch	6870	valid_loss	50651.3
batch	6900	valid_loss	50580.3
batch	6930	valid_loss	50672.0
batch	6960	valid_loss	50614.2
batch	6990	valid_loss	50556.2
batch	7020	valid_loss	50418.7
batch	7050	valid_loss	50551.7
batch	7080	valid_loss	50568.7
batch	7110	valid_loss	50568.8
batch	7140	valid_loss	50576.4
batch	7170	valid_loss	50467.8
batch	7200	valid_loss	50478.0
batch	7230	valid_loss	50381.0
batch	7260	valid_loss	50494.7
batch	7290	valid_loss	50404.7
batch	7320	valid_loss	50512.2
batch	7350	valid_loss	50395.6
batch	7380	valid_loss	50397.9
batch	7410	valid_loss	50458.2
batch	7440	valid_loss	50293.9
batch	7470	valid_loss	50337.3
batch	7500	valid_loss	50454.0
batch	7530	valid_loss	50391.3
batch	7560	valid_loss	50254.4
batch	7590	valid_loss	50325.1
batch	7620	valid_loss	50348.9
batch	7650	valid_loss	50321.8
batch	7680	valid_loss	50389.6
batch	7710	valid_loss	50318.0
batch	7740	valid_loss	50218.6
batch	7770	valid_loss	50140.2
batch	7800	valid_loss	50166.3
batch	7830	valid_loss	50179.1
batch	7860	valid_loss	50176.8
batch	7890	valid_loss	50192.9
batch	7920	valid_loss	50202.6
batch	7950	valid_loss	50267.4
batch	7980	valid_loss	50199.1
batch	8010	valid_loss	50240.8
batch	8040	valid_loss	50192.5
batch	8070	valid_loss	50179.1
batch	8100	valid_loss	50214.3
batch	8130	valid_loss	50141.3
batch	8160	valid_loss	50194.8
batch	8190	valid_loss	50148.9
batch	8220	valid_loss	50125.8
batch	8250	valid_loss	50080.4
batch	8280	valid_loss	50062.1
batch	8310	valid_loss	50156.8
batch	8340	valid_loss	50103.9
batch	8370	valid_loss	49994.3
batch	8400	valid_loss	49947.1
batch	8430	valid_loss	50090.6
batch	8460	valid_loss	50032.4
batch	8490	valid_loss	49966.2
batch	8520	valid_loss	50070.4
batch	8550	valid_loss	50016.6
batch	8580	valid_loss	50050.9
batch	8610	valid_loss	50095.7
batch	8640	valid_loss	49979.6
batch	8670	valid_loss	49852.6
batch	8700	valid_loss	49976.9
batch	8730	valid_loss	50040.8
batch	8760	valid_loss	49954.2
batch	8790	valid_loss	49895.9
batch	8820	valid_loss	49976.1
batch	8850	valid_loss	50002.4
batch	8880	valid_loss	50002.5
batch	8910	valid_loss	49797.2
batch	8940	valid_loss	49922.5
batch	8970	valid_loss	49837.3
batch	9000	valid_loss	49934.3
batch	9030	valid_loss	49899.2
batch	9060	valid_loss	49929.2
batch	9090	valid_loss	49870.9
batch	9120	valid_loss	49713.0
batch	9150	valid_loss	49876.7
batch	9180	valid_loss	49964.9
batch	9210	valid_loss	49873.1
batch	9240	valid_loss	49741.9
batch	9270	valid_loss	49711.8
batch	9300	valid_loss	49749.4
batch	9330	valid_loss	49851.4
batch	9360	valid_loss	49841.0
batch	9390	valid_loss	49693.2
batch	9420	valid_loss	49779.1
batch	9450	valid_loss	49798.1
batch	9480	valid_loss	49885.5
batch	9510	valid_loss	49800.0
batch	9540	valid_loss	49869.7
batch	9570	valid_loss	49731.6
batch	9600	valid_loss	49871.1
batch	9630	valid_loss	49744.9
batch	9660	valid_loss	49750.5
batch	9690	valid_loss	49844.6
batch	9720	valid_loss	49732.7
batch	9750	valid_loss	49690.2
batch	9780	valid_loss	49801.5
batch	9810	valid_loss	49702.4
batch	9840	valid_loss	49725.8
batch	9870	valid_loss	49695.2
batch	9900	valid_loss	49706.9
batch	9930	valid_loss	49688.0
batch	9960	valid_loss	49577.9
batch	9990	valid_loss	49632.4
batch	10020	valid_loss	49659.2
batch	10050	valid_loss	49691.1
batch	10080	valid_loss	49740.5
batch	10110	valid_loss	49712.0
batch	10140	valid_loss	49615.9
batch	10170	valid_loss	49537.0
batch	10200	valid_loss	49792.6
batch	10230	valid_loss	49690.8
batch	10260	valid_loss	49572.7
batch	10290	valid_loss	49680.5
batch	10320	valid_loss	49635.2
batch	10350	valid_loss	49743.8
batch	10380	valid_loss	49576.9
batch	10410	valid_loss	49570.1
batch	10440	valid_loss	49623.5
batch	10470	valid_loss	49575.4
batch	10500	valid_loss	49743.5
batch	10530	valid_loss	49653.6
batch	10560	valid_loss	49465.1
batch	10590	valid_loss	49697.4
batch	10620	valid_loss	49717.2
