START
config	180	360
batch	0	test_loss	2.56179e+06
batch	20	test_loss	214164.0
batch	40	test_loss	77781.2
batch	60	test_loss	59901.9
batch	80	test_loss	56695.5
batch	100	test_loss	55276.2
batch	120	test_loss	54004.0
batch	140	test_loss	52791.8
batch	160	test_loss	51552.8
batch	180	test_loss	50313.2
batch	200	test_loss	49080.9
batch	220	test_loss	47857.9
batch	240	test_loss	46591.0
batch	260	test_loss	45432.2
batch	280	test_loss	44208.9
batch	300	test_loss	43044.9
batch	320	test_loss	41926.7
batch	340	test_loss	40822.2
batch	360	test_loss	39752.0
batch	380	test_loss	38741.0
batch	400	test_loss	37754.5
batch	420	test_loss	36771.4
batch	440	test_loss	35818.6
batch	460	test_loss	34904.1
batch	480	test_loss	34016.6
batch	500	test_loss	33169.0
batch	520	test_loss	32319.7
batch	540	test_loss	31503.8
batch	560	test_loss	30730.7
batch	580	test_loss	29963.2
batch	600	test_loss	29228.3
batch	620	test_loss	28519.3
batch	640	test_loss	27838.7
batch	660	test_loss	27180.0
batch	680	test_loss	26511.2
batch	700	test_loss	25894.2
batch	720	test_loss	25284.1
batch	740	test_loss	24709.4
batch	760	test_loss	24150.5
batch	780	test_loss	23618.1
batch	800	test_loss	23082.4
batch	820	test_loss	22579.7
batch	840	test_loss	22080.6
batch	860	test_loss	21621.8
batch	880	test_loss	21154.4
batch	900	test_loss	20717.0
batch	920	test_loss	20294.9
batch	940	test_loss	19879.2
batch	960	test_loss	19483.5
batch	980	test_loss	19093.4
batch	1000	test_loss	18726.0
batch	1020	test_loss	18357.3
batch	1040	test_loss	18033.2
batch	1060	test_loss	17686.5
batch	1080	test_loss	17359.9
batch	1100	test_loss	17048.8
batch	1120	test_loss	16755.2
batch	1140	test_loss	16462.4
batch	1160	test_loss	16195.4
batch	1180	test_loss	15923.0
batch	1200	test_loss	15642.3
batch	1220	test_loss	15392.2
batch	1240	test_loss	15140.8
batch	1260	test_loss	14912.0
batch	1280	test_loss	14674.6
batch	1300	test_loss	14462.8
batch	1320	test_loss	14230.7
batch	1340	test_loss	14032.2
batch	1360	test_loss	13818.0
batch	1380	test_loss	13624.9
batch	1400	test_loss	13446.8
batch	1420	test_loss	13268.4
batch	1440	test_loss	13075.4
batch	1460	test_loss	12926.3
batch	1480	test_loss	12752.8
batch	1500	test_loss	12584.3
batch	1520	test_loss	12402.8
batch	1540	test_loss	12263.8
batch	1560	test_loss	12121.3
batch	1580	test_loss	11965.8
batch	1600	test_loss	11835.2
batch	1620	test_loss	11704.1
batch	1640	test_loss	11567.4
batch	1660	test_loss	11436.9
batch	1680	test_loss	11316.7
batch	1700	test_loss	11190.6
batch	1720	test_loss	11079.7
batch	1740	test_loss	10959.4
batch	1760	test_loss	10855.5
batch	1780	test_loss	10742.1
batch	1800	test_loss	10638.5
batch	1820	test_loss	10535.8
batch	1840	test_loss	10421.2
batch	1860	test_loss	10342.5
batch	1880	test_loss	10228.3
batch	1900	test_loss	10147.2
batch	1920	test_loss	10058.2
batch	1940	test_loss	9966.88
batch	1960	test_loss	9873.83
batch	1980	test_loss	9788.84
batch	2000	test_loss	9718.05
batch	2020	test_loss	9627.36
batch	2040	test_loss	9560.13
batch	2060	test_loss	9478.61
batch	2080	test_loss	9420.71
batch	2100	test_loss	9329.85
batch	2120	test_loss	9249.44
batch	2140	test_loss	9191.23
batch	2160	test_loss	9131.02
batch	2180	test_loss	9053.76
batch	2200	test_loss	9000.99
batch	2220	test_loss	8917.57
batch	2240	test_loss	8859.97
batch	2260	test_loss	8795.35
batch	2280	test_loss	8737.01
batch	2300	test_loss	8685.31
batch	2320	test_loss	8619.2
batch	2340	test_loss	8571.18
batch	2360	test_loss	8515.03
batch	2380	test_loss	8463.08
batch	2400	test_loss	8414.02
batch	2420	test_loss	8360.77
batch	2440	test_loss	8313.5
batch	2460	test_loss	8261.03
batch	2480	test_loss	8206.97
batch	2500	test_loss	8174.58
batch	2520	test_loss	8127.21
batch	2540	test_loss	8078.19
batch	2560	test_loss	8038.78
batch	2580	test_loss	7994.95
batch	2600	test_loss	7962.18
batch	2620	test_loss	7913.95
batch	2640	test_loss	7857.48
batch	2660	test_loss	7833.75
batch	2680	test_loss	7777.64
batch	2700	test_loss	7759.62
batch	2720	test_loss	7717.66
batch	2740	test_loss	7684.65
batch	2760	test_loss	7657.12
batch	2780	test_loss	7613.02
batch	2800	test_loss	7570.33
batch	2820	test_loss	7545.42
batch	2840	test_loss	7504.63
batch	2860	test_loss	7473.73
batch	2880	test_loss	7440.65
batch	2900	test_loss	7412.56
batch	2920	test_loss	7381.91
batch	2940	test_loss	7359.17
batch	2960	test_loss	7321.73
batch	2980	test_loss	7292.53
batch	3000	test_loss	7260.44
batch	3020	test_loss	7235.11
batch	3040	test_loss	7227.14
batch	3060	test_loss	7192.6
batch	3080	test_loss	7180.28
batch	3100	test_loss	7137.45
batch	3120	test_loss	7120.3
batch	3140	test_loss	7096.94
batch	3160	test_loss	7051.46
batch	3180	test_loss	7034.39
batch	3200	test_loss	7026.9
batch	3220	test_loss	6997.19
batch	3240	test_loss	6961.11
batch	3260	test_loss	6933.74
batch	3280	test_loss	6919.55
batch	3300	test_loss	6900.76
batch	3320	test_loss	6886.92
batch	3340	test_loss	6847.53
batch	3360	test_loss	6828.53
batch	3380	test_loss	6805.81
batch	3400	test_loss	6784.94
batch	3420	test_loss	6776.52
batch	3440	test_loss	6769.29
batch	3460	test_loss	6730.14
batch	3480	test_loss	6716.87
batch	3500	test_loss	6700.18
batch	3520	test_loss	6671.31
batch	3540	test_loss	6667.2
batch	3560	test_loss	6649.5
batch	3580	test_loss	6634.27
batch	3600	test_loss	6614.77
batch	3620	test_loss	6607.37
batch	3640	test_loss	6597.18
batch	3660	test_loss	6574.65
batch	3680	test_loss	6546.79
batch	3700	test_loss	6533.16
batch	3720	test_loss	6542.21
batch	3740	test_loss	6504.99
batch	3760	test_loss	6497.44
batch	3780	test_loss	6476.74
batch	3800	test_loss	6460.63
batch	3820	test_loss	6452.94
batch	3840	test_loss	6441.33
batch	3860	test_loss	6430.4
batch	3880	test_loss	6427.95
batch	3900	test_loss	6409.26
batch	3920	test_loss	6380.3
batch	3940	test_loss	6376.04
batch	3960	test_loss	6377.24
batch	3980	test_loss	6356.14
batch	4000	test_loss	6356.22
batch	4020	test_loss	6346.56
batch	4040	test_loss	6323.57
batch	4060	test_loss	6312.85
batch	4080	test_loss	6296.47
batch	4100	test_loss	6284.61
batch	4120	test_loss	6276.91
batch	4140	test_loss	6272.94
batch	4160	test_loss	6245.29
batch	4180	test_loss	6269.15
batch	4200	test_loss	6232.88
batch	4220	test_loss	6220.34
batch	4240	test_loss	6211.59
batch	4260	test_loss	6219.62
batch	4280	test_loss	6204.59
batch	4300	test_loss	6207.72
batch	4320	test_loss	6187.12
batch	4340	test_loss	6175.77
batch	4360	test_loss	6177.73
batch	4380	test_loss	6161.5
batch	4400	test_loss	6147.53
batch	4420	test_loss	6138.4
batch	4440	test_loss	6135.48
batch	4460	test_loss	6111.1
batch	4480	test_loss	6102.78
batch	4500	test_loss	6101.14
batch	4520	test_loss	6092.21
batch	4540	test_loss	6094.96
batch	4560	test_loss	6082.91
batch	4580	test_loss	6080.07
batch	4600	test_loss	6075.1
batch	4620	test_loss	6058.06
batch	4640	test_loss	6046.04
batch	4660	test_loss	6060.15
batch	4680	test_loss	6047.84
batch	4700	test_loss	6037.18
batch	4720	test_loss	6015.74
batch	4740	test_loss	6031.65
batch	4760	test_loss	6023.81
batch	4780	test_loss	6004.72
batch	4800	test_loss	5998.04
batch	4820	test_loss	5984.03
batch	4840	test_loss	5979.95
batch	4860	test_loss	5968.9
batch	4880	test_loss	5969.08
batch	4900	test_loss	5980.6
batch	4920	test_loss	5965.41
batch	4940	test_loss	5961.86
batch	4960	test_loss	5946.47
batch	4980	test_loss	5940.87
batch	5000	test_loss	5952.27
batch	5020	test_loss	5934.98
batch	5040	test_loss	5925.44
batch	5060	test_loss	5916.54
batch	5080	test_loss	5920.23
batch	5100	test_loss	5919.76
batch	5120	test_loss	5906.6
batch	5140	test_loss	5915.4
batch	5160	test_loss	5920.69
batch	5180	test_loss	5901.92
batch	5200	test_loss	5903.51
batch	5220	test_loss	5882.3
batch	5240	test_loss	5892.19
batch	5260	test_loss	5883.24
batch	5280	test_loss	5888.41
batch	5300	test_loss	5872.08
batch	5320	test_loss	5866.25
batch	5340	test_loss	5865.24
batch	5360	test_loss	5867.6
batch	5380	test_loss	5855.76
batch	5400	test_loss	5856.77
batch	5420	test_loss	5847.83
batch	5440	test_loss	5852.45
batch	5460	test_loss	5846.26
batch	5480	test_loss	5823.91
batch	5500	test_loss	5839.09
batch	5520	test_loss	5837.84
batch	5540	test_loss	5832.71
batch	5560	test_loss	5820.03
batch	5580	test_loss	5813.96
batch	5600	test_loss	5809.46
batch	5620	test_loss	5816.04
batch	5640	test_loss	5808.68
batch	5660	test_loss	5796.32
batch	5680	test_loss	5801.47
batch	5700	test_loss	5790.57
batch	5720	test_loss	5782.11
batch	5740	test_loss	5797.83
batch	5760	test_loss	5789.51
batch	5780	test_loss	5796.58
batch	5800	test_loss	5783.92
batch	5820	test_loss	5775.11
batch	5840	test_loss	5776.15
batch	5860	test_loss	5772.37
batch	5880	test_loss	5774.31
batch	5900	test_loss	5764.88
batch	5920	test_loss	5769.81
batch	5940	test_loss	5772.45
batch	5960	test_loss	5762.15
batch	5980	test_loss	5785.48
batch	6000	test_loss	5756.48
batch	6020	test_loss	5755.43
batch	6040	test_loss	5757.07
batch	6060	test_loss	5744.2
batch	6080	test_loss	5768.24
batch	6100	test_loss	5752.72
batch	6120	test_loss	5745.74
batch	6140	test_loss	5736.85
batch	6160	test_loss	5732.03
batch	6180	test_loss	5733.36
batch	6200	test_loss	5733.11
batch	6220	test_loss	5726.72
batch	6240	test_loss	5722.59
batch	6260	test_loss	5722.15
batch	6280	test_loss	5729.58
batch	6300	test_loss	5737.91
batch	6320	test_loss	5718.51
batch	6340	test_loss	5709.98
batch	6360	test_loss	5719.97
batch	6380	test_loss	5725.85
batch	6400	test_loss	5710.71
batch	6420	test_loss	5705.35
batch	6440	test_loss	5711.02
batch	6460	test_loss	5716.64
batch	6480	test_loss	5693.84
batch	6500	test_loss	5697.44
batch	6520	test_loss	5719.89
batch	6540	test_loss	5691.64
batch	6560	test_loss	5698.25
batch	6580	test_loss	5706.98
batch	6600	test_loss	5699.13
batch	6620	test_loss	5701.62
batch	6640	test_loss	5681.06
batch	6660	test_loss	5708.53
batch	6680	test_loss	5694.63
batch	6700	test_loss	5666.3
batch	6720	test_loss	5669.73
batch	6740	test_loss	5680.46
batch	6760	test_loss	5688.26
batch	6780	test_loss	5688.26
batch	6800	test_loss	5678.16
batch	6820	test_loss	5680.78
batch	6840	test_loss	5668.51
batch	6860	test_loss	5679.7
batch	6880	test_loss	5669.34
batch	6900	test_loss	5666.78
batch	6920	test_loss	5672.05
batch	6940	test_loss	5658.49
batch	6960	test_loss	5680.55
batch	6980	test_loss	5678.58
batch	7000	test_loss	5656.78
batch	7020	test_loss	5658.83
batch	7040	test_loss	5647.87
batch	7060	test_loss	5670.49
batch	7080	test_loss	5655.99
batch	7100	test_loss	5666.67
batch	7120	test_loss	5662.14
batch	7140	test_loss	5657.19
batch	7160	test_loss	5656.71
batch	7180	test_loss	5649.24
batch	7200	test_loss	5657.19
batch	7220	test_loss	5681.17
batch	7240	test_loss	5669.98
batch	7260	test_loss	5663.22
batch	7280	test_loss	5653.57
batch	7300	test_loss	5623.27
batch	7320	test_loss	5644.13
batch	7340	test_loss	5640.27
batch	7360	test_loss	5664.74
batch	7380	test_loss	5654.64
batch	7400	test_loss	5644.37
batch	7420	test_loss	5654.62
batch	7440	test_loss	5631.17
batch	7460	test_loss	5639.94
batch	7480	test_loss	5648.59
batch	7500	test_loss	5634.75
batch	7520	test_loss	5644.06
batch	7540	test_loss	5642.89
batch	7560	test_loss	5647.15
batch	7580	test_loss	5643.9
batch	7600	test_loss	5638.53
batch	7620	test_loss	5628.79
batch	7640	test_loss	5627.17
batch	7660	test_loss	5634.07
batch	7680	test_loss	5627.39
batch	7700	test_loss	5636.67
batch	7720	test_loss	5620.66
batch	7740	test_loss	5625.45
batch	7760	test_loss	5651.61
batch	7780	test_loss	5627.36
batch	7800	test_loss	5642.89
batch	7820	test_loss	5623.97
batch	7840	test_loss	5638.8
batch	7860	test_loss	5631.46
batch	7880	test_loss	5629.32
batch	7900	test_loss	5637.9
batch	7920	test_loss	5629.9
batch	7940	test_loss	5630.65
batch	7960	test_loss	5630.81
batch	7980	test_loss	5609.15
batch	8000	test_loss	5604.27
batch	8020	test_loss	5640.05
batch	8040	test_loss	5601.35
batch	8060	test_loss	5629.04
batch	8080	test_loss	5601.86
batch	8100	test_loss	5603.01
batch	8120	test_loss	5620.43
batch	8140	test_loss	5616.27
batch	8160	test_loss	5614.01
batch	8180	test_loss	5629.9
batch	8200	test_loss	5615.3
batch	8220	test_loss	5597.98
batch	8240	test_loss	5614.42
batch	8260	test_loss	5625.62
batch	8280	test_loss	5607.09
batch	8300	test_loss	5614.58
batch	8320	test_loss	5601.44
batch	8340	test_loss	5585.79
batch	8360	test_loss	5623.85
batch	8380	test_loss	5610.75
batch	8400	test_loss	5588.89
batch	8420	test_loss	5591.2
batch	8440	test_loss	5617.47
batch	8460	test_loss	5601.25
batch	8480	test_loss	5587.25
batch	8500	test_loss	5611.03
batch	8520	test_loss	5601.78
batch	8540	test_loss	5604.74
STOP
START
config	180	360
batch	0	test_loss	5615.02
batch	20	test_loss	5606.32
batch	40	test_loss	5596.74
batch	60	test_loss	5586.36
batch	80	test_loss	5589.4
batch	100	test_loss	5583.8
batch	120	test_loss	5614.16
batch	140	test_loss	5599.47
batch	160	test_loss	5604.86
batch	180	test_loss	5604.39
batch	200	test_loss	5603.34
batch	220	test_loss	5586.17
batch	240	test_loss	5580.44
batch	260	test_loss	5580.56
batch	280	test_loss	5599.52
batch	300	test_loss	5586.33
batch	320	test_loss	5582.45
batch	340	test_loss	5579.39
batch	360	test_loss	5581.6
batch	380	test_loss	5591.75
batch	400	test_loss	5587.3
batch	420	test_loss	5595.25
batch	440	test_loss	5589.3
batch	460	test_loss	5578.46
batch	480	test_loss	5586.19
batch	500	test_loss	5604.39
batch	520	test_loss	5592.84
batch	540	test_loss	5597.2
batch	560	test_loss	5586.62
batch	580	test_loss	5581.03
batch	600	test_loss	5587.82
batch	620	test_loss	5577.59
batch	640	test_loss	5572.88
batch	660	test_loss	5579.32
batch	680	test_loss	5575.67
batch	700	test_loss	5578.44
batch	720	test_loss	5565.01
batch	740	test_loss	5572.8
batch	760	test_loss	5580.36
batch	780	test_loss	5580.64
batch	800	test_loss	5580.78
batch	820	test_loss	5583.82
batch	840	test_loss	5588.84
batch	860	test_loss	5581.07
batch	880	test_loss	5571.03
