START
config	200	980
batch	0	valid_loss	11782829.4688
batch	30	valid_loss	298684.667969
batch	60	valid_loss	131259.749023
batch	90	valid_loss	118884.058594
batch	120	valid_loss	112499.300049
batch	150	valid_loss	105299.230469
batch	180	valid_loss	98584.7019043
batch	210	valid_loss	92745.8510742
batch	240	valid_loss	87630.3894043
batch	270	valid_loss	83310.6784668
batch	300	valid_loss	79794.1164551
batch	330	valid_loss	77142.5424805
batch	360	valid_loss	75162.7744141
batch	390	valid_loss	73473.9052734
batch	420	valid_loss	71952.2825928
batch	450	valid_loss	70545.3010254
batch	480	valid_loss	69301.3493652
batch	510	valid_loss	68011.6435547
batch	540	valid_loss	66769.2675781
batch	570	valid_loss	65550.385376
batch	600	valid_loss	64403.1905518
batch	630	valid_loss	63273.8354492
batch	660	valid_loss	62171.0419922
batch	690	valid_loss	61181.3824463
batch	720	valid_loss	60166.9816895
batch	750	valid_loss	59156.7727051
batch	780	valid_loss	58250.1922607
batch	810	valid_loss	57330.4937744
batch	840	valid_loss	56432.5185547
batch	870	valid_loss	55568.2126465
batch	900	valid_loss	54699.7523193
batch	930	valid_loss	53838.1566162
batch	960	valid_loss	53058.3879395
batch	990	valid_loss	52282.6595459
batch	1020	valid_loss	51501.0268555
batch	1050	valid_loss	50712.4342041
batch	1080	valid_loss	49993.9237061
batch	1110	valid_loss	49216.4709473
batch	1140	valid_loss	48508.6728516
batch	1170	valid_loss	47795.2004395
batch	1200	valid_loss	47083.5109863
batch	1230	valid_loss	46412.1259766
batch	1260	valid_loss	45723.4486084
batch	1290	valid_loss	45087.5881348
batch	1320	valid_loss	44462.3348389
batch	1350	valid_loss	43772.0185547
batch	1380	valid_loss	43192.02771
batch	1410	valid_loss	42594.2747803
batch	1440	valid_loss	41985.2944336
batch	1470	valid_loss	41437.3464355
batch	1500	valid_loss	40881.1984863
batch	1530	valid_loss	40277.1837158
batch	1560	valid_loss	39726.8018799
batch	1590	valid_loss	39226.3828125
batch	1620	valid_loss	38701.7797852
batch	1650	valid_loss	38160.9844971
batch	1680	valid_loss	37645.4295654
batch	1710	valid_loss	37211.0911865
batch	1740	valid_loss	36694.7775879
batch	1770	valid_loss	36193.9751587
batch	1800	valid_loss	35721.0158081
batch	1830	valid_loss	35278.5322876
batch	1860	valid_loss	34842.190918
batch	1890	valid_loss	34430.5960083
batch	1920	valid_loss	34000.4265747
batch	1950	valid_loss	33541.7437744
batch	1980	valid_loss	33172.2730103
batch	2010	valid_loss	32761.6268311
batch	2040	valid_loss	32366.2227783
batch	2070	valid_loss	31972.6018066
batch	2100	valid_loss	31600.5750732
batch	2130	valid_loss	31251.8686523
batch	2160	valid_loss	30889.4672241
batch	2190	valid_loss	30511.6398926
batch	2220	valid_loss	30161.1040649
batch	2250	valid_loss	29864.352478
batch	2280	valid_loss	29499.6231689
batch	2310	valid_loss	29163.6832275
batch	2340	valid_loss	28849.7557373
batch	2370	valid_loss	28541.3703613
batch	2400	valid_loss	28256.1774902
batch	2430	valid_loss	27944.6572876
batch	2460	valid_loss	27658.2957764
batch	2490	valid_loss	27349.9805908
batch	2520	valid_loss	27073.7737427
batch	2550	valid_loss	26797.1068115
batch	2580	valid_loss	26543.776001
batch	2610	valid_loss	26283.7653198
batch	2640	valid_loss	26013.0521851
batch	2670	valid_loss	25781.0670776
batch	2700	valid_loss	25509.6615601
batch	2730	valid_loss	25290.8535156
batch	2760	valid_loss	25036.4978638
batch	2790	valid_loss	24809.1347656
batch	2820	valid_loss	24594.5244141
batch	2850	valid_loss	24352.1218872
batch	2880	valid_loss	24150.40979
batch	2910	valid_loss	23937.0991821
batch	2940	valid_loss	23717.1415405
batch	2970	valid_loss	23513.5908203
batch	3000	valid_loss	23321.0409546
batch	3030	valid_loss	23090.418335
batch	3060	valid_loss	22929.1084595
batch	3090	valid_loss	22753.1404419
batch	3120	valid_loss	22552.918396
batch	3150	valid_loss	22384.9412231
batch	3180	valid_loss	22184.3546143
batch	3210	valid_loss	22041.4650879
batch	3240	valid_loss	21879.0891113
batch	3270	valid_loss	21689.3781738
batch	3300	valid_loss	21537.3690186
batch	3330	valid_loss	21361.0059814
batch	3360	valid_loss	21258.1916504
batch	3390	valid_loss	21083.1629639
batch	3420	valid_loss	20944.7039185
batch	3450	valid_loss	20773.3219604
batch	3480	valid_loss	20620.0355225
batch	3510	valid_loss	20523.0349121
batch	3540	valid_loss	20390.9030762
batch	3570	valid_loss	20244.4562988
batch	3600	valid_loss	20127.3604736
batch	3630	valid_loss	20010.5037842
batch	3660	valid_loss	19875.4957275
batch	3690	valid_loss	19770.1056519
batch	3720	valid_loss	19641.2522583
batch	3750	valid_loss	19509.4671631
batch	3780	valid_loss	19417.1974487
batch	3810	valid_loss	19306.4902954
batch	3840	valid_loss	19227.4295654
batch	3870	valid_loss	19127.5765991
batch	3900	valid_loss	18982.8966064
batch	3930	valid_loss	18925.78479
batch	3960	valid_loss	18823.1619263
batch	3990	valid_loss	18705.4546509
