START
config	200	960
batch	0	valid_loss	9004549.625
batch	30	valid_loss	247813.953125
batch	60	valid_loss	107495.860352
batch	90	valid_loss	99436.7871094
batch	120	valid_loss	97802.8242188
batch	150	valid_loss	96322.9628906
batch	180	valid_loss	94775.0625
batch	210	valid_loss	92966.6069336
batch	240	valid_loss	91011.0869141
batch	270	valid_loss	88940.7783203
batch	300	valid_loss	86894.1494141
batch	330	valid_loss	84897.5620117
batch	360	valid_loss	83027.0678711
batch	390	valid_loss	81281.3369141
batch	420	valid_loss	79642.3588867
batch	450	valid_loss	78051.7993164
batch	480	valid_loss	76478.4682617
batch	510	valid_loss	74928.4047852
batch	540	valid_loss	73371.831543
batch	570	valid_loss	71821.2744141
batch	600	valid_loss	70265.2397461
batch	630	valid_loss	68721.9902344
batch	660	valid_loss	67207.2670898
batch	690	valid_loss	65738.230957
batch	720	valid_loss	64279.0507812
batch	750	valid_loss	62822.7583008
batch	780	valid_loss	61433.0654297
batch	810	valid_loss	60086.8779297
batch	840	valid_loss	58753.559082
batch	870	valid_loss	57484.3955078
batch	900	valid_loss	56217.1943359
batch	930	valid_loss	55025.4404297
batch	960	valid_loss	53866.3120117
batch	990	valid_loss	52744.527832
batch	1020	valid_loss	51670.1352539
batch	1050	valid_loss	50619.1914062
batch	1080	valid_loss	49593.3911133
batch	1110	valid_loss	48603.0327148
batch	1140	valid_loss	47676.0273438
batch	1170	valid_loss	46746.8496094
batch	1200	valid_loss	45828.9355469
batch	1230	valid_loss	44978.3479004
batch	1260	valid_loss	44154.7583008
batch	1290	valid_loss	43343.0996094
batch	1320	valid_loss	42585.1035156
batch	1350	valid_loss	41831.1887207
batch	1380	valid_loss	41089.2236328
batch	1410	valid_loss	40391.2834473
batch	1440	valid_loss	39702.689209
batch	1470	valid_loss	39036.3156738
batch	1500	valid_loss	38383.2851562
batch	1530	valid_loss	37758.4807129
batch	1560	valid_loss	37167.9946289
batch	1590	valid_loss	36575.4438477
batch	1620	valid_loss	35977.8945312
batch	1650	valid_loss	35451.9035645
batch	1680	valid_loss	34909.0622559
batch	1710	valid_loss	34409.0178223
batch	1740	valid_loss	33874.0632324
batch	1770	valid_loss	33382.1904297
batch	1800	valid_loss	32884.0385742
batch	1830	valid_loss	32463.7607422
batch	1860	valid_loss	31950.0168457
batch	1890	valid_loss	31527.1005859
batch	1920	valid_loss	31109.1491699
batch	1950	valid_loss	30691.6274414
batch	1980	valid_loss	30302.8017578
batch	2010	valid_loss	29922.1379395
batch	2040	valid_loss	29507.0910645
batch	2070	valid_loss	29161.9240723
batch	2100	valid_loss	28775.8127441
batch	2130	valid_loss	28430.5771484
batch	2160	valid_loss	28073.4152832
batch	2190	valid_loss	27747.3681641
batch	2220	valid_loss	27437.0515137
batch	2250	valid_loss	27118.5935059
batch	2280	valid_loss	26807.9567871
batch	2310	valid_loss	26511.652832
batch	2340	valid_loss	26236.3920898
batch	2370	valid_loss	25944.8730469
batch	2400	valid_loss	25685.4150391
batch	2430	valid_loss	25408.0563965
batch	2460	valid_loss	25151.5688477
batch	2490	valid_loss	24878.4428711
batch	2520	valid_loss	24637.8503418
batch	2550	valid_loss	24390.7109375
batch	2580	valid_loss	24161.1835938
batch	2610	valid_loss	23929.1350098
batch	2640	valid_loss	23712.9682617
batch	2670	valid_loss	23495.4611816
batch	2700	valid_loss	23268.0073242
batch	2730	valid_loss	23055.3974609
batch	2760	valid_loss	22875.6419678
batch	2790	valid_loss	22682.9379883
batch	2820	valid_loss	22498.4418945
batch	2850	valid_loss	22286.1729736
batch	2880	valid_loss	22118.5458984
