START
config	380	1140
batch	0	valid_loss	9129543.625
batch	30	valid_loss	243959.017578
batch	60	valid_loss	123582.204102
batch	90	valid_loss	115425.183594
batch	120	valid_loss	112489.115234
batch	150	valid_loss	109570.777344
batch	180	valid_loss	106463.37793
batch	210	valid_loss	103376.572266
batch	240	valid_loss	100396.602539
batch	270	valid_loss	97670.7001953
batch	300	valid_loss	95174.3955078
batch	330	valid_loss	92735.1738281
batch	360	valid_loss	90458.9267578
batch	390	valid_loss	88276.6772461
batch	420	valid_loss	86148.5932617
batch	450	valid_loss	84127.3647461
batch	480	valid_loss	82082.3994141
batch	510	valid_loss	80072.1806641
batch	540	valid_loss	78059.5483398
batch	570	valid_loss	76018.8012695
batch	600	valid_loss	74088.6274414
batch	630	valid_loss	72170.1635742
batch	660	valid_loss	70183.8774414
batch	690	valid_loss	68261.3564453
batch	720	valid_loss	66465.9824219
batch	750	valid_loss	64745.1552734
batch	780	valid_loss	62933.2944336
batch	810	valid_loss	61266.0693359
batch	840	valid_loss	59617.9521484
batch	870	valid_loss	58068.4375
batch	900	valid_loss	56592.675293
batch	930	valid_loss	55112.2744141
batch	960	valid_loss	53678.9672852
batch	990	valid_loss	52315.2763672
batch	1020	valid_loss	51033.8828125
batch	1050	valid_loss	49769.3852539
batch	1080	valid_loss	48575.2475586
batch	1110	valid_loss	47341.2490234
batch	1140	valid_loss	46247.2456055
batch	1170	valid_loss	45153.0761719
batch	1200	valid_loss	44118.222168
batch	1230	valid_loss	43186.480957
batch	1260	valid_loss	42146.0979004
batch	1290	valid_loss	41127.8852539
batch	1320	valid_loss	40236.6650391
batch	1350	valid_loss	39372.0578613
batch	1380	valid_loss	38473.3261719
batch	1410	valid_loss	37674.9228516
batch	1440	valid_loss	36892.9289551
batch	1470	valid_loss	36080.1018066
batch	1500	valid_loss	35382.440918
batch	1530	valid_loss	34656.5959473
batch	1560	valid_loss	33928.9902344
batch	1590	valid_loss	33272.8491211
batch	1620	valid_loss	32607.7751465
batch	1650	valid_loss	31989.6794434
batch	1680	valid_loss	31352.34375
batch	1710	valid_loss	30743.1159668
batch	1740	valid_loss	30214.5166016
batch	1770	valid_loss	29679.7148438
batch	1800	valid_loss	29091.9055176
batch	1830	valid_loss	28677.2160645
batch	1860	valid_loss	28114.6643066
batch	1890	valid_loss	27665.1821289
batch	1920	valid_loss	27212.1557617
batch	1950	valid_loss	26722.6914062
batch	1980	valid_loss	26277.4851074
batch	2010	valid_loss	25884.8808594
batch	2040	valid_loss	25482.9628906
batch	2070	valid_loss	25091.6264648
batch	2100	valid_loss	24708.4221191
batch	2130	valid_loss	24349.8532715
batch	2160	valid_loss	23975.8852539
batch	2190	valid_loss	23638.9829102
batch	2220	valid_loss	23280.0894775
batch	2250	valid_loss	22999.4616699
batch	2280	valid_loss	22640.3398438
batch	2310	valid_loss	22312.7098389
batch	2340	valid_loss	22040.8295898
batch	2370	valid_loss	21738.1251221
batch	2400	valid_loss	21487.5032959
batch	2430	valid_loss	21193.3881836
batch	2460	valid_loss	20945.0651855
batch	2490	valid_loss	20671.4884033
batch	2520	valid_loss	20478.1411133
batch	2550	valid_loss	20208.0841064
batch	2580	valid_loss	19910.1925049
batch	2610	valid_loss	19695.1838379
batch	2640	valid_loss	19463.4848633
batch	2670	valid_loss	19264.7840576
batch	2700	valid_loss	19052.8338623
batch	2730	valid_loss	18797.432373
batch	2760	valid_loss	18639.2414551
batch	2790	valid_loss	18483.6787109
batch	2820	valid_loss	18292.9382324
batch	2850	valid_loss	18044.9205322
batch	2880	valid_loss	17865.3393555
batch	2910	valid_loss	17684.2855225
batch	2940	valid_loss	17502.3040771
batch	2970	valid_loss	17395.7884521
batch	3000	valid_loss	17202.1844482
batch	3030	valid_loss	17050.1962891
batch	3060	valid_loss	16905.2188721
batch	3090	valid_loss	16704.6715088
batch	3120	valid_loss	16594.8220215
batch	3150	valid_loss	16397.2010498
batch	3180	valid_loss	16278.9713135
batch	3210	valid_loss	16188.1112061
batch	3240	valid_loss	15954.2333984
batch	3270	valid_loss	15844.2915039
batch	3300	valid_loss	15772.5500488
batch	3330	valid_loss	15652.2030029
batch	3360	valid_loss	15471.1864014
batch	3390	valid_loss	15382.7324219
batch	3420	valid_loss	15238.6014404
batch	3450	valid_loss	15161.1429443
batch	3480	valid_loss	14998.9768066
batch	3510	valid_loss	14915.2149658
batch	3540	valid_loss	14787.6563721
batch	3570	valid_loss	14694.7839355
batch	3600	valid_loss	14611.3980713
batch	3630	valid_loss	14507.4265137
batch	3660	valid_loss	14402.4536133
batch	3690	valid_loss	14307.9659424
batch	3720	valid_loss	14187.1685791
batch	3750	valid_loss	14131.4141846
batch	3780	valid_loss	13987.2198486
batch	3810	valid_loss	13930.0545654
batch	3840	valid_loss	13882.3138428
batch	3870	valid_loss	13736.3691406
batch	3900	valid_loss	13677.3800049
batch	3930	valid_loss	13652.9425049
batch	3960	valid_loss	13524.1862793
batch	3990	valid_loss	13462.4088135
batch	4020	valid_loss	13363.885376
batch	4050	valid_loss	13314.4375
batch	4080	valid_loss	13238.776001
batch	4110	valid_loss	13172.9331055
batch	4140	valid_loss	13110.2145996
batch	4170	valid_loss	12984.7641602
batch	4200	valid_loss	12977.2088623
batch	4230	valid_loss	12896.7701416
batch	4260	valid_loss	12852.1190186
batch	4290	valid_loss	12789.8894043
batch	4320	valid_loss	12744.3300781
batch	4350	valid_loss	12690.9614258
batch	4380	valid_loss	12608.4831543
batch	4410	valid_loss	12529.7064209
batch	4440	valid_loss	12481.5198975
batch	4470	valid_loss	12406.0758057
batch	4500	valid_loss	12407.9676514
batch	4530	valid_loss	12317.7661133
batch	4560	valid_loss	12327.3789062
batch	4590	valid_loss	12232.2685547
batch	4620	valid_loss	12193.0507812
batch	4650	valid_loss	12146.6577148
batch	4680	valid_loss	12148.7487793
batch	4710	valid_loss	12060.0021973
batch	4740	valid_loss	12038.2670898
batch	4770	valid_loss	12019.1582031
batch	4800	valid_loss	11904.7629395
batch	4830	valid_loss	11893.6567383
batch	4860	valid_loss	11884.1767578
batch	4890	valid_loss	11817.8890381
batch	4920	valid_loss	11805.1623535
batch	4950	valid_loss	11735.9082031
batch	4980	valid_loss	11684.5328369
batch	5010	valid_loss	11711.3206787
batch	5040	valid_loss	11603.3242188
batch	5070	valid_loss	11595.0230713
batch	5100	valid_loss	11524.7542114
batch	5130	valid_loss	11549.3334961
batch	5160	valid_loss	11493.152832
batch	5190	valid_loss	11466.3076172
batch	5220	valid_loss	11439.4716797
batch	5250	valid_loss	11435.7546387
batch	5280	valid_loss	11361.8579712
batch	5310	valid_loss	11385.6674805
batch	5340	valid_loss	11329.7915039
batch	5370	valid_loss	11285.5959473
batch	5400	valid_loss	11266.8030396
batch	5430	valid_loss	11215.1470337
batch	5460	valid_loss	11230.7060547
batch	5490	valid_loss	11216.8399048
batch	5520	valid_loss	11182.6468506
batch	5550	valid_loss	11156.0202026
batch	5580	valid_loss	11134.9211426
batch	5610	valid_loss	11089.972168
batch	5640	valid_loss	11092.7553101
batch	5670	valid_loss	11051.3788452
batch	5700	valid_loss	11050.9402466
batch	5730	valid_loss	10952.7579346
batch	5760	valid_loss	11041.0582275
batch	5790	valid_loss	10977.1248169
batch	5820	valid_loss	11018.0254517
batch	5850	valid_loss	10949.6661377
batch	5880	valid_loss	10953.8084106
batch	5910	valid_loss	10926.9336548
batch	5940	valid_loss	10912.3462524
batch	5970	valid_loss	10878.1158447
batch	6000	valid_loss	10836.3865356
batch	6030	valid_loss	10817.9805908
batch	6060	valid_loss	10816.5491943
batch	6090	valid_loss	10847.8348389
batch	6120	valid_loss	10807.9535522
batch	6150	valid_loss	10778.8837891
batch	6180	valid_loss	10771.9522095
batch	6210	valid_loss	10738.7485352
batch	6240	valid_loss	10787.6233521
batch	6270	valid_loss	10733.2999268
batch	6300	valid_loss	10732.7304688
batch	6330	valid_loss	10722.6646729
batch	6360	valid_loss	10662.3228149
batch	6390	valid_loss	10687.944397
batch	6420	valid_loss	10675.7114258
batch	6450	valid_loss	10660.7005615
batch	6480	valid_loss	10700.2779541
batch	6510	valid_loss	10607.1674194
batch	6540	valid_loss	10596.7456665
batch	6570	valid_loss	10626.2798462
batch	6600	valid_loss	10633.3671265
batch	6630	valid_loss	10591.156311
batch	6660	valid_loss	10567.5650024
batch	6690	valid_loss	10578.3536377
batch	6720	valid_loss	10571.2479248
batch	6750	valid_loss	10539.6369629
batch	6780	valid_loss	10582.7664795
batch	6810	valid_loss	10533.3959961
batch	6840	valid_loss	10476.52948
batch	6870	valid_loss	10533.6068115
batch	6900	valid_loss	10507.1187134
batch	6930	valid_loss	10487.3532104
batch	6960	valid_loss	10485.479248
batch	6990	valid_loss	10481.9829712
batch	7020	valid_loss	10501.6548462
batch	7050	valid_loss	10507.1645508
batch	7080	valid_loss	10408.0964966
batch	7110	valid_loss	10508.4002075
batch	7140	valid_loss	10428.2020264
batch	7170	valid_loss	10451.640625
batch	7200	valid_loss	10417.7919312
batch	7230	valid_loss	10421.5754395
batch	7260	valid_loss	10436.8013916
batch	7290	valid_loss	10349.2324829
batch	7320	valid_loss	10434.7313843
batch	7350	valid_loss	10398.5565796
batch	7380	valid_loss	10434.6895752
batch	7410	valid_loss	10359.9307251
batch	7440	valid_loss	10373.9744263
batch	7470	valid_loss	10385.9815063
batch	7500	valid_loss	10384.6911621
batch	7530	valid_loss	10389.0639648
batch	7560	valid_loss	10368.4528809
batch	7590	valid_loss	10358.7405396
batch	7620	valid_loss	10321.1101074
batch	7650	valid_loss	10451.3764038
batch	7680	valid_loss	10330.1762695
batch	7710	valid_loss	10327.4082642
batch	7740	valid_loss	10311.2978516
batch	7770	valid_loss	10313.2136841
batch	7800	valid_loss	10353.3640137
batch	7830	valid_loss	10285.6282959
batch	7860	valid_loss	10325.6762695
batch	7890	valid_loss	10365.430603
batch	7920	valid_loss	10273.3848877
batch	7950	valid_loss	10292.6333618
batch	7980	valid_loss	10294.0366211
batch	8010	valid_loss	10307.0336304
batch	8040	valid_loss	10310.4833374
batch	8070	valid_loss	10267.0658569
batch	8100	valid_loss	10251.3911133
batch	8130	valid_loss	10284.7678833
batch	8160	valid_loss	10307.3897705
batch	8190	valid_loss	10263.5139771
batch	8220	valid_loss	10231.0241699
batch	8250	valid_loss	10250.2387695
batch	8280	valid_loss	10405.9555054
batch	8310	valid_loss	10232.5558472
batch	8340	valid_loss	10255.9498901
batch	8370	valid_loss	10285.0662231
batch	8400	valid_loss	10224.6015015
batch	8430	valid_loss	10224.3630981
batch	8460	valid_loss	10203.2628784
batch	8490	valid_loss	10223.8536377
batch	8520	valid_loss	10206.383606
batch	8550	valid_loss	10222.7272949
batch	8580	valid_loss	10240.934021
batch	8610	valid_loss	10363.0639648
batch	8640	valid_loss	10164.5001221
batch	8670	valid_loss	10201.789917
batch	8700	valid_loss	10202.5322266
batch	8730	valid_loss	10224.7749023
batch	8760	valid_loss	10199.0606689
batch	8790	valid_loss	10187.8465576
batch	8820	valid_loss	10180.3708496
batch	8850	valid_loss	10160.3848267
batch	8880	valid_loss	10213.0654907
batch	8910	valid_loss	10178.6348877
batch	8940	valid_loss	10228.6744385
batch	8970	valid_loss	10164.06073
batch	9000	valid_loss	10162.8345947
batch	9030	valid_loss	10184.5321045
batch	9060	valid_loss	10164.0875854
batch	9090	valid_loss	10301.1829834
batch	9120	valid_loss	10153.9188232
batch	9150	valid_loss	10164.0256958
batch	9180	valid_loss	10168.3344727
batch	9210	valid_loss	10177.3255005
batch	9240	valid_loss	10233.1536255
batch	9270	valid_loss	10148.350769
batch	9300	valid_loss	10146.5950928
batch	9330	valid_loss	10202.7003784
batch	9360	valid_loss	10183.4593506
batch	9390	valid_loss	10117.473877
batch	9420	valid_loss	10179.8764038
batch	9450	valid_loss	10128.7059937
batch	9480	valid_loss	10088.8209229
batch	9510	valid_loss	10147.3804932
batch	9540	valid_loss	10139.4943848
batch	9570	valid_loss	10165.6027222
batch	9600	valid_loss	10138.2122192
batch	9630	valid_loss	10120.9396362
batch	9660	valid_loss	10123.2216797
batch	9690	valid_loss	10125.119812
batch	9720	valid_loss	10148.9370117
batch	9750	valid_loss	10134.7160645
batch	9780	valid_loss	10068.4714355
batch	9810	valid_loss	10136.7262573
batch	9840	valid_loss	10156.9376831
batch	9870	valid_loss	10093.8873291
batch	9900	valid_loss	10116.2125854
batch	9930	valid_loss	10145.0311279
batch	9960	valid_loss	10095.0095215
batch	9990	valid_loss	10094.2207642
batch	10020	valid_loss	10076.2335205
batch	10050	valid_loss	10092.1658325
batch	10080	valid_loss	10111.517334
batch	10110	valid_loss	10057.723938
batch	10140	valid_loss	10132.9816284
batch	10170	valid_loss	10135.197876
batch	10200	valid_loss	10093.2542114
batch	10230	valid_loss	10121.1020508
batch	10260	valid_loss	10078.1816406
batch	10290	valid_loss	10094.4326172
batch	10320	valid_loss	10096.7528076
batch	10350	valid_loss	10087.1079102
batch	10380	valid_loss	10126.3691406
batch	10410	valid_loss	10010.6131592
batch	10440	valid_loss	10079.4891968
batch	10470	valid_loss	10148.7409058
batch	10500	valid_loss	10125.473999
batch	10530	valid_loss	10039.187439
batch	10560	valid_loss	10078.1541138
batch	10590	valid_loss	10111.1448975
batch	10620	valid_loss	10055.3170166
batch	10650	valid_loss	10086.2269897
batch	10680	valid_loss	10048.322937
batch	10710	valid_loss	10242.7912598
batch	10740	valid_loss	10075.239624
batch	10770	valid_loss	10076.2490234
batch	10800	valid_loss	10073.8956909
batch	10830	valid_loss	10048.5009766
batch	10860	valid_loss	10054.9744263
batch	10890	valid_loss	10054.880127
batch	10920	valid_loss	10075.210083
