START
config	240	960
batch	0	valid_loss	8112824.75
batch	30	valid_loss	233960.744141
batch	60	valid_loss	126394.157227
batch	90	valid_loss	119255.051758
batch	120	valid_loss	116770.119141
batch	150	valid_loss	114352.0
batch	180	valid_loss	111775.25
batch	210	valid_loss	109056.787109
batch	240	valid_loss	106326.135742
batch	270	valid_loss	103746.018555
batch	300	valid_loss	101255.566406
batch	330	valid_loss	98870.3955078
batch	360	valid_loss	96643.6533203
batch	390	valid_loss	94600.2763672
batch	420	valid_loss	92592.8203125
batch	450	valid_loss	90683.0834961
batch	480	valid_loss	88801.7167969
batch	510	valid_loss	86864.0585938
batch	540	valid_loss	85003.8696289
batch	570	valid_loss	83161.3061523
batch	600	valid_loss	81366.480957
batch	630	valid_loss	79491.3574219
batch	660	valid_loss	77719.0292969
batch	690	valid_loss	75981.6606445
batch	720	valid_loss	74269.1132812
batch	750	valid_loss	72628.4663086
batch	780	valid_loss	71002.5844727
batch	810	valid_loss	69418.7753906
batch	840	valid_loss	67927.7832031
batch	870	valid_loss	66433.0581055
batch	900	valid_loss	65006.8842773
batch	930	valid_loss	63581.6723633
batch	960	valid_loss	62240.5566406
batch	990	valid_loss	60968.4467773
batch	1020	valid_loss	59705.0068359
batch	1050	valid_loss	58456.5825195
batch	1080	valid_loss	57282.2661133
batch	1110	valid_loss	56143.8188477
batch	1140	valid_loss	55043.6606445
batch	1170	valid_loss	54007.546875
batch	1200	valid_loss	52963.1494141
batch	1230	valid_loss	51965.8500977
batch	1260	valid_loss	51020.0844727
batch	1290	valid_loss	50113.4038086
batch	1320	valid_loss	49231.4238281
batch	1350	valid_loss	48372.559082
batch	1380	valid_loss	47561.3549805
batch	1410	valid_loss	46746.6669922
batch	1440	valid_loss	45975.4423828
batch	1470	valid_loss	45226.9594727
batch	1500	valid_loss	44547.534668
batch	1530	valid_loss	43819.9926758
batch	1560	valid_loss	43207.7670898
batch	1590	valid_loss	42513.236084
batch	1620	valid_loss	41875.7233887
batch	1650	valid_loss	41252.0412598
batch	1680	valid_loss	40666.3330078
batch	1710	valid_loss	40088.7724609
batch	1740	valid_loss	39572.9455566
batch	1770	valid_loss	38997.3024902
batch	1800	valid_loss	38502.1411133
batch	1830	valid_loss	38012.6057129
batch	1860	valid_loss	37565.5686035
batch	1890	valid_loss	37057.7336426
batch	1920	valid_loss	36616.876709
batch	1950	valid_loss	36175.1584473
batch	1980	valid_loss	35756.4592285
batch	2010	valid_loss	35362.109375
batch	2040	valid_loss	34948.355957
