START
config	200	1140
batch	0	valid_loss	9508373.5
batch	30	valid_loss	238344.978516
batch	60	valid_loss	104438.280273
batch	90	valid_loss	96565.2158203
batch	120	valid_loss	95146.3085938
batch	150	valid_loss	93966.7060547
batch	180	valid_loss	92652.6367188
batch	210	valid_loss	91273.1381836
batch	240	valid_loss	89673.4604492
batch	270	valid_loss	88073.7612305
batch	300	valid_loss	86415.0068359
batch	330	valid_loss	84730.4887695
batch	360	valid_loss	83090.8061523
batch	390	valid_loss	81423.9868164
batch	420	valid_loss	79771.0361328
batch	450	valid_loss	78120.3793945
batch	480	valid_loss	76578.4975586
batch	510	valid_loss	75107.5722656
batch	540	valid_loss	73647.9091797
batch	570	valid_loss	72275.996582
batch	600	valid_loss	70827.9628906
batch	630	valid_loss	69401.8793945
batch	660	valid_loss	68080.6953125
batch	690	valid_loss	66740.2446289
batch	720	valid_loss	65371.0751953
batch	750	valid_loss	64055.1083984
batch	780	valid_loss	62766.8569336
batch	810	valid_loss	61524.2983398
batch	840	valid_loss	60246.5673828
batch	870	valid_loss	59045.8447266
batch	900	valid_loss	57844.2070312
batch	930	valid_loss	56749.6166992
batch	960	valid_loss	55594.5688477
batch	990	valid_loss	54506.7441406
batch	1020	valid_loss	53471.0932617
batch	1050	valid_loss	52434.0170898
batch	1080	valid_loss	51462.1142578
batch	1110	valid_loss	50459.5258789
batch	1140	valid_loss	49538.9140625
batch	1170	valid_loss	48622.4609375
batch	1200	valid_loss	47732.9594727
batch	1230	valid_loss	46881.4853516
batch	1260	valid_loss	46038.9394531
batch	1290	valid_loss	45206.204834
batch	1320	valid_loss	44436.03125
batch	1350	valid_loss	43679.5349121
batch	1380	valid_loss	42945.6381836
batch	1410	valid_loss	42213.0639648
batch	1440	valid_loss	41543.9506836
batch	1470	valid_loss	40838.5715332
batch	1500	valid_loss	40210.1896973
batch	1530	valid_loss	39568.0495605
batch	1560	valid_loss	38946.0109863
batch	1590	valid_loss	38358.7736816
batch	1620	valid_loss	37781.2021484
batch	1650	valid_loss	37238.7897949
batch	1680	valid_loss	36655.9943848
batch	1710	valid_loss	36144.4372559
batch	1740	valid_loss	35612.5380859
batch	1770	valid_loss	35132.072998
batch	1800	valid_loss	34630.3876953
batch	1830	valid_loss	34140.5305176
batch	1860	valid_loss	33676.1040039
batch	1890	valid_loss	33258.1589355
batch	1920	valid_loss	32797.3771973
batch	1950	valid_loss	32365.4916992
