START
config	480	960
batch	0	valid_loss	7779062.125
batch	30	valid_loss	206154.748047
batch	60	valid_loss	105302.458984
batch	90	valid_loss	97192.9736328
batch	120	valid_loss	93799.6933594
batch	150	valid_loss	90541.4301758
batch	180	valid_loss	87287.3955078
batch	210	valid_loss	83837.6088867
batch	240	valid_loss	80645.6801758
batch	270	valid_loss	77535.3237305
batch	300	valid_loss	74600.5996094
batch	330	valid_loss	71794.8901367
batch	360	valid_loss	69033.9868164
batch	390	valid_loss	66331.4511719
batch	420	valid_loss	63753.2875977
batch	450	valid_loss	61270.8813477
batch	480	valid_loss	58939.1772461
batch	510	valid_loss	56580.2080078
batch	540	valid_loss	54276.1396484
batch	570	valid_loss	52101.328125
batch	600	valid_loss	49976.9160156
batch	630	valid_loss	47876.8759766
batch	660	valid_loss	45894.4599609
batch	690	valid_loss	44023.5185547
batch	720	valid_loss	42176.5810547
batch	750	valid_loss	40432.8674316
batch	780	valid_loss	38763.9060059
batch	810	valid_loss	37200.0375977
batch	840	valid_loss	35622.0302734
batch	870	valid_loss	34210.4240723
batch	900	valid_loss	32890.7900391
batch	930	valid_loss	31533.0656738
batch	960	valid_loss	30306.628418
batch	990	valid_loss	29121.2399902
batch	1020	valid_loss	28018.0598145
batch	1050	valid_loss	26931.1052246
batch	1080	valid_loss	25919.4008789
batch	1110	valid_loss	24949.8972168
batch	1140	valid_loss	23979.1962891
batch	1170	valid_loss	23161.4870605
batch	1200	valid_loss	22278.5830078
batch	1230	valid_loss	21500.3956299
batch	1260	valid_loss	20755.3032227
batch	1290	valid_loss	20002.574707
batch	1320	valid_loss	19328.2172852
batch	1350	valid_loss	18648.489624
batch	1380	valid_loss	18019.3197021
batch	1410	valid_loss	17435.7313232
batch	1440	valid_loss	16840.7922363
batch	1470	valid_loss	16303.9329834
batch	1500	valid_loss	15803.2355957
batch	1530	valid_loss	15271.939209
batch	1560	valid_loss	14839.5961914
batch	1590	valid_loss	14346.1149902
batch	1620	valid_loss	13909.8720703
batch	1650	valid_loss	13478.883667
batch	1680	valid_loss	13084.5317383
batch	1710	valid_loss	12705.9241943
batch	1740	valid_loss	12367.2485352
batch	1770	valid_loss	12040.2276611
batch	1800	valid_loss	11690.2806396
batch	1830	valid_loss	11377.7928467
batch	1860	valid_loss	11045.215271
batch	1890	valid_loss	10741.1353149
batch	1920	valid_loss	10497.5643311
batch	1950	valid_loss	10199.6018677
batch	1980	valid_loss	9955.08813477
batch	2010	valid_loss	9677.81140137
batch	2040	valid_loss	9486.43719482
batch	2070	valid_loss	9214.95507812
batch	2100	valid_loss	9019.56280518
