START
config	380	960
batch	0	valid_loss	7780764.0
batch	30	valid_loss	226386.460938
batch	60	valid_loss	126927.483398
batch	90	valid_loss	120018.458008
batch	120	valid_loss	117375.017578
batch	150	valid_loss	114891.366211
batch	180	valid_loss	112206.835938
batch	210	valid_loss	109465.893555
batch	240	valid_loss	106745.675781
batch	270	valid_loss	104093.194336
batch	300	valid_loss	101588.87793
batch	330	valid_loss	99262.1279297
batch	360	valid_loss	97104.8447266
batch	390	valid_loss	95044.2568359
batch	420	valid_loss	93160.9199219
batch	450	valid_loss	91383.5288086
batch	480	valid_loss	89723.8149414
batch	510	valid_loss	87985.3017578
batch	540	valid_loss	86391.3681641
batch	570	valid_loss	84778.0400391
batch	600	valid_loss	83268.1240234
batch	630	valid_loss	81847.8085938
batch	660	valid_loss	80287.7358398
batch	690	valid_loss	78880.2783203
batch	720	valid_loss	77472.3745117
batch	750	valid_loss	76155.815918
batch	780	valid_loss	74832.675293
batch	810	valid_loss	73569.440918
batch	840	valid_loss	72259.9873047
batch	870	valid_loss	71116.8808594
batch	900	valid_loss	69959.6289062
batch	930	valid_loss	68877.4091797
batch	960	valid_loss	67874.637207
batch	990	valid_loss	66809.5195312
batch	1020	valid_loss	65826.1254883
batch	1050	valid_loss	64855.5136719
batch	1080	valid_loss	63923.5097656
batch	1110	valid_loss	63078.3022461
batch	1140	valid_loss	62203.6464844
batch	1170	valid_loss	61304.2900391
batch	1200	valid_loss	60605.5341797
batch	1230	valid_loss	59798.8803711
batch	1260	valid_loss	59038.2055664
batch	1290	valid_loss	58310.3745117
batch	1320	valid_loss	57634.7226562
batch	1350	valid_loss	56885.2495117
batch	1380	valid_loss	56226.9111328
batch	1410	valid_loss	55639.78125
batch	1440	valid_loss	55063.1108398
batch	1470	valid_loss	54448.394043
batch	1500	valid_loss	53876.9023438
batch	1530	valid_loss	53354.8100586
batch	1560	valid_loss	52781.2905273
batch	1590	valid_loss	52322.1459961
batch	1620	valid_loss	51883.9257812
batch	1650	valid_loss	51244.3486328
batch	1680	valid_loss	50773.1547852
batch	1710	valid_loss	50377.722168
batch	1740	valid_loss	50066.0043945
batch	1770	valid_loss	49516.9414062
batch	1800	valid_loss	49159.5068359
batch	1830	valid_loss	48774.1904297
batch	1860	valid_loss	48373.1567383
