START
config	300	1140
batch	0	valid_loss	9840485.875
batch	30	valid_loss	225887.208984
batch	60	valid_loss	103760.425781
batch	90	valid_loss	96723.2333984
batch	120	valid_loss	95195.4755859
batch	150	valid_loss	93828.6616211
batch	180	valid_loss	92339.0693359
batch	210	valid_loss	90650.2963867
batch	240	valid_loss	88848.4335938
batch	270	valid_loss	87079.5424805
batch	300	valid_loss	85523.684082
batch	330	valid_loss	83956.0527344
batch	360	valid_loss	82627.1845703
batch	390	valid_loss	81284.8632812
batch	420	valid_loss	80087.3847656
batch	450	valid_loss	78999.5566406
batch	480	valid_loss	77905.1049805
batch	510	valid_loss	76876.4291992
batch	540	valid_loss	75728.0185547
batch	570	valid_loss	74755.9907227
batch	600	valid_loss	73673.9760742
batch	630	valid_loss	72632.2148438
batch	660	valid_loss	71626.480957
batch	690	valid_loss	70594.7104492
batch	720	valid_loss	69564.0126953
batch	750	valid_loss	68517.246582
batch	780	valid_loss	67614.8037109
batch	810	valid_loss	66613.3769531
batch	840	valid_loss	65676.8393555
batch	870	valid_loss	64785.2109375
batch	900	valid_loss	63852.6240234
batch	930	valid_loss	63046.144043
batch	960	valid_loss	62108.0449219
batch	990	valid_loss	61289.9487305
batch	1020	valid_loss	60473.7983398
batch	1050	valid_loss	59684.3388672
batch	1080	valid_loss	58887.2001953
batch	1110	valid_loss	58224.7172852
batch	1140	valid_loss	57435.4316406
batch	1170	valid_loss	56746.0800781
batch	1200	valid_loss	56010.6040039
batch	1230	valid_loss	55339.7285156
batch	1260	valid_loss	54706.4506836
batch	1290	valid_loss	54074.4677734
batch	1320	valid_loss	53435.9970703
batch	1350	valid_loss	52810.6298828
batch	1380	valid_loss	52247.3300781
batch	1410	valid_loss	51772.269043
batch	1440	valid_loss	51209.5463867
batch	1470	valid_loss	50593.9306641
batch	1500	valid_loss	50106.0019531
batch	1530	valid_loss	49585.1772461
batch	1560	valid_loss	49159.8510742
batch	1590	valid_loss	48611.6660156
batch	1620	valid_loss	48214.3891602
batch	1650	valid_loss	47711.9150391
batch	1680	valid_loss	47316.159668
batch	1710	valid_loss	46885.8183594
batch	1740	valid_loss	46533.2436523
batch	1770	valid_loss	46128.1169434
batch	1800	valid_loss	45652.1762695
batch	1830	valid_loss	45315.2570801
batch	1860	valid_loss	44916.1994629
batch	1890	valid_loss	44566.5183105
batch	1920	valid_loss	44266.3088379
batch	1950	valid_loss	43981.4182129
batch	1980	valid_loss	43612.2456055
batch	2010	valid_loss	43291.7463379
batch	2040	valid_loss	43067.2602539
batch	2070	valid_loss	42734.6638184
batch	2100	valid_loss	42362.0490723
batch	2130	valid_loss	42113.1130371
batch	2160	valid_loss	41844.3249512
batch	2190	valid_loss	41532.8439941
batch	2220	valid_loss	41255.1901855
batch	2250	valid_loss	41066.0490723
batch	2280	valid_loss	40841.9245605
batch	2310	valid_loss	40613.9938965
batch	2340	valid_loss	40333.4694824
batch	2370	valid_loss	40171.8212891
batch	2400	valid_loss	39901.0541992
batch	2430	valid_loss	39634.1850586
batch	2460	valid_loss	39434.342041
batch	2490	valid_loss	39364.6279297
batch	2520	valid_loss	39013.1137695
batch	2550	valid_loss	38805.2524414
batch	2580	valid_loss	38658.6640625
batch	2610	valid_loss	38513.1218262
batch	2640	valid_loss	38324.8886719
batch	2670	valid_loss	38211.4667969
batch	2700	valid_loss	37984.8605957
batch	2730	valid_loss	37869.0712891
batch	2760	valid_loss	37652.8830566
batch	2790	valid_loss	37444.2504883
batch	2820	valid_loss	37281.5339355
batch	2850	valid_loss	37133.9455566
batch	2880	valid_loss	37054.6879883
batch	2910	valid_loss	36844.9020996
batch	2940	valid_loss	36763.1040039
batch	2970	valid_loss	36703.3476562
batch	3000	valid_loss	36432.8395996
batch	3030	valid_loss	36240.3752441
batch	3060	valid_loss	36175.6442871
batch	3090	valid_loss	36043.097168
batch	3120	valid_loss	36049.0812988
batch	3150	valid_loss	35772.7041016
batch	3180	valid_loss	35669.6359863
batch	3210	valid_loss	35516.8769531
batch	3240	valid_loss	35481.8347168
batch	3270	valid_loss	35372.0595703
batch	3300	valid_loss	35264.5649414
batch	3330	valid_loss	35151.6818848
batch	3360	valid_loss	35070.3139648
batch	3390	valid_loss	34869.4001465
batch	3420	valid_loss	34889.1064453
batch	3450	valid_loss	34634.4614258
batch	3480	valid_loss	34642.315918
batch	3510	valid_loss	34600.7692871
batch	3540	valid_loss	34425.9682617
batch	3570	valid_loss	34332.9714355
batch	3600	valid_loss	34272.3747559
batch	3630	valid_loss	34216.9562988
batch	3660	valid_loss	34035.2751465
batch	3690	valid_loss	33945.7175293
batch	3720	valid_loss	33897.7692871
batch	3750	valid_loss	33816.1657715
batch	3780	valid_loss	33730.5849609
batch	3810	valid_loss	33653.324707
batch	3840	valid_loss	33610.1459961
batch	3870	valid_loss	33553.4680176
batch	3900	valid_loss	33388.6679688
batch	3930	valid_loss	33417.8146973
batch	3960	valid_loss	33320.3183594
batch	3990	valid_loss	33234.0737305
batch	4020	valid_loss	33053.0356445
batch	4050	valid_loss	33260.7265625
batch	4080	valid_loss	32972.3166504
batch	4110	valid_loss	32892.3757324
batch	4140	valid_loss	32818.1176758
batch	4170	valid_loss	32812.2150879
batch	4200	valid_loss	32754.8820801
batch	4230	valid_loss	32766.5969238
batch	4260	valid_loss	32666.9299316
batch	4290	valid_loss	32600.7158203
batch	4320	valid_loss	32495.9321289
batch	4350	valid_loss	32473.0690918
batch	4380	valid_loss	32333.572998
batch	4410	valid_loss	32360.0830078
batch	4440	valid_loss	32285.7963867
batch	4470	valid_loss	32168.0620117
batch	4500	valid_loss	32224.9921875
batch	4530	valid_loss	32219.90625
batch	4560	valid_loss	32076.4921875
batch	4590	valid_loss	31943.1948242
batch	4620	valid_loss	31979.1777344
batch	4650	valid_loss	31904.6464844
batch	4680	valid_loss	31955.901123
batch	4710	valid_loss	31766.2126465
batch	4740	valid_loss	31703.0336914
batch	4770	valid_loss	31644.2307129
batch	4800	valid_loss	31675.6972656
batch	4830	valid_loss	31616.0314941
batch	4860	valid_loss	31610.0388184
batch	4890	valid_loss	31588.0671387
batch	4920	valid_loss	31538.8200684
batch	4950	valid_loss	31368.1713867
batch	4980	valid_loss	31471.9421387
batch	5010	valid_loss	31292.5742188
batch	5040	valid_loss	31350.5795898
batch	5070	valid_loss	31361.7053223
batch	5100	valid_loss	31250.0522461
batch	5130	valid_loss	31187.878418
batch	5160	valid_loss	31202.0117188
batch	5190	valid_loss	31219.4035645
batch	5220	valid_loss	31072.8789062
batch	5250	valid_loss	31016.6875
batch	5280	valid_loss	31046.9572754
batch	5310	valid_loss	30978.6367188
batch	5340	valid_loss	30943.786377
batch	5370	valid_loss	30868.7839355
batch	5400	valid_loss	30918.7744141
batch	5430	valid_loss	30859.888916
batch	5460	valid_loss	30771.8605957
batch	5490	valid_loss	30821.6420898
batch	5520	valid_loss	30788.965332
batch	5550	valid_loss	30714.112793
batch	5580	valid_loss	30584.7094727
batch	5610	valid_loss	30842.9890137
batch	5640	valid_loss	30585.421875
batch	5670	valid_loss	30544.552002
batch	5700	valid_loss	30514.0998535
batch	5730	valid_loss	30522.3022461
batch	5760	valid_loss	30498.7973633
batch	5790	valid_loss	30537.8249512
batch	5820	valid_loss	30487.2978516
batch	5850	valid_loss	30441.6848145
batch	5880	valid_loss	30342.9980469
batch	5910	valid_loss	30405.1821289
batch	5940	valid_loss	30306.8557129
batch	5970	valid_loss	30319.7382812
batch	6000	valid_loss	30251.0029297
batch	6030	valid_loss	30206.286377
batch	6060	valid_loss	30242.7814941
batch	6090	valid_loss	30284.0922852
batch	6120	valid_loss	30205.9853516
batch	6150	valid_loss	30056.5842285
batch	6180	valid_loss	30158.2973633
batch	6210	valid_loss	30048.4213867
batch	6240	valid_loss	30139.7404785
batch	6270	valid_loss	29991.154541
batch	6300	valid_loss	29971.1220703
batch	6330	valid_loss	29963.5864258
