START
config	20	960
batch	0	valid_loss	9609725.25
batch	30	valid_loss	5341998.40625
batch	60	valid_loss	2087569.75
batch	90	valid_loss	723374.402344
batch	120	valid_loss	304401.761719
batch	150	valid_loss	176142.277344
batch	180	valid_loss	132544.533203
batch	210	valid_loss	115307.149414
batch	240	valid_loss	107391.15332
batch	270	valid_loss	103471.416992
batch	300	valid_loss	101469.265625
batch	330	valid_loss	100439.889648
batch	360	valid_loss	99927.7939453
batch	390	valid_loss	99661.1318359
batch	420	valid_loss	99548.5351562
batch	450	valid_loss	99483.8515625
batch	480	valid_loss	99442.5996094
batch	510	valid_loss	99415.1904297
batch	540	valid_loss	99412.1132812
batch	570	valid_loss	99381.3964844
batch	600	valid_loss	99379.8359375
batch	630	valid_loss	99354.9238281
batch	660	valid_loss	99342.9580078
batch	690	valid_loss	99317.5371094
batch	720	valid_loss	99295.8486328
batch	750	valid_loss	99285.7910156
batch	780	valid_loss	99259.1972656
batch	810	valid_loss	99273.7626953
batch	840	valid_loss	99247.2060547
batch	870	valid_loss	99223.9804688
batch	900	valid_loss	99205.9052734
batch	930	valid_loss	99201.4072266
batch	960	valid_loss	99180.2646484
batch	990	valid_loss	99154.2753906
batch	1020	valid_loss	99136.9677734
batch	1050	valid_loss	99106.5371094
batch	1080	valid_loss	99091.5888672
batch	1110	valid_loss	99074.7978516
batch	1140	valid_loss	99043.5693359
batch	1170	valid_loss	99032.7841797
batch	1200	valid_loss	98977.9960938
batch	1230	valid_loss	98965.5332031
batch	1260	valid_loss	98929.0605469
batch	1290	valid_loss	98893.5478516
batch	1320	valid_loss	98842.1220703
batch	1350	valid_loss	98798.8574219
batch	1380	valid_loss	98762.4462891
batch	1410	valid_loss	98708.8837891
batch	1440	valid_loss	98652.4238281
batch	1470	valid_loss	98583.3457031
batch	1500	valid_loss	98499.3515625
batch	1530	valid_loss	98431.3701172
batch	1560	valid_loss	98333.2900391
batch	1590	valid_loss	98239.6513672
batch	1620	valid_loss	98104.7958984
batch	1650	valid_loss	97945.5009766
batch	1680	valid_loss	97799.0263672
batch	1710	valid_loss	97630.2724609
batch	1740	valid_loss	97445.5878906
batch	1770	valid_loss	97217.0947266
batch	1800	valid_loss	96950.9560547
batch	1830	valid_loss	96682.1923828
batch	1860	valid_loss	96365.4658203
batch	1890	valid_loss	96000.6669922
batch	1920	valid_loss	95621.8417969
batch	1950	valid_loss	95200.5166016
batch	1980	valid_loss	94792.5302734
batch	2010	valid_loss	94343.9921875
batch	2040	valid_loss	93903.0595703
batch	2070	valid_loss	93454.0297852
batch	2100	valid_loss	93025.7939453
batch	2130	valid_loss	92577.9433594
batch	2160	valid_loss	92191.4765625
batch	2190	valid_loss	91819.6791992
batch	2220	valid_loss	91477.8466797
batch	2250	valid_loss	91161.4086914
batch	2280	valid_loss	90872.7890625
batch	2310	valid_loss	90611.1484375
batch	2340	valid_loss	90366.8461914
batch	2370	valid_loss	90172.0683594
batch	2400	valid_loss	89960.3325195
batch	2430	valid_loss	89767.4584961
batch	2460	valid_loss	89582.4370117
batch	2490	valid_loss	89420.9848633
batch	2520	valid_loss	89245.465332
batch	2550	valid_loss	89074.9624023
batch	2580	valid_loss	88919.3486328
batch	2610	valid_loss	88751.371582
batch	2640	valid_loss	88603.6572266
batch	2670	valid_loss	88444.137207
batch	2700	valid_loss	88280.5541992
batch	2730	valid_loss	88161.9980469
batch	2760	valid_loss	87980.4658203
batch	2790	valid_loss	87840.6835938
batch	2820	valid_loss	87691.5063477
batch	2850	valid_loss	87527.5693359
batch	2880	valid_loss	87380.1074219
batch	2910	valid_loss	87231.6264648
batch	2940	valid_loss	87109.7631836
batch	2970	valid_loss	86953.8691406
batch	3000	valid_loss	86818.3276367
batch	3030	valid_loss	86700.1259766
batch	3060	valid_loss	86537.4296875
batch	3090	valid_loss	86398.1142578
batch	3120	valid_loss	86290.7675781
batch	3150	valid_loss	86152.8725586
batch	3180	valid_loss	86001.668457
batch	3210	valid_loss	85858.0625
batch	3240	valid_loss	85746.7915039
batch	3270	valid_loss	85622.2177734
batch	3300	valid_loss	85507.390625
batch	3330	valid_loss	85362.4599609
batch	3360	valid_loss	85237.3662109
batch	3390	valid_loss	85127.8193359
batch	3420	valid_loss	84999.8330078
batch	3450	valid_loss	84866.5844727
batch	3480	valid_loss	84732.4018555
batch	3510	valid_loss	84590.9448242
batch	3540	valid_loss	84466.2866211
batch	3570	valid_loss	84340.5161133
batch	3600	valid_loss	84200.0239258
batch	3630	valid_loss	84063.5644531
batch	3660	valid_loss	83917.7236328
batch	3690	valid_loss	83742.480957
batch	3720	valid_loss	83626.5908203
batch	3750	valid_loss	83475.0957031
batch	3780	valid_loss	83307.2387695
batch	3810	valid_loss	83173.1240234
batch	3840	valid_loss	83005.9204102
batch	3870	valid_loss	82836.2773438
batch	3900	valid_loss	82668.2387695
batch	3930	valid_loss	82539.3408203
batch	3960	valid_loss	82365.3579102
batch	3990	valid_loss	82193.0913086
batch	4020	valid_loss	82036.1005859
batch	4050	valid_loss	81890.8725586
batch	4080	valid_loss	81712.3349609
batch	4110	valid_loss	81540.6782227
batch	4140	valid_loss	81382.4375
batch	4170	valid_loss	81222.2246094
batch	4200	valid_loss	81061.3720703
batch	4230	valid_loss	80899.1186523
batch	4260	valid_loss	80728.6914062
batch	4290	valid_loss	80578.6894531
batch	4320	valid_loss	80410.2387695
batch	4350	valid_loss	80252.0961914
batch	4380	valid_loss	80101.3544922
batch	4410	valid_loss	79940.9487305
batch	4440	valid_loss	79786.9648438
batch	4470	valid_loss	79633.1621094
batch	4500	valid_loss	79497.6103516
batch	4530	valid_loss	79347.8222656
batch	4560	valid_loss	79200.6381836
batch	4590	valid_loss	79063.0297852
batch	4620	valid_loss	78895.1782227
batch	4650	valid_loss	78752.3823242
batch	4680	valid_loss	78629.6054688
batch	4710	valid_loss	78494.8569336
batch	4740	valid_loss	78326.4985352
batch	4770	valid_loss	78178.7441406
batch	4800	valid_loss	78052.0864258
batch	4830	valid_loss	77907.4291992
batch	4860	valid_loss	77792.40625
batch	4890	valid_loss	77637.1762695
batch	4920	valid_loss	77504.7255859
batch	4950	valid_loss	77385.9174805
batch	4980	valid_loss	77254.3632812
batch	5010	valid_loss	77113.6948242
batch	5040	valid_loss	77001.5175781
batch	5070	valid_loss	76860.1000977
batch	5100	valid_loss	76737.0029297
batch	5130	valid_loss	76628.1855469
batch	5160	valid_loss	76493.684082
batch	5190	valid_loss	76384.1547852
batch	5220	valid_loss	76250.5883789
batch	5250	valid_loss	76113.3525391
batch	5280	valid_loss	76025.9575195
batch	5310	valid_loss	75910.8730469
batch	5340	valid_loss	75785.7675781
batch	5370	valid_loss	75693.5698242
batch	5400	valid_loss	75583.7382812
batch	5430	valid_loss	75462.9423828
batch	5460	valid_loss	75351.6083984
batch	5490	valid_loss	75261.3125
batch	5520	valid_loss	75153.9677734
batch	5550	valid_loss	75045.543457
batch	5580	valid_loss	74948.9223633
batch	5610	valid_loss	74849.7797852
batch	5640	valid_loss	74759.3945312
batch	5670	valid_loss	74653.0483398
batch	5700	valid_loss	74558.78125
batch	5730	valid_loss	74476.3173828
batch	5760	valid_loss	74385.3417969
batch	5790	valid_loss	74297.7397461
batch	5820	valid_loss	74190.4970703
batch	5850	valid_loss	74099.340332
batch	5880	valid_loss	74025.5166016
batch	5910	valid_loss	73929.3808594
batch	5940	valid_loss	73844.3076172
batch	5970	valid_loss	73767.4306641
batch	6000	valid_loss	73684.3955078
batch	6030	valid_loss	73598.9702148
batch	6060	valid_loss	73541.1191406
batch	6090	valid_loss	73459.4536133
batch	6120	valid_loss	73390.9672852
batch	6150	valid_loss	73318.8598633
batch	6180	valid_loss	73224.5776367
batch	6210	valid_loss	73154.4624023
batch	6240	valid_loss	73103.2006836
batch	6270	valid_loss	73043.2241211
batch	6300	valid_loss	72963.2714844
batch	6330	valid_loss	72889.7382812
batch	6360	valid_loss	72833.8525391
batch	6390	valid_loss	72766.8505859
batch	6420	valid_loss	72717.3012695
batch	6450	valid_loss	72645.6845703
batch	6480	valid_loss	72587.8740234
batch	6510	valid_loss	72533.1264648
batch	6540	valid_loss	72486.2197266
batch	6570	valid_loss	72414.159668
batch	6600	valid_loss	72375.7890625
batch	6630	valid_loss	72304.7919922
batch	6660	valid_loss	72263.1376953
batch	6690	valid_loss	72223.1743164
batch	6720	valid_loss	72162.0693359
batch	6750	valid_loss	72114.7333984
batch	6780	valid_loss	72052.4423828
batch	6810	valid_loss	71993.3208008
batch	6840	valid_loss	71964.3012695
batch	6870	valid_loss	71917.5878906
batch	6900	valid_loss	71862.2294922
batch	6930	valid_loss	71827.8544922
batch	6960	valid_loss	71792.7485352
batch	6990	valid_loss	71719.6157227
batch	7020	valid_loss	71686.1455078
batch	7050	valid_loss	71657.8764648
batch	7080	valid_loss	71608.652832
batch	7110	valid_loss	71576.3935547
batch	7140	valid_loss	71528.6118164
batch	7170	valid_loss	71485.8393555
batch	7200	valid_loss	71462.8647461
batch	7230	valid_loss	71423.5341797
batch	7260	valid_loss	71380.5253906
batch	7290	valid_loss	71368.9775391
batch	7320	valid_loss	71334.8857422
batch	7350	valid_loss	71322.9335938
batch	7380	valid_loss	71265.6005859
batch	7410	valid_loss	71240.0581055
batch	7440	valid_loss	71227.5986328
batch	7470	valid_loss	71193.8398438
batch	7500	valid_loss	71168.8432617
batch	7530	valid_loss	71144.1245117
batch	7560	valid_loss	71121.7807617
batch	7590	valid_loss	71098.9287109
batch	7620	valid_loss	71103.0673828
batch	7650	valid_loss	71070.8901367
batch	7680	valid_loss	71064.3032227
batch	7710	valid_loss	71047.9824219
batch	7740	valid_loss	71010.1279297
batch	7770	valid_loss	70988.8759766
batch	7800	valid_loss	70995.1972656
batch	7830	valid_loss	70992.9111328
batch	7860	valid_loss	70967.1157227
batch	7890	valid_loss	70939.4423828
batch	7920	valid_loss	70936.277832
batch	7950	valid_loss	70921.7519531
batch	7980	valid_loss	70911.5375977
batch	8010	valid_loss	70892.8662109
batch	8040	valid_loss	70878.5009766
batch	8070	valid_loss	70866.2397461
batch	8100	valid_loss	70879.2270508
batch	8130	valid_loss	70845.1923828
batch	8160	valid_loss	70852.9716797
batch	8190	valid_loss	70826.2280273
batch	8220	valid_loss	70829.5996094
batch	8250	valid_loss	70824.7729492
batch	8280	valid_loss	70815.5839844
batch	8310	valid_loss	70797.1079102
batch	8340	valid_loss	70779.2299805
batch	8370	valid_loss	70769.2299805
batch	8400	valid_loss	70772.1411133
batch	8430	valid_loss	70765.7587891
batch	8460	valid_loss	70754.1503906
batch	8490	valid_loss	70752.3491211
batch	8520	valid_loss	70760.8334961
batch	8550	valid_loss	70726.0615234
batch	8580	valid_loss	70728.7895508
batch	8610	valid_loss	70727.7431641
batch	8640	valid_loss	70716.6333008
batch	8670	valid_loss	70715.4833984
batch	8700	valid_loss	70704.4633789
batch	8730	valid_loss	70689.2119141
batch	8760	valid_loss	70704.7368164
batch	8790	valid_loss	70683.1030273
batch	8820	valid_loss	70673.4570312
batch	8850	valid_loss	70681.5322266
batch	8880	valid_loss	70678.6538086
batch	8910	valid_loss	70686.5102539
batch	8940	valid_loss	70653.6533203
batch	8970	valid_loss	70653.5380859
batch	9000	valid_loss	70659.0336914
batch	9030	valid_loss	70646.1499023
