START
config	480	1140
batch	0	valid_loss	175955.863281
batch	20	valid_loss	116859.730469
batch	40	valid_loss	108393.400391
batch	60	valid_loss	103751.375
batch	80	valid_loss	99818.1728516
batch	100	valid_loss	96071.1826172
batch	120	valid_loss	92661.4462891
batch	140	valid_loss	89320.2919922
batch	160	valid_loss	85965.5883789
batch	180	valid_loss	82886.2651367
batch	200	valid_loss	79902.6044922
batch	220	valid_loss	77286.5302734
batch	240	valid_loss	75109.6269531
batch	260	valid_loss	72767.902832
batch	280	valid_loss	70779.609375
batch	300	valid_loss	69071.4023438
batch	320	valid_loss	67529.7729492
batch	340	valid_loss	66181.5380859
batch	360	valid_loss	64860.1860352
batch	380	valid_loss	63806.0922852
batch	400	valid_loss	62829.1333008
batch	420	valid_loss	62004.4663086
batch	440	valid_loss	61217.784668
batch	460	valid_loss	60528.737793
batch	480	valid_loss	59868.6005859
batch	500	valid_loss	59320.8691406
batch	520	valid_loss	58852.5561523
batch	540	valid_loss	58527.0825195
batch	560	valid_loss	57897.5615234
batch	580	valid_loss	57502.7988281
batch	600	valid_loss	57413.8325195
batch	620	valid_loss	56872.1411133
batch	640	valid_loss	56616.199707
batch	660	valid_loss	56203.5244141
batch	680	valid_loss	55835.5307617
batch	700	valid_loss	55597.2866211
batch	720	valid_loss	55444.9189453
batch	740	valid_loss	55260.8642578
batch	760	valid_loss	55118.5327148
batch	780	valid_loss	54879.2592773
batch	800	valid_loss	54736.4311523
batch	820	valid_loss	54593.0249023
batch	840	valid_loss	54640.2270508
batch	860	valid_loss	54478.9785156
batch	880	valid_loss	54079.9882812
batch	900	valid_loss	54221.2158203
batch	920	valid_loss	54135.4628906
batch	940	valid_loss	53927.3911133
batch	960	valid_loss	53881.78125
batch	980	valid_loss	53726.0600586
batch	1000	valid_loss	53629.2875977
batch	1020	valid_loss	53525.7514648
batch	1040	valid_loss	53466.9707031
batch	1060	valid_loss	53406.0141602
batch	1080	valid_loss	53315.6469727
batch	1100	valid_loss	53167.4082031
batch	1120	valid_loss	53223.5922852
batch	1140	valid_loss	53181.3256836
batch	1160	valid_loss	53355.5415039
batch	1180	valid_loss	53109.1049805
batch	1200	valid_loss	52916.0576172
batch	1220	valid_loss	53233.1118164
batch	1240	valid_loss	53027.2104492
batch	1260	valid_loss	52865.7661133
batch	1280	valid_loss	52843.1489258
batch	1300	valid_loss	52593.2700195
batch	1320	valid_loss	52680.1108398
batch	1340	valid_loss	52590.6704102
batch	1360	valid_loss	52571.8666992
batch	1380	valid_loss	52582.5131836
batch	1400	valid_loss	52450.3476562
batch	1420	valid_loss	52424.3583984
batch	1440	valid_loss	52419.1582031
batch	1460	valid_loss	52460.7436523
batch	1480	valid_loss	52512.7470703
batch	1500	valid_loss	52247.3481445
batch	1520	valid_loss	52411.6269531
batch	1540	valid_loss	52569.7119141
batch	1560	valid_loss	52337.6064453
batch	1580	valid_loss	52351.4160156
batch	1600	valid_loss	52242.8383789
batch	1620	valid_loss	52132.7646484
batch	1640	valid_loss	52090.0517578
batch	1660	valid_loss	52054.7709961
batch	1680	valid_loss	52125.8457031
batch	1700	valid_loss	52107.4462891
batch	1720	valid_loss	51965.8081055
batch	1740	valid_loss	52023.7026367
batch	1760	valid_loss	52030.2392578
batch	1780	valid_loss	52213.2211914
batch	1800	valid_loss	52052.1274414
batch	1820	valid_loss	51702.8349609
batch	1840	valid_loss	52110.8505859
batch	1860	valid_loss	51989.8300781
batch	1880	valid_loss	51861.8291016
batch	1900	valid_loss	51827.2270508
batch	1920	valid_loss	51717.6962891
batch	1940	valid_loss	51733.9316406
batch	1960	valid_loss	51748.2841797
batch	1980	valid_loss	51778.2089844
batch	2000	valid_loss	51742.0561523
batch	2020	valid_loss	51695.9599609
batch	2040	valid_loss	51595.171875
batch	2060	valid_loss	51659.1435547
batch	2080	valid_loss	51700.2783203
batch	2100	valid_loss	51911.4760742
batch	2120	valid_loss	51604.7817383
batch	2140	valid_loss	51604.6743164
batch	2160	valid_loss	51941.9853516
batch	2180	valid_loss	51732.4301758
batch	2200	valid_loss	51703.3276367
batch	2220	valid_loss	51625.8798828
batch	2240	valid_loss	51508.171875
batch	2260	valid_loss	51461.3828125
batch	2280	valid_loss	51435.3745117
batch	2300	valid_loss	51477.6411133
batch	2320	valid_loss	51505.2583008
batch	2340	valid_loss	51441.6616211
batch	2360	valid_loss	51432.3046875
batch	2380	valid_loss	51472.190918
batch	2400	valid_loss	51583.0488281
batch	2420	valid_loss	51604.9755859
batch	2440	valid_loss	51214.3759766
batch	2460	valid_loss	51596.875
batch	2480	valid_loss	51621.5932617
batch	2500	valid_loss	51399.2348633
batch	2520	valid_loss	51391.9306641
batch	2540	valid_loss	51377.8046875
batch	2560	valid_loss	51339.9194336
batch	2580	valid_loss	51277.1269531
batch	2600	valid_loss	51312.8051758
batch	2620	valid_loss	51349.6235352
batch	2640	valid_loss	51309.5703125
batch	2660	valid_loss	51185.4912109
batch	2680	valid_loss	51342.6088867
batch	2700	valid_loss	51342.9848633
batch	2720	valid_loss	51525.0839844
batch	2740	valid_loss	51336.1772461
batch	2760	valid_loss	51070.8530273
batch	2780	valid_loss	51552.015625
batch	2800	valid_loss	51428.434082
batch	2820	valid_loss	51271.1000977
batch	2840	valid_loss	51218.7954102
batch	2860	valid_loss	51087.0957031
batch	2880	valid_loss	51147.0532227
batch	2900	valid_loss	51200.3232422
batch	2920	valid_loss	51172.9868164
batch	2940	valid_loss	51186.2294922
batch	2960	valid_loss	51096.6318359
batch	2980	valid_loss	51127.2045898
batch	3000	valid_loss	51141.0957031
batch	3020	valid_loss	51227.3774414
batch	3040	valid_loss	51370.2407227
batch	3060	valid_loss	51017.171875
batch	3080	valid_loss	51192.6240234
batch	3100	valid_loss	51486.3427734
batch	3120	valid_loss	51135.9130859
batch	3140	valid_loss	51203.0244141
batch	3160	valid_loss	51139.3149414
batch	3180	valid_loss	51079.5698242
batch	3200	valid_loss	51016.421875
batch	3220	valid_loss	51058.144043
batch	3240	valid_loss	51079.8666992
batch	3260	valid_loss	51041.7851562
batch	3280	valid_loss	50973.9643555
batch	3300	valid_loss	51038.1396484
batch	3320	valid_loss	51053.6557617
batch	3340	valid_loss	51289.3662109
batch	3360	valid_loss	51197.6850586
batch	3380	valid_loss	50802.2553711
batch	3400	valid_loss	51256.2719727
batch	3420	valid_loss	51167.5249023
batch	3440	valid_loss	51061.5341797
batch	3460	valid_loss	50990.6425781
batch	3480	valid_loss	50894.4477539
batch	3500	valid_loss	50958.4296875
batch	3520	valid_loss	51013.934082
batch	3540	valid_loss	51039.484375
batch	3560	valid_loss	51016.7509766
batch	3580	valid_loss	50926.4458008
batch	3600	valid_loss	50896.3227539
batch	3620	valid_loss	50979.8354492
batch	3640	valid_loss	51002.3500977
batch	3660	valid_loss	51228.2910156
batch	3680	valid_loss	50903.4462891
batch	3700	valid_loss	50939.8100586
batch	3720	valid_loss	51356.1533203
batch	3740	valid_loss	51131.8203125
batch	3760	valid_loss	51051.4082031
batch	3780	valid_loss	50970.4970703
batch	3800	valid_loss	50871.5776367
batch	3820	valid_loss	50876.8632812
batch	3840	valid_loss	50842.4379883
batch	3860	valid_loss	50955.2768555
batch	3880	valid_loss	50896.3354492
batch	3900	valid_loss	50843.1035156
batch	3920	valid_loss	50885.9472656
batch	3940	valid_loss	50894.2714844
batch	3960	valid_loss	51063.9785156
batch	3980	valid_loss	51146.840332
batch	4000	valid_loss	50676.1777344
batch	4020	valid_loss	51061.262207
batch	4040	valid_loss	51106.9204102
batch	4060	valid_loss	50935.6416016
batch	4080	valid_loss	50886.2021484
batch	4100	valid_loss	50817.6655273
batch	4120	valid_loss	50849.6411133
batch	4140	valid_loss	50856.2548828
batch	4160	valid_loss	50925.8994141
batch	4180	valid_loss	50865.746582
batch	4200	valid_loss	50871.4262695
batch	4220	valid_loss	50702.3310547
batch	4240	valid_loss	50884.3085938
batch	4260	valid_loss	50906.4458008
batch	4280	valid_loss	51123.1542969
batch	4300	valid_loss	50977.8793945
batch	4320	valid_loss	50746.300293
batch	4340	valid_loss	51187.3769531
batch	4360	valid_loss	51035.9091797
batch	4380	valid_loss	50843.3598633
