START
config	340	960
batch	0	valid_loss	176725.665039
batch	20	valid_loss	118812.283203
batch	40	valid_loss	111012.857422
batch	60	valid_loss	106673.40625
batch	80	valid_loss	102726.436523
batch	100	valid_loss	99188.8515625
batch	120	valid_loss	95551.2929688
batch	140	valid_loss	91787.1899414
batch	160	valid_loss	88206.5947266
batch	180	valid_loss	84693.0175781
batch	200	valid_loss	81285.4423828
batch	220	valid_loss	78248.2651367
batch	240	valid_loss	75308.1503906
batch	260	valid_loss	72601.3759766
batch	280	valid_loss	70351.3256836
batch	300	valid_loss	68238.3774414
batch	320	valid_loss	66344.5664062
batch	340	valid_loss	64870.4702148
batch	360	valid_loss	63223.4082031
batch	380	valid_loss	61861.5708008
batch	400	valid_loss	60906.4628906
batch	420	valid_loss	60119.2949219
batch	440	valid_loss	59051.4326172
batch	460	valid_loss	58187.425293
batch	480	valid_loss	57565.9755859
batch	500	valid_loss	56980.4370117
batch	520	valid_loss	56537.8115234
batch	540	valid_loss	55846.7758789
batch	560	valid_loss	55256.5595703
batch	580	valid_loss	54787.96875
batch	600	valid_loss	54345.2045898
batch	620	valid_loss	53870.9169922
batch	640	valid_loss	53790.7163086
batch	660	valid_loss	53575.043457
batch	680	valid_loss	52873.6655273
batch	700	valid_loss	52969.7368164
batch	720	valid_loss	52861.6948242
batch	740	valid_loss	52693.597168
batch	760	valid_loss	52329.1674805
batch	780	valid_loss	52197.9272461
batch	800	valid_loss	52145.6567383
batch	820	valid_loss	52066.7856445
batch	840	valid_loss	51896.6157227
batch	860	valid_loss	51540.1904297
batch	880	valid_loss	51448.1235352
batch	900	valid_loss	51245.222168
batch	920	valid_loss	51016.3364258
batch	940	valid_loss	51023.1582031
batch	960	valid_loss	51147.1875
batch	980	valid_loss	50811.1030273
batch	1000	valid_loss	50714.9672852
batch	1020	valid_loss	50911.015625
batch	1040	valid_loss	51065.3334961
batch	1060	valid_loss	50731.5957031
batch	1080	valid_loss	50572.4677734
batch	1100	valid_loss	50674.0292969
batch	1120	valid_loss	50662.4804688
