START
config	400	960
batch	0	valid_loss	173446.441406
batch	20	valid_loss	100976.068359
batch	40	valid_loss	93435.2587891
batch	60	valid_loss	89248.1337891
batch	80	valid_loss	85672.2016602
batch	100	valid_loss	82611.5766602
batch	120	valid_loss	79317.2045898
batch	140	valid_loss	76195.9160156
batch	160	valid_loss	73203.0996094
batch	180	valid_loss	70531.9760742
batch	200	valid_loss	67785.6523438
batch	220	valid_loss	65450.7983398
batch	240	valid_loss	63350.140625
batch	260	valid_loss	61617.7294922
batch	280	valid_loss	59811.7597656
batch	300	valid_loss	58354.5341797
batch	320	valid_loss	57044.4609375
batch	340	valid_loss	55831.0102539
batch	360	valid_loss	54811.6044922
batch	380	valid_loss	53774.4331055
batch	400	valid_loss	53011.9296875
batch	420	valid_loss	52237.409668
batch	440	valid_loss	51503.2817383
batch	460	valid_loss	50798.0112305
batch	480	valid_loss	50354.6767578
batch	500	valid_loss	49758.5205078
batch	520	valid_loss	49172.4243164
batch	540	valid_loss	48819.0678711
batch	560	valid_loss	48472.2915039
batch	580	valid_loss	48172.8286133
batch	600	valid_loss	47744.9052734
batch	620	valid_loss	47431.2070312
batch	640	valid_loss	47280.0830078
batch	660	valid_loss	46916.9174805
batch	680	valid_loss	46569.5610352
batch	700	valid_loss	46442.0493164
batch	720	valid_loss	46221.4316406
batch	740	valid_loss	45913.0224609
batch	760	valid_loss	45847.9580078
batch	780	valid_loss	45517.6027832
batch	800	valid_loss	45537.1242676
batch	820	valid_loss	45220.3847656
batch	840	valid_loss	45093.7089844
batch	860	valid_loss	45035.0964355
batch	880	valid_loss	45139.9389648
batch	900	valid_loss	44810.862793
batch	920	valid_loss	44693.456543
batch	940	valid_loss	44698.1083984
batch	960	valid_loss	44705.1279297
batch	980	valid_loss	44591.6503906
batch	1000	valid_loss	44392.309082
batch	1020	valid_loss	44458.6757812
batch	1040	valid_loss	44383.7822266
batch	1060	valid_loss	44175.8071289
batch	1080	valid_loss	44122.9091797
batch	1100	valid_loss	44212.8632812
batch	1120	valid_loss	44101.5258789
batch	1140	valid_loss	43812.0231934
batch	1160	valid_loss	43792.2993164
batch	1180	valid_loss	43931.7470703
batch	1200	valid_loss	44116.7104492
batch	1220	valid_loss	43811.3283691
batch	1240	valid_loss	43719.9069824
batch	1260	valid_loss	43914.9448242
batch	1280	valid_loss	43814.1320801
batch	1300	valid_loss	43708.4172363
batch	1320	valid_loss	43703.4934082
batch	1340	valid_loss	43705.4501953
batch	1360	valid_loss	43617.3574219
batch	1380	valid_loss	43654.8312988
batch	1400	valid_loss	43461.2570801
batch	1420	valid_loss	43614.2150879
batch	1440	valid_loss	43501.6726074
batch	1460	valid_loss	43308.9804688
batch	1480	valid_loss	43387.3029785
batch	1500	valid_loss	43559.0805664
batch	1520	valid_loss	43427.5673828
batch	1540	valid_loss	43301.7514648
batch	1560	valid_loss	43391.8637695
batch	1580	valid_loss	43452.7741699
batch	1600	valid_loss	43299.7329102
batch	1620	valid_loss	43206.3022461
batch	1640	valid_loss	43377.215332
batch	1660	valid_loss	43313.6057129
batch	1680	valid_loss	43105.4128418
batch	1700	valid_loss	43206.534668
batch	1720	valid_loss	43172.3781738
batch	1740	valid_loss	43236.447998
batch	1760	valid_loss	43001.7695312
batch	1780	valid_loss	42964.0991211
batch	1800	valid_loss	43108.4394531
batch	1820	valid_loss	43340.5341797
batch	1840	valid_loss	43029.84375
batch	1860	valid_loss	42915.3354492
batch	1880	valid_loss	43148.032959
batch	1900	valid_loss	43154.0585938
batch	1920	valid_loss	43066.105957
batch	1940	valid_loss	42970.9833984
batch	1960	valid_loss	43110.3779297
batch	1980	valid_loss	43058.9060059
batch	2000	valid_loss	42940.7922363
batch	2020	valid_loss	42854.4951172
batch	2040	valid_loss	43037.9667969
batch	2060	valid_loss	42881.8652344
batch	2080	valid_loss	42675.2680664
batch	2100	valid_loss	42773.3525391
batch	2120	valid_loss	42876.2424316
batch	2140	valid_loss	43030.8110352
batch	2160	valid_loss	42820.559082
batch	2180	valid_loss	42817.9326172
batch	2200	valid_loss	43010.4902344
batch	2220	valid_loss	42866.2414551
batch	2240	valid_loss	42753.4333496
batch	2260	valid_loss	42872.3881836
batch	2280	valid_loss	42865.4936523
batch	2300	valid_loss	42697.7148438
batch	2320	valid_loss	42827.7272949
batch	2340	valid_loss	42607.7216797
batch	2360	valid_loss	42801.329834
batch	2380	valid_loss	42598.8186035
batch	2400	valid_loss	42547.0463867
batch	2420	valid_loss	42641.833252
batch	2440	valid_loss	42900.2573242
batch	2460	valid_loss	42633.342041
batch	2480	valid_loss	42574.4335938
batch	2500	valid_loss	42745.7392578
batch	2520	valid_loss	42844.0893555
batch	2540	valid_loss	42807.9609375
batch	2560	valid_loss	42637.7431641
batch	2580	valid_loss	42747.125
batch	2600	valid_loss	42675.1806641
batch	2620	valid_loss	42536.9760742
batch	2640	valid_loss	42522.4726562
batch	2660	valid_loss	42658.7043457
batch	2680	valid_loss	42654.671875
batch	2700	valid_loss	42364.1210938
batch	2720	valid_loss	42406.4814453
batch	2740	valid_loss	42593.3901367
batch	2760	valid_loss	42807.8586426
batch	2780	valid_loss	42508.2138672
batch	2800	valid_loss	42403.5256348
batch	2820	valid_loss	42669.4289551
batch	2840	valid_loss	42553.159668
batch	2860	valid_loss	42485.9990234
batch	2880	valid_loss	42533.6662598
batch	2900	valid_loss	42595.9716797
batch	2920	valid_loss	42498.0732422
batch	2940	valid_loss	42582.3779297
batch	2960	valid_loss	42390.9887695
batch	2980	valid_loss	42628.4042969
batch	3000	valid_loss	42424.3735352
batch	3020	valid_loss	42242.5932617
batch	3040	valid_loss	42366.9587402
batch	3060	valid_loss	42559.9772949
batch	3080	valid_loss	42494.986084
batch	3100	valid_loss	42386.0166016
batch	3120	valid_loss	42470.8164062
batch	3140	valid_loss	42558.2990723
batch	3160	valid_loss	42497.0078125
batch	3180	valid_loss	42345.5402832
batch	3200	valid_loss	42504.9870605
batch	3220	valid_loss	42522.2709961
batch	3240	valid_loss	42252.1474609
batch	3260	valid_loss	42412.2807617
batch	3280	valid_loss	42353.1020508
batch	3300	valid_loss	42477.6655273
batch	3320	valid_loss	42205.9099121
batch	3340	valid_loss	42221.7814941
batch	3360	valid_loss	42364.9404297
batch	3380	valid_loss	42649.5449219
batch	3400	valid_loss	42257.0512695
batch	3420	valid_loss	42188.4123535
batch	3440	valid_loss	42481.1230469
batch	3460	valid_loss	42477.6633301
batch	3480	valid_loss	42385.5825195
batch	3500	valid_loss	42284.9887695
batch	3520	valid_loss	42417.1501465
batch	3540	valid_loss	42391.4599609
batch	3560	valid_loss	42281.3059082
batch	3580	valid_loss	42196.2744141
batch	3600	valid_loss	42425.2116699
batch	3620	valid_loss	42323.9733887
batch	3640	valid_loss	42040.0649414
batch	3660	valid_loss	42150.0375977
batch	3680	valid_loss	42334.6918945
batch	3700	valid_loss	42445.1796875
batch	3720	valid_loss	42259.0864258
batch	3740	valid_loss	42261.5549316
batch	3760	valid_loss	42385.597168
batch	3780	valid_loss	42306.8847656
batch	3800	valid_loss	42235.4414062
batch	3820	valid_loss	42366.3994141
batch	3840	valid_loss	42359.8100586
batch	3860	valid_loss	42140.0075684
batch	3880	valid_loss	42323.2429199
batch	3900	valid_loss	42153.9404297
batch	3920	valid_loss	42317.7067871
batch	3940	valid_loss	42096.7211914
batch	3960	valid_loss	42068.3779297
batch	3980	valid_loss	42192.5803223
batch	4000	valid_loss	42450.4177246
batch	4020	valid_loss	42137.9589844
batch	4040	valid_loss	42094.7358398
batch	4060	valid_loss	42311.2011719
batch	4080	valid_loss	42378.6350098
batch	4100	valid_loss	42301.7927246
batch	4120	valid_loss	42223.6247559
batch	4140	valid_loss	42278.0253906
batch	4160	valid_loss	42295.9118652
batch	4180	valid_loss	42097.0935059
batch	4200	valid_loss	42107.1220703
batch	4220	valid_loss	42261.1181641
batch	4240	valid_loss	42239.3337402
batch	4260	valid_loss	41994.5588379
batch	4280	valid_loss	42013.8249512
batch	4300	valid_loss	42161.673584
batch	4320	valid_loss	42447.8908691
batch	4340	valid_loss	42138.1066895
batch	4360	valid_loss	42047.925293
batch	4380	valid_loss	42331.7036133
batch	4400	valid_loss	42218.6357422
batch	4420	valid_loss	42142.8364258
batch	4440	valid_loss	42203.6694336
batch	4460	valid_loss	42272.340332
batch	4480	valid_loss	42150.916748
batch	4500	valid_loss	42257.1357422
batch	4520	valid_loss	42084.5791016
batch	4540	valid_loss	42263.7919922
batch	4560	valid_loss	42103.2526855
batch	4580	valid_loss	41916.4663086
batch	4600	valid_loss	42064.736084
batch	4620	valid_loss	42267.7424316
batch	4640	valid_loss	42143.2587891
batch	4660	valid_loss	42109.4414062
batch	4680	valid_loss	42185.2780762
batch	4700	valid_loss	42234.171875
batch	4720	valid_loss	42203.3569336
batch	4740	valid_loss	42071.2409668
batch	4760	valid_loss	42278.7949219
batch	4780	valid_loss	42225.4223633
batch	4800	valid_loss	41965.4763184
batch	4820	valid_loss	42108.7658691
batch	4840	valid_loss	42076.0751953
batch	4860	valid_loss	42229.3354492
batch	4880	valid_loss	41896.3952637
batch	4900	valid_loss	41981.1889648
batch	4920	valid_loss	42143.1132812
batch	4940	valid_loss	42423.5397949
batch	4960	valid_loss	42007.7338867
batch	4980	valid_loss	41953.9216309
batch	5000	valid_loss	42243.3417969
batch	5020	valid_loss	42231.3706055
batch	5040	valid_loss	42140.7998047
batch	5060	valid_loss	42055.5554199
batch	5080	valid_loss	42173.6743164
batch	5100	valid_loss	42177.7900391
batch	5120	valid_loss	42058.6567383
batch	5140	valid_loss	42007.0888672
batch	5160	valid_loss	42250.4848633
batch	5180	valid_loss	42079.9599609
batch	5200	valid_loss	41808.2504883
batch	5220	valid_loss	41920.9643555
batch	5240	valid_loss	42132.0249023
batch	5260	valid_loss	42269.5224609
batch	5280	valid_loss	42090.0585938
batch	5300	valid_loss	42087.4047852
batch	5320	valid_loss	42201.6970215
batch	5340	valid_loss	42101.425293
batch	5360	valid_loss	42060.7084961
batch	5380	valid_loss	42181.3041992
batch	5400	valid_loss	42169.7583008
batch	5420	valid_loss	41944.4555664
batch	5440	valid_loss	42161.1501465
batch	5460	valid_loss	41967.9848633
batch	5480	valid_loss	42158.8032227
batch	5500	valid_loss	41942.6154785
batch	5520	valid_loss	41905.5644531
batch	5540	valid_loss	41980.3759766
batch	5560	valid_loss	42273.4360352
batch	5580	valid_loss	41991.255127
batch	5600	valid_loss	41905.8046875
batch	5620	valid_loss	42157.980957
batch	5640	valid_loss	42221.902832
batch	5660	valid_loss	42178.7026367
batch	5680	valid_loss	42022.9294434
batch	5700	valid_loss	42171.5429688
batch	5720	valid_loss	42161.1623535
batch	5740	valid_loss	41937.6589355
batch	5760	valid_loss	41976.1118164
batch	5780	valid_loss	42093.8974609
batch	5800	valid_loss	42116.9609375
batch	5820	valid_loss	41794.2336426
batch	5840	valid_loss	41867.0908203
batch	5860	valid_loss	42063.1235352
batch	5880	valid_loss	42306.8212891
batch	5900	valid_loss	42011.2497559
batch	5920	valid_loss	41940.8212891
batch	5940	valid_loss	42155.7177734
batch	5960	valid_loss	42076.5515137
batch	5980	valid_loss	42026.918457
batch	6000	valid_loss	42108.737793
batch	6020	valid_loss	42109.7602539
batch	6040	valid_loss	42036.8569336
batch	6060	valid_loss	42139.609375
batch	6080	valid_loss	41922.3134766
batch	6100	valid_loss	42110.7834473
batch	6120	valid_loss	41959.402832
batch	6140	valid_loss	41779.4118652
batch	6160	valid_loss	41958.5058594
batch	6180	valid_loss	42148.2490234
batch	6200	valid_loss	42040.1064453
batch	6220	valid_loss	41964.6166992
batch	6240	valid_loss	42073.265625
batch	6260	valid_loss	42179.3952637
batch	6280	valid_loss	42119.1833496
batch	6300	valid_loss	41929.7280273
batch	6320	valid_loss	42128.2810059
batch	6340	valid_loss	42126.8569336
batch	6360	valid_loss	41840.434082
batch	6380	valid_loss	42028.0532227
batch	6400	valid_loss	41979.7834473
batch	6420	valid_loss	42103.4990234
batch	6440	valid_loss	41823.5585938
batch	6460	valid_loss	41837.9780273
batch	6480	valid_loss	42000.7224121
batch	6500	valid_loss	42340.0571289
batch	6520	valid_loss	41909.7724609
batch	6540	valid_loss	41828.3505859
batch	6560	valid_loss	42163.890625
batch	6580	valid_loss	42175.9226074
batch	6600	valid_loss	42068.109375
batch	6620	valid_loss	42000.0927734
batch	6640	valid_loss	42099.8168945
batch	6660	valid_loss	42071.4584961
batch	6680	valid_loss	42020.7365723
batch	6700	valid_loss	41906.7207031
batch	6720	valid_loss	42137.1472168
batch	6740	valid_loss	42039.645752
batch	6760	valid_loss	41738.5791016
batch	6780	valid_loss	41870.8391113
