START
config	40	1140
batch	0	valid_loss	178598.117188
batch	20	valid_loss	131805.31543
batch	40	valid_loss	115518.898438
batch	60	valid_loss	111478.893555
batch	80	valid_loss	108557.174805
batch	100	valid_loss	105855.366211
batch	120	valid_loss	103721.966797
batch	140	valid_loss	101549.927734
batch	160	valid_loss	99063.4072266
batch	180	valid_loss	96448.3964844
batch	200	valid_loss	93781.6650391
batch	220	valid_loss	91177.9941406
batch	240	valid_loss	88576.7226562
batch	260	valid_loss	86170.6074219
batch	280	valid_loss	83984.0522461
batch	300	valid_loss	82019.3994141
batch	320	valid_loss	80408.984375
batch	340	valid_loss	79107.5488281
batch	360	valid_loss	78069.7109375
batch	380	valid_loss	77276.5234375
batch	400	valid_loss	76639.1738281
batch	420	valid_loss	76148.503418
batch	440	valid_loss	75731.2197266
batch	460	valid_loss	75369.1894531
batch	480	valid_loss	75037.2617188
batch	500	valid_loss	74810.7666016
batch	520	valid_loss	74573.1430664
batch	540	valid_loss	74366.6826172
batch	560	valid_loss	74171.5039062
batch	580	valid_loss	74019.7387695
batch	600	valid_loss	73870.5996094
batch	620	valid_loss	73757.2944336
batch	640	valid_loss	73656.5712891
batch	660	valid_loss	73550.1962891
batch	680	valid_loss	73467.4262695
batch	700	valid_loss	73395.6479492
batch	720	valid_loss	73325.0429688
batch	740	valid_loss	73259.2900391
batch	760	valid_loss	73209.6074219
batch	780	valid_loss	73145.3046875
batch	800	valid_loss	73087.9863281
batch	820	valid_loss	73080.3325195
batch	840	valid_loss	73020.4560547
batch	860	valid_loss	72987.9116211
batch	880	valid_loss	72973.7880859
batch	900	valid_loss	72924.9267578
batch	920	valid_loss	72908.2885742
batch	940	valid_loss	72888.5830078
batch	960	valid_loss	72857.5053711
batch	980	valid_loss	72847.4760742
batch	1000	valid_loss	72837.0214844
batch	1020	valid_loss	72806.2250977
batch	1040	valid_loss	72784.1655273
batch	1060	valid_loss	72766.9169922
batch	1080	valid_loss	72748.7836914
batch	1100	valid_loss	72719.9550781
batch	1120	valid_loss	72709.2768555
batch	1140	valid_loss	72707.3613281
batch	1160	valid_loss	72684.8847656
batch	1180	valid_loss	72678.6582031
batch	1200	valid_loss	72680.8486328
batch	1220	valid_loss	72648.2202148
batch	1240	valid_loss	72656.534668
batch	1260	valid_loss	72645.8334961
batch	1280	valid_loss	72628.1787109
batch	1300	valid_loss	72617.5869141
batch	1320	valid_loss	72620.7124023
batch	1340	valid_loss	72606.6318359
batch	1360	valid_loss	72588.375
batch	1380	valid_loss	72581.2280273
batch	1400	valid_loss	72569.2124023
batch	1420	valid_loss	72557.5195312
batch	1440	valid_loss	72566.6225586
batch	1460	valid_loss	72557.5263672
batch	1480	valid_loss	72548.1948242
batch	1500	valid_loss	72558.0068359
batch	1520	valid_loss	72536.6298828
batch	1540	valid_loss	72538.6425781
batch	1560	valid_loss	72546.1635742
batch	1580	valid_loss	72532.5585938
batch	1600	valid_loss	72529.5117188
batch	1620	valid_loss	72533.1787109
batch	1640	valid_loss	72522.7050781
batch	1660	valid_loss	72511.800293
batch	1680	valid_loss	72507.1157227
batch	1700	valid_loss	72502.184082
batch	1720	valid_loss	72494.6972656
batch	1740	valid_loss	72484.2519531
batch	1760	valid_loss	72507.3110352
batch	1780	valid_loss	72496.0053711
batch	1800	valid_loss	72494.4243164
batch	1820	valid_loss	72494.6079102
batch	1840	valid_loss	72484.1499023
batch	1860	valid_loss	72496.5180664
batch	1880	valid_loss	72497.2685547
batch	1900	valid_loss	72484.8725586
batch	1920	valid_loss	72475.1157227
batch	1940	valid_loss	72496.2670898
batch	1960	valid_loss	72483.40625
batch	1980	valid_loss	72470.7646484
batch	2000	valid_loss	72468.7612305
batch	2020	valid_loss	72466.4584961
batch	2040	valid_loss	72460.5976562
batch	2060	valid_loss	72460.8706055
batch	2080	valid_loss	72466.4091797
batch	2100	valid_loss	72459.8930664
batch	2120	valid_loss	72463.4814453
batch	2140	valid_loss	72465.2373047
batch	2160	valid_loss	72448.8271484
batch	2180	valid_loss	72464.8378906
batch	2200	valid_loss	72458.7182617
