START
config	480	960
batch	0	valid_loss	175326.933594
batch	20	valid_loss	118117.894531
batch	40	valid_loss	108229.777344
batch	60	valid_loss	101455.303711
batch	80	valid_loss	94966.7353516
batch	100	valid_loss	88267.0483398
batch	120	valid_loss	80963.6142578
batch	140	valid_loss	73885.8046875
batch	160	valid_loss	66872.9921875
batch	180	valid_loss	60484.887207
batch	200	valid_loss	54879.8964844
batch	220	valid_loss	49976.9423828
batch	240	valid_loss	45895.4931641
batch	260	valid_loss	42383.0979004
batch	280	valid_loss	39358.3220215
batch	300	valid_loss	36929.7304688
batch	320	valid_loss	34716.9267578
batch	340	valid_loss	32857.380127
batch	360	valid_loss	31301.5163574
batch	380	valid_loss	29904.317627
batch	400	valid_loss	28721.8874512
batch	420	valid_loss	27726.8435059
batch	440	valid_loss	26851.4750977
batch	460	valid_loss	26108.2944336
batch	480	valid_loss	25428.3955078
batch	500	valid_loss	24840.6445312
batch	520	valid_loss	24352.2817383
batch	540	valid_loss	23911.3166504
batch	560	valid_loss	23527.3193359
batch	580	valid_loss	23176.2114258
batch	600	valid_loss	22861.8164062
batch	620	valid_loss	22604.2338867
batch	640	valid_loss	22372.6635742
batch	660	valid_loss	22164.4194336
batch	680	valid_loss	21950.5969238
batch	700	valid_loss	21737.8768311
batch	720	valid_loss	21596.6339111
batch	740	valid_loss	21431.8632812
batch	760	valid_loss	21296.9206543
batch	780	valid_loss	21178.9283447
batch	800	valid_loss	21094.5911865
batch	820	valid_loss	21000.2229004
batch	840	valid_loss	20905.8276367
batch	860	valid_loss	20842.0378418
batch	880	valid_loss	20743.6252441
batch	900	valid_loss	20692.5618896
batch	920	valid_loss	20641.0172119
batch	940	valid_loss	20598.7271729
batch	960	valid_loss	20617.1008301
batch	980	valid_loss	20544.9121094
batch	1000	valid_loss	20458.4523926
batch	1020	valid_loss	20416.8825684
batch	1040	valid_loss	20410.2663574
batch	1060	valid_loss	20411.3537598
batch	1080	valid_loss	20371.6568604
batch	1100	valid_loss	20322.708252
batch	1120	valid_loss	20283.90979
batch	1140	valid_loss	20315.6030273
batch	1160	valid_loss	20276.727417
batch	1180	valid_loss	20276.6160889
batch	1200	valid_loss	20239.5429688
batch	1220	valid_loss	20215.9836426
batch	1240	valid_loss	20209.3848877
batch	1260	valid_loss	20235.6951904
batch	1280	valid_loss	20260.2753906
batch	1300	valid_loss	20211.1721191
batch	1320	valid_loss	20197.6142578
batch	1340	valid_loss	20182.7402344
batch	1360	valid_loss	20160.5681152
batch	1380	valid_loss	20144.7630615
batch	1400	valid_loss	20165.5351562
batch	1420	valid_loss	20164.3393555
batch	1440	valid_loss	20137.0238037
batch	1460	valid_loss	20126.9724121
batch	1480	valid_loss	20142.9537354
batch	1500	valid_loss	20104.0704346
batch	1520	valid_loss	20104.8076172
batch	1540	valid_loss	20088.0100098
batch	1560	valid_loss	20133.3031006
batch	1580	valid_loss	20218.6323242
batch	1600	valid_loss	20145.3837891
batch	1620	valid_loss	20121.7310791
batch	1640	valid_loss	20074.3961182
batch	1660	valid_loss	20115.6086426
batch	1680	valid_loss	20097.1055908
batch	1700	valid_loss	20103.4946289
batch	1720	valid_loss	20088.6484375
batch	1740	valid_loss	20103.4714355
batch	1760	valid_loss	20126.4836426
batch	1780	valid_loss	20060.2011719
batch	1800	valid_loss	20090.6534424
batch	1820	valid_loss	20050.8181152
batch	1840	valid_loss	20036.0079346
batch	1860	valid_loss	20072.6352539
batch	1880	valid_loss	20099.4422607
batch	1900	valid_loss	20144.0753174
batch	1920	valid_loss	20090.8409424
batch	1940	valid_loss	20045.9547119
batch	1960	valid_loss	20037.230835
batch	1980	valid_loss	20072.65625
batch	2000	valid_loss	20085.1953125
batch	2020	valid_loss	20052.7141113
batch	2040	valid_loss	20037.7880859
batch	2060	valid_loss	19986.8234863
batch	2080	valid_loss	20043.5406494
batch	2100	valid_loss	20027.3475342
batch	2120	valid_loss	20023.7766113
batch	2140	valid_loss	20009.0778809
batch	2160	valid_loss	19969.0068359
batch	2180	valid_loss	20019.9526367
batch	2200	valid_loss	20029.7055664
batch	2220	valid_loss	20078.1505127
batch	2240	valid_loss	20018.8216553
batch	2260	valid_loss	19963.965332
batch	2280	valid_loss	19990.9007568
batch	2300	valid_loss	20006.1054688
batch	2320	valid_loss	19944.9831543
batch	2340	valid_loss	19999.8060303
batch	2360	valid_loss	20003.1138916
batch	2380	valid_loss	19996.7357178
batch	2400	valid_loss	19959.6486816
batch	2420	valid_loss	19959.37146
batch	2440	valid_loss	19937.307251
batch	2460	valid_loss	19926.8040771
batch	2480	valid_loss	19933.8494873
batch	2500	valid_loss	19958.3631592
batch	2520	valid_loss	20015.9448242
batch	2540	valid_loss	19977.140625
batch	2560	valid_loss	19931.2650146
batch	2580	valid_loss	19908.0187988
batch	2600	valid_loss	19932.317749
batch	2620	valid_loss	19939.5185547
batch	2640	valid_loss	19942.7974854
batch	2660	valid_loss	19889.5632324
batch	2680	valid_loss	19864.9074707
batch	2700	valid_loss	19912.9067383
batch	2720	valid_loss	19884.7421875
batch	2740	valid_loss	19916.5740967
batch	2760	valid_loss	19872.0667725
batch	2780	valid_loss	19836.3956299
batch	2800	valid_loss	19848.7070312
batch	2820	valid_loss	19916.6832275
batch	2840	valid_loss	19910.4001465
batch	2860	valid_loss	19843.0323486
batch	2880	valid_loss	19872.3969727
batch	2900	valid_loss	19850.0186768
batch	2920	valid_loss	19834.3857422
batch	2940	valid_loss	19827.4243164
batch	2960	valid_loss	19865.1501465
batch	2980	valid_loss	19858.5467529
batch	3000	valid_loss	19813.9733887
batch	3020	valid_loss	19820.9527588
batch	3040	valid_loss	19862.473877
batch	3060	valid_loss	19788.8183594
batch	3080	valid_loss	19797.2712402
batch	3100	valid_loss	19759.6306152
batch	3120	valid_loss	19821.2521973
batch	3140	valid_loss	19882.0825195
batch	3160	valid_loss	19821.5245361
batch	3180	valid_loss	19816.4066162
batch	3200	valid_loss	19767.6477051
batch	3220	valid_loss	19777.5446777
batch	3240	valid_loss	19800.4663086
batch	3260	valid_loss	19773.4648438
batch	3280	valid_loss	19756.4510498
batch	3300	valid_loss	19768.5340576
batch	3320	valid_loss	19782.7490234
batch	3340	valid_loss	19724.8966064
batch	3360	valid_loss	19754.1605225
batch	3380	valid_loss	19714.2169189
batch	3400	valid_loss	19678.1794434
batch	3420	valid_loss	19729.0427246
batch	3440	valid_loss	19754.027832
batch	3460	valid_loss	19807.5146484
batch	3480	valid_loss	19754.1954346
batch	3500	valid_loss	19707.0795898
batch	3520	valid_loss	19665.1262207
batch	3540	valid_loss	19697.4949951
batch	3560	valid_loss	19701.1529541
batch	3580	valid_loss	19690.397583
batch	3600	valid_loss	19694.1436768
batch	3620	valid_loss	19621.6345215
batch	3640	valid_loss	19682.3597412
batch	3660	valid_loss	19669.0356445
batch	3680	valid_loss	19664.4624023
batch	3700	valid_loss	19645.4584961
batch	3720	valid_loss	19597.8250732
batch	3740	valid_loss	19655.0692139
batch	3760	valid_loss	19682.6657715
batch	3780	valid_loss	19688.0843506
batch	3800	valid_loss	19637.515625
batch	3820	valid_loss	19603.2720947
batch	3840	valid_loss	19625.5262451
batch	3860	valid_loss	19622.7436523
batch	3880	valid_loss	19588.5935059
batch	3900	valid_loss	19633.2658691
batch	3920	valid_loss	19627.5534668
batch	3940	valid_loss	19608.9536133
batch	3960	valid_loss	19555.9176025
batch	3980	valid_loss	19583.8443604
batch	4000	valid_loss	19550.9539795
batch	4020	valid_loss	19556.4362793
batch	4040	valid_loss	19554.963623
batch	4060	valid_loss	19604.3306885
batch	4080	valid_loss	19617.1630859
batch	4100	valid_loss	19569.6798096
batch	4120	valid_loss	19552.3901367
batch	4140	valid_loss	19516.4342041
batch	4160	valid_loss	19536.479248
batch	4180	valid_loss	19551.9545898
batch	4200	valid_loss	19554.395874
batch	4220	valid_loss	19518.7406006
batch	4240	valid_loss	19494.4562988
batch	4260	valid_loss	19533.2844238
batch	4280	valid_loss	19522.795166
batch	4300	valid_loss	19551.5292969
batch	4320	valid_loss	19489.402832
batch	4340	valid_loss	19476.6677246
batch	4360	valid_loss	19483.9620361
batch	4380	valid_loss	19526.5146484
batch	4400	valid_loss	19524.2998047
batch	4420	valid_loss	19467.4787598
batch	4440	valid_loss	19475.7929688
batch	4460	valid_loss	19443.5040283
batch	4480	valid_loss	19452.7961426
batch	4500	valid_loss	19435.7457275
batch	4520	valid_loss	19470.1086426
batch	4540	valid_loss	19431.6190186
batch	4560	valid_loss	19429.1641846
batch	4580	valid_loss	19447.2685547
batch	4600	valid_loss	19457.7415771
batch	4620	valid_loss	19414.3618164
batch	4640	valid_loss	19421.2009277
batch	4660	valid_loss	19401.675293
batch	4680	valid_loss	19451.0394287
batch	4700	valid_loss	19510.1119385
batch	4720	valid_loss	19457.2183838
batch	4740	valid_loss	19419.5275879
batch	4760	valid_loss	19371.7608643
batch	4780	valid_loss	19387.0229492
batch	4800	valid_loss	19404.8918457
batch	4820	valid_loss	19420.1035156
batch	4840	valid_loss	19387.4969482
batch	4860	valid_loss	19393.8925781
batch	4880	valid_loss	19395.6239014
batch	4900	valid_loss	19321.5170898
batch	4920	valid_loss	19377.309082
batch	4940	valid_loss	19328.2611084
batch	4960	valid_loss	19322.8885498
batch	4980	valid_loss	19358.0495605
batch	5000	valid_loss	19384.8286133
batch	5020	valid_loss	19428.3009033
batch	5040	valid_loss	19377.6726074
batch	5060	valid_loss	19315.8267822
batch	5080	valid_loss	19308.838623
batch	5100	valid_loss	19336.9659424
batch	5120	valid_loss	19346.0001221
batch	5140	valid_loss	19336.7316895
batch	5160	valid_loss	19308.3242188
batch	5180	valid_loss	19246.8203125
batch	5200	valid_loss	19326.3474121
batch	5220	valid_loss	19330.6489258
batch	5240	valid_loss	19299.6193848
batch	5260	valid_loss	19276.8532715
batch	5280	valid_loss	19262.0742188
batch	5300	valid_loss	19311.9627686
batch	5320	valid_loss	19356.003418
batch	5340	valid_loss	19339.6038818
batch	5360	valid_loss	19278.8461914
batch	5380	valid_loss	19244.2188721
batch	5400	valid_loss	19286.8916016
batch	5420	valid_loss	19283.3034668
batch	5440	valid_loss	19233.3990479
batch	5460	valid_loss	19282.4833984
batch	5480	valid_loss	19292.0288086
batch	5500	valid_loss	19277.2318115
batch	5520	valid_loss	19242.4731445
batch	5540	valid_loss	19255.760376
batch	5560	valid_loss	19254.2236328
batch	5580	valid_loss	19249.3408203
batch	5600	valid_loss	19237.9694824
batch	5620	valid_loss	19275.123291
batch	5640	valid_loss	19319.4078369
batch	5660	valid_loss	19275.9970703
batch	5680	valid_loss	19263.0614014
batch	5700	valid_loss	19198.9772949
batch	5720	valid_loss	19224.7670898
batch	5740	valid_loss	19230.1239014
batch	5760	valid_loss	19254.8474121
batch	5780	valid_loss	19209.7974854
batch	5800	valid_loss	19177.3786621
batch	5820	valid_loss	19232.3339844
batch	5840	valid_loss	19251.5780029
batch	5860	valid_loss	19251.2415771
batch	5880	valid_loss	19185.9810791
batch	5900	valid_loss	19173.9428711
batch	5920	valid_loss	19218.256958
batch	5940	valid_loss	19262.9520264
batch	5960	valid_loss	19249.0905762
batch	5980	valid_loss	19198.4680176
batch	6000	valid_loss	19219.7130127
batch	6020	valid_loss	19194.4475098
batch	6040	valid_loss	19196.1500244
batch	6060	valid_loss	19171.8320312
batch	6080	valid_loss	19221.5839844
batch	6100	valid_loss	19187.9248047
batch	6120	valid_loss	19177.5150146
batch	6140	valid_loss	19185.0810547
batch	6160	valid_loss	19216.9329834
batch	6180	valid_loss	19165.6270752
batch	6200	valid_loss	19167.112793
batch	6220	valid_loss	19156.1494141
batch	6240	valid_loss	19229.8273926
batch	6260	valid_loss	19269.1390381
batch	6280	valid_loss	19193.0218506
batch	6300	valid_loss	19208.3868408
batch	6320	valid_loss	19149.3062744
batch	6340	valid_loss	19179.8928223
batch	6360	valid_loss	19206.2791748
batch	6380	valid_loss	19189.590332
batch	6400	valid_loss	19159.9290771
batch	6420	valid_loss	19204.1658936
batch	6440	valid_loss	19205.9266357
batch	6460	valid_loss	19147.4526367
batch	6480	valid_loss	19171.369873
batch	6500	valid_loss	19139.0793457
batch	6520	valid_loss	19118.5059814
batch	6540	valid_loss	19170.9445801
batch	6560	valid_loss	19212.244751
batch	6580	valid_loss	19259.8223877
batch	6600	valid_loss	19208.7954102
batch	6620	valid_loss	19174.1062012
batch	6640	valid_loss	19154.2648926
batch	6660	valid_loss	19148.9206543
batch	6680	valid_loss	19168.9064941
batch	6700	valid_loss	19155.2922363
batch	6720	valid_loss	19132.1184082
batch	6740	valid_loss	19096.423584
batch	6760	valid_loss	19168.9030762
batch	6780	valid_loss	19157.237793
batch	6800	valid_loss	19149.3116455
batch	6820	valid_loss	19120.4213867
batch	6840	valid_loss	19106.673584
batch	6860	valid_loss	19146.821167
batch	6880	valid_loss	19185.3018799
batch	6900	valid_loss	19172.2028809
batch	6920	valid_loss	19136.192627
