START
config	300	1140
batch	0	valid_loss	174667.761719
batch	20	valid_loss	98077.5605469
batch	40	valid_loss	89922.7587891
batch	60	valid_loss	84730.8398438
batch	80	valid_loss	80194.0136719
batch	100	valid_loss	75523.8271484
batch	120	valid_loss	70823.2387695
batch	140	valid_loss	65900.0043945
batch	160	valid_loss	61049.9702148
batch	180	valid_loss	56223.3554688
batch	200	valid_loss	51730.9824219
batch	220	valid_loss	47556.5664062
batch	240	valid_loss	43764.3671875
batch	260	valid_loss	40463.7021484
batch	280	valid_loss	37569.5734863
batch	300	valid_loss	34926.5644531
batch	320	valid_loss	32609.5683594
batch	340	valid_loss	30656.902832
batch	360	valid_loss	28927.8081055
batch	380	valid_loss	27510.739502
batch	400	valid_loss	26234.9526367
batch	420	valid_loss	25140.7683105
batch	440	valid_loss	24181.079834
batch	460	valid_loss	23337.3476562
batch	480	valid_loss	22588.5948486
batch	500	valid_loss	21955.0427246
batch	520	valid_loss	21412.8295898
batch	540	valid_loss	20912.0628662
batch	560	valid_loss	20482.7425537
batch	580	valid_loss	20125.0097656
batch	600	valid_loss	19812.5128174
batch	620	valid_loss	19510.8796387
batch	640	valid_loss	19277.7390137
batch	660	valid_loss	19051.1817627
batch	680	valid_loss	18863.9754639
batch	700	valid_loss	18722.8552246
batch	720	valid_loss	18587.6324463
batch	740	valid_loss	18498.8908691
batch	760	valid_loss	18337.0980225
batch	780	valid_loss	18277.0582275
batch	800	valid_loss	18193.7597656
batch	820	valid_loss	18105.3222656
batch	840	valid_loss	18068.196167
batch	860	valid_loss	18019.4362793
batch	880	valid_loss	17972.4769287
batch	900	valid_loss	17933.9532471
batch	920	valid_loss	17882.5601807
batch	940	valid_loss	17854.0646973
batch	960	valid_loss	17823.7923584
batch	980	valid_loss	17769.5456543
batch	1000	valid_loss	17752.0159912
batch	1020	valid_loss	17755.7719727
batch	1040	valid_loss	17748.0810547
batch	1060	valid_loss	17713.2884521
batch	1080	valid_loss	17703.3991699
batch	1100	valid_loss	17662.1275635
batch	1120	valid_loss	17655.34375
batch	1140	valid_loss	17661.7901611
batch	1160	valid_loss	17637.0570068
batch	1180	valid_loss	17610.208252
batch	1200	valid_loss	17596.3374023
batch	1220	valid_loss	17584.6975098
batch	1240	valid_loss	17568.9766846
batch	1260	valid_loss	17545.5852051
batch	1280	valid_loss	17548.3410645
batch	1300	valid_loss	17524.3792725
batch	1320	valid_loss	17566.1170654
batch	1340	valid_loss	17542.0179443
batch	1360	valid_loss	17580.7426758
batch	1380	valid_loss	17519.9317627
batch	1400	valid_loss	17544.8850098
batch	1420	valid_loss	17520.387085
batch	1440	valid_loss	17500.0736084
batch	1460	valid_loss	17509.822998
batch	1480	valid_loss	17515.2327881
batch	1500	valid_loss	17484.7091064
batch	1520	valid_loss	17502.0117188
batch	1540	valid_loss	17508.2236328
batch	1560	valid_loss	17491.8338623
batch	1580	valid_loss	17459.4969482
batch	1600	valid_loss	17453.7976074
batch	1620	valid_loss	17437.4730225
batch	1640	valid_loss	17467.3898926
batch	1660	valid_loss	17480.2381592
batch	1680	valid_loss	17471.4619141
batch	1700	valid_loss	17441.8088379
batch	1720	valid_loss	17466.0551758
batch	1740	valid_loss	17422.7102051
batch	1760	valid_loss	17430.5205078
batch	1780	valid_loss	17452.2520752
batch	1800	valid_loss	17417.5894775
batch	1820	valid_loss	17431.7634277
batch	1840	valid_loss	17426.6011963
batch	1860	valid_loss	17400.7598877
batch	1880	valid_loss	17381.9893799
batch	1900	valid_loss	17381.6448975
batch	1920	valid_loss	17370.135498
batch	1940	valid_loss	17377.006958
batch	1960	valid_loss	17366.5087891
batch	1980	valid_loss	17387.0268555
batch	2000	valid_loss	17377.4643555
batch	2020	valid_loss	17386.5093994
batch	2040	valid_loss	17344.8939209
batch	2060	valid_loss	17346.5396729
batch	2080	valid_loss	17362.0585938
batch	2100	valid_loss	17364.2502441
batch	2120	valid_loss	17342.5202637
batch	2140	valid_loss	17322.1309814
batch	2160	valid_loss	17331.8613281
batch	2180	valid_loss	17333.6948242
batch	2200	valid_loss	17296.7819824
batch	2220	valid_loss	17297.8044434
batch	2240	valid_loss	17271.5491943
batch	2260	valid_loss	17317.1531982
batch	2280	valid_loss	17326.154541
batch	2300	valid_loss	17344.2523193
batch	2320	valid_loss	17295.3294678
batch	2340	valid_loss	17315.3692627
batch	2360	valid_loss	17295.4344482
batch	2380	valid_loss	17268.0372314
batch	2400	valid_loss	17292.9523926
batch	2420	valid_loss	17291.7058105
batch	2440	valid_loss	17270.348999
batch	2460	valid_loss	17271.6295166
batch	2480	valid_loss	17256.1571045
batch	2500	valid_loss	17254.5307617
batch	2520	valid_loss	17246.1419678
batch	2540	valid_loss	17205.1942139
batch	2560	valid_loss	17215.2119141
batch	2580	valid_loss	17253.8139648
batch	2600	valid_loss	17232.6309814
batch	2620	valid_loss	17244.09729
batch	2640	valid_loss	17225.1289062
batch	2660	valid_loss	17202.144043
batch	2680	valid_loss	17199.1390381
batch	2700	valid_loss	17245.7374268
batch	2720	valid_loss	17241.7425537
batch	2740	valid_loss	17204.5238037
batch	2760	valid_loss	17205.166748
batch	2780	valid_loss	17186.6158447
batch	2800	valid_loss	17209.75
batch	2820	valid_loss	17175.3359375
batch	2840	valid_loss	17169.9577637
batch	2860	valid_loss	17162.4510498
batch	2880	valid_loss	17218.5168457
batch	2900	valid_loss	17204.8099365
batch	2920	valid_loss	17267.8876953
batch	2940	valid_loss	17196.5452881
batch	2960	valid_loss	17213.8537598
batch	2980	valid_loss	17222.7906494
batch	3000	valid_loss	17194.1092529
batch	3020	valid_loss	17200.4874268
batch	3040	valid_loss	17232.5605469
batch	3060	valid_loss	17192.944458
batch	3080	valid_loss	17184.1593018
batch	3100	valid_loss	17187.7562256
batch	3120	valid_loss	17179.2462158
batch	3140	valid_loss	17172.8068848
batch	3160	valid_loss	17160.7813721
batch	3180	valid_loss	17132.1958008
batch	3200	valid_loss	17195.8635254
batch	3220	valid_loss	17209.0063477
batch	3240	valid_loss	17193.7302246
batch	3260	valid_loss	17178.3325195
batch	3280	valid_loss	17174.4946289
batch	3300	valid_loss	17169.6263428
batch	3320	valid_loss	17180.6987305
batch	3340	valid_loss	17192.3479004
batch	3360	valid_loss	17162.470459
batch	3380	valid_loss	17181.7817383
batch	3400	valid_loss	17177.4882812
batch	3420	valid_loss	17146.8494873
batch	3440	valid_loss	17167.1796875
batch	3460	valid_loss	17143.96521
batch	3480	valid_loss	17122.1391602
batch	3500	valid_loss	17175.9621582
batch	3520	valid_loss	17138.75354
batch	3540	valid_loss	17149.8653564
batch	3560	valid_loss	17154.7987061
batch	3580	valid_loss	17168.5615234
batch	3600	valid_loss	17157.8782959
batch	3620	valid_loss	17129.4832764
batch	3640	valid_loss	17162.8026123
batch	3660	valid_loss	17160.3979492
batch	3680	valid_loss	17130.8544922
batch	3700	valid_loss	17138.7055664
batch	3720	valid_loss	17131.0700684
batch	3740	valid_loss	17151.9378662
batch	3760	valid_loss	17140.3397217
batch	3780	valid_loss	17131.0705566
batch	3800	valid_loss	17106.3671875
batch	3820	valid_loss	17153.5634766
batch	3840	valid_loss	17145.9245605
batch	3860	valid_loss	17178.9450684
batch	3880	valid_loss	17135.2033691
batch	3900	valid_loss	17154.5379639
batch	3920	valid_loss	17135.5969238
batch	3940	valid_loss	17148.0894775
batch	3960	valid_loss	17146.378418
batch	3980	valid_loss	17160.4870605
batch	4000	valid_loss	17146.8780518
batch	4020	valid_loss	17163.4334717
batch	4040	valid_loss	17124.2304688
batch	4060	valid_loss	17129.1132812
batch	4080	valid_loss	17103.0036621
batch	4100	valid_loss	17096.1925049
batch	4120	valid_loss	17095.8146973
batch	4140	valid_loss	17121.2258301
batch	4160	valid_loss	17109.6442871
batch	4180	valid_loss	17148.1085205
batch	4200	valid_loss	17136.345459
batch	4220	valid_loss	17101.5394287
batch	4240	valid_loss	17088.2790527
batch	4260	valid_loss	17132.3187256
batch	4280	valid_loss	17138.9154053
batch	4300	valid_loss	17100.1296387
batch	4320	valid_loss	17102.3509521
batch	4340	valid_loss	17082.8125
batch	4360	valid_loss	17107.2738037
batch	4380	valid_loss	17079.2209473
batch	4400	valid_loss	17064.1208496
batch	4420	valid_loss	17082.9293213
batch	4440	valid_loss	17115.6580811
batch	4460	valid_loss	17095.3221436
batch	4480	valid_loss	17159.6923828
batch	4500	valid_loss	17100.4464111
batch	4520	valid_loss	17116.0522461
batch	4540	valid_loss	17113.1402588
batch	4560	valid_loss	17091.0938721
batch	4580	valid_loss	17099.9396973
batch	4600	valid_loss	17109.2077637
batch	4620	valid_loss	17089.3848877
batch	4640	valid_loss	17097.1450195
batch	4660	valid_loss	17086.8554688
batch	4680	valid_loss	17092.5856934
batch	4700	valid_loss	17055.9581299
batch	4720	valid_loss	17059.8894043
batch	4740	valid_loss	17024.2647705
batch	4760	valid_loss	17091.163208
batch	4780	valid_loss	17093.3293457
