START
config	500	960
batch	0	valid_loss	172130.28418
batch	20	valid_loss	100302.246094
batch	40	valid_loss	90275.4765625
batch	60	valid_loss	84144.6445312
batch	80	valid_loss	78278.3359375
batch	100	valid_loss	72502.5200195
batch	120	valid_loss	66644.2080078
batch	140	valid_loss	60737.7202148
batch	160	valid_loss	55431.8774414
batch	180	valid_loss	50269.6088867
batch	200	valid_loss	45877.9819336
batch	220	valid_loss	42081.1166992
batch	240	valid_loss	38905.421875
batch	260	valid_loss	36153.4570312
batch	280	valid_loss	33968.5305176
batch	300	valid_loss	31866.3435059
batch	320	valid_loss	30176.3852539
batch	340	valid_loss	28743.5046387
batch	360	valid_loss	27495.097168
batch	380	valid_loss	26441.1801758
batch	400	valid_loss	25500.076416
batch	420	valid_loss	24661.6162109
batch	440	valid_loss	23885.6193848
batch	460	valid_loss	23169.6452637
batch	480	valid_loss	22633.3137207
batch	500	valid_loss	22064.7141113
batch	520	valid_loss	21569.6977539
batch	540	valid_loss	21103.5551758
batch	560	valid_loss	20703.6636963
batch	580	valid_loss	20338.9564209
batch	600	valid_loss	20012.0314941
batch	620	valid_loss	19722.7810059
batch	640	valid_loss	19439.6916504
batch	660	valid_loss	19190.9831543
batch	680	valid_loss	18941.84375
batch	700	valid_loss	18765.1793213
batch	720	valid_loss	18589.1291504
batch	740	valid_loss	18415.0578613
batch	760	valid_loss	18245.2646484
batch	780	valid_loss	18141.8587646
batch	800	valid_loss	18020.7183838
batch	820	valid_loss	17936.8359375
batch	840	valid_loss	17816.1638184
batch	860	valid_loss	17753.7131348
batch	880	valid_loss	17692.2489014
batch	900	valid_loss	17614.8669434
batch	920	valid_loss	17571.4715576
batch	940	valid_loss	17496.8186035
batch	960	valid_loss	17493.6560059
batch	980	valid_loss	17403.8704834
batch	1000	valid_loss	17358.5565186
batch	1020	valid_loss	17361.192627
batch	1040	valid_loss	17310.9057617
batch	1060	valid_loss	17274.7563477
batch	1080	valid_loss	17195.730835
batch	1100	valid_loss	17208.258667
batch	1120	valid_loss	17182.456665
batch	1140	valid_loss	17147.3709717
batch	1160	valid_loss	17166.1794434
batch	1180	valid_loss	17094.8696289
batch	1200	valid_loss	17101.8426514
batch	1220	valid_loss	17065.0970459
batch	1240	valid_loss	17110.5097656
batch	1260	valid_loss	17045.5889893
batch	1280	valid_loss	17013.6588135
batch	1300	valid_loss	17002.8695068
batch	1320	valid_loss	16984.5778809
batch	1340	valid_loss	17005.2312012
batch	1360	valid_loss	17031.2492676
batch	1380	valid_loss	16969.3118896
batch	1400	valid_loss	16919.9764404
batch	1420	valid_loss	16956.4754639
batch	1440	valid_loss	16938.1967773
batch	1460	valid_loss	16934.0916748
batch	1480	valid_loss	16886.5180664
batch	1500	valid_loss	16880.8127441
batch	1520	valid_loss	16918.463623
batch	1540	valid_loss	16884.723999
batch	1560	valid_loss	16878.3299561
batch	1580	valid_loss	16874.6031494
batch	1600	valid_loss	16857.7128906
batch	1620	valid_loss	16852.8887939
batch	1640	valid_loss	16885.0255127
batch	1660	valid_loss	16859.449707
batch	1680	valid_loss	16870.4561768
batch	1700	valid_loss	16796.5689697
batch	1720	valid_loss	16803.9627686
batch	1740	valid_loss	16801.9718018
batch	1760	valid_loss	16799.9822998
batch	1780	valid_loss	16821.9173584
batch	1800	valid_loss	16770.8741455
batch	1820	valid_loss	16793.8984375
batch	1840	valid_loss	16789.5715332
batch	1860	valid_loss	16784.0462646
batch	1880	valid_loss	16754.3166504
batch	1900	valid_loss	16788.0281982
batch	1920	valid_loss	16726.1549072
batch	1940	valid_loss	16753.105957
batch	1960	valid_loss	16742.7355957
batch	1980	valid_loss	16806.4859619
batch	2000	valid_loss	16729.0062256
batch	2020	valid_loss	16683.7304688
batch	2040	valid_loss	16721.873291
batch	2060	valid_loss	16671.3839111
batch	2080	valid_loss	16718.7285156
batch	2100	valid_loss	16720.3239746
batch	2120	valid_loss	16682.8258057
batch	2140	valid_loss	16708.1608887
batch	2160	valid_loss	16689.1170654
batch	2180	valid_loss	16711.8787842
batch	2200	valid_loss	16677.7198486
batch	2220	valid_loss	16674.1120605
batch	2240	valid_loss	16643.1584473
batch	2260	valid_loss	16679.8516846
batch	2280	valid_loss	16683.5841064
batch	2300	valid_loss	16676.7585449
batch	2320	valid_loss	16641.3917236
batch	2340	valid_loss	16638.9796143
batch	2360	valid_loss	16625.0651855
batch	2380	valid_loss	16631.6821289
batch	2400	valid_loss	16593.1970215
batch	2420	valid_loss	16576.0911865
batch	2440	valid_loss	16636.6343994
batch	2460	valid_loss	16630.973877
batch	2480	valid_loss	16608.2664795
batch	2500	valid_loss	16581.5115967
batch	2520	valid_loss	16619.4920654
batch	2540	valid_loss	16554.9346924
batch	2560	valid_loss	16557.9417725
batch	2580	valid_loss	16586.7181396
batch	2600	valid_loss	16593.3012695
batch	2620	valid_loss	16575.9282227
batch	2640	valid_loss	16498.0571289
batch	2660	valid_loss	16550.6697998
batch	2680	valid_loss	16512.9555664
batch	2700	valid_loss	16526.4265137
batch	2720	valid_loss	16559.5441895
batch	2740	valid_loss	16474.5111084
batch	2760	valid_loss	16506.4726562
batch	2780	valid_loss	16459.1959229
batch	2800	valid_loss	16524.8061523
batch	2820	valid_loss	16440.9604492
batch	2840	valid_loss	16476.2319336
batch	2860	valid_loss	16452.8688965
batch	2880	valid_loss	16465.1224365
batch	2900	valid_loss	16490.2670898
batch	2920	valid_loss	16500.9689941
batch	2940	valid_loss	16463.0333252
batch	2960	valid_loss	16420.8763428
batch	2980	valid_loss	16443.5805664
batch	3000	valid_loss	16429.7987061
batch	3020	valid_loss	16436.5678711
batch	3040	valid_loss	16403.4765625
batch	3060	valid_loss	16396.0161133
batch	3080	valid_loss	16415.2940674
batch	3100	valid_loss	16405.8287354
batch	3120	valid_loss	16403.2783203
batch	3140	valid_loss	16365.9753418
batch	3160	valid_loss	16392.7703857
batch	3180	valid_loss	16415.3106689
batch	3200	valid_loss	16422.5949707
batch	3220	valid_loss	16388.90625
batch	3240	valid_loss	16387.2388916
batch	3260	valid_loss	16330.9318848
batch	3280	valid_loss	16353.3331299
batch	3300	valid_loss	16311.1080322
batch	3320	valid_loss	16322.5106201
batch	3340	valid_loss	16332.7894287
batch	3360	valid_loss	16284.8718262
batch	3380	valid_loss	16339.7198486
batch	3400	valid_loss	16324.0838623
batch	3420	valid_loss	16302.9971924
batch	3440	valid_loss	16288.0142822
batch	3460	valid_loss	16302.166626
batch	3480	valid_loss	16253.7175293
batch	3500	valid_loss	16254.8684082
batch	3520	valid_loss	16255.2260742
batch	3540	valid_loss	16286.3514404
batch	3560	valid_loss	16262.348877
batch	3580	valid_loss	16226.770752
batch	3600	valid_loss	16227.6600342
batch	3620	valid_loss	16197.9416504
batch	3640	valid_loss	16250.3892822
batch	3660	valid_loss	16238.666626
batch	3680	valid_loss	16199.7177734
batch	3700	valid_loss	16222.4876709
batch	3720	valid_loss	16195.079834
batch	3740	valid_loss	16238.0133057
batch	3760	valid_loss	16189.1694336
batch	3780	valid_loss	16186.5024414
batch	3800	valid_loss	16166.4924316
batch	3820	valid_loss	16190.331543
batch	3840	valid_loss	16194.4591064
batch	3860	valid_loss	16188.90625
batch	3880	valid_loss	16154.3306885
batch	3900	valid_loss	16168.0784912
batch	3920	valid_loss	16140.5301514
batch	3940	valid_loss	16139.9174805
batch	3960	valid_loss	16106.8641357
batch	3980	valid_loss	16114.0214844
batch	4000	valid_loss	16154.5129395
batch	4020	valid_loss	16146.7869873
batch	4040	valid_loss	16154.6195068
batch	4060	valid_loss	16077.7971191
batch	4080	valid_loss	16133.5733643
batch	4100	valid_loss	16064.1853027
batch	4120	valid_loss	16122.7016602
batch	4140	valid_loss	16138.7424316
batch	4160	valid_loss	16120.8105469
batch	4180	valid_loss	16108.4150391
batch	4200	valid_loss	16037.1313477
batch	4220	valid_loss	16090.1066895
batch	4240	valid_loss	16052.3361816
batch	4260	valid_loss	16048.1524658
batch	4280	valid_loss	16090.498291
batch	4300	valid_loss	16045.5333252
batch	4320	valid_loss	16055.1810303
batch	4340	valid_loss	16011.78479
batch	4360	valid_loss	16082.8826904
batch	4380	valid_loss	15997.9698486
batch	4400	valid_loss	16021.3863525
batch	4420	valid_loss	16022.911377
batch	4440	valid_loss	16031.2049561
batch	4460	valid_loss	16032.0532227
batch	4480	valid_loss	16047.1402588
batch	4500	valid_loss	16028.4810791
batch	4520	valid_loss	15977.1009521
batch	4540	valid_loss	16023.6263428
batch	4560	valid_loss	16009.2547607
batch	4580	valid_loss	16019.0385742
batch	4600	valid_loss	15987.1368408
batch	4620	valid_loss	15977.8463135
batch	4640	valid_loss	16021.6497803
batch	4660	valid_loss	15989.043335
batch	4680	valid_loss	15944.9976807
batch	4700	valid_loss	15946.286499
batch	4720	valid_loss	15969.4393311
batch	4740	valid_loss	15971.9056396
batch	4760	valid_loss	16007.2615967
batch	4780	valid_loss	15991.9714355
batch	4800	valid_loss	15989.6176758
batch	4820	valid_loss	15947.4880371
batch	4840	valid_loss	15964.7438965
batch	4860	valid_loss	15929.7781982
batch	4880	valid_loss	15924.0360107
batch	4900	valid_loss	15924.6958008
batch	4920	valid_loss	15902.8535156
batch	4940	valid_loss	15946.395874
batch	4960	valid_loss	15955.0046387
batch	4980	valid_loss	15933.3575439
batch	5000	valid_loss	15891.7803955
batch	5020	valid_loss	15920.5073242
batch	5040	valid_loss	15904.0137939
batch	5060	valid_loss	15903.5806885
batch	5080	valid_loss	15907.5513916
batch	5100	valid_loss	15933.1025391
batch	5120	valid_loss	15896.923584
batch	5140	valid_loss	15861.8435059
batch	5160	valid_loss	15910.3502197
batch	5180	valid_loss	15863.9447021
batch	5200	valid_loss	15898.3151855
batch	5220	valid_loss	15896.2919922
batch	5240	valid_loss	15883.4703369
batch	5260	valid_loss	15883.4147949
batch	5280	valid_loss	15871.6433105
batch	5300	valid_loss	15880.0666504
batch	5320	valid_loss	15851.314209
batch	5340	valid_loss	15859.7436523
batch	5360	valid_loss	15857.4730225
batch	5380	valid_loss	15885.1384277
batch	5400	valid_loss	15873.8427734
batch	5420	valid_loss	15853.6633301
batch	5440	valid_loss	15851.3449707
batch	5460	valid_loss	15862.1018066
batch	5480	valid_loss	15866.7264404
batch	5500	valid_loss	15865.3913574
batch	5520	valid_loss	15789.9921875
batch	5540	valid_loss	15813.0306396
batch	5560	valid_loss	15878.5362549
batch	5580	valid_loss	15847.6422119
batch	5600	valid_loss	15883.9542236
batch	5620	valid_loss	15777.9414062
batch	5640	valid_loss	15846.1967773
batch	5660	valid_loss	15798.8773193
batch	5680	valid_loss	15825.4345703
batch	5700	valid_loss	15840.814209
batch	5720	valid_loss	15824.5743408
batch	5740	valid_loss	15819.0125732
batch	5760	valid_loss	15759.8300781
batch	5780	valid_loss	15820.5178223
batch	5800	valid_loss	15786.2875977
batch	5820	valid_loss	15781.0379639
batch	5840	valid_loss	15829.817749
batch	5860	valid_loss	15789.2984619
batch	5880	valid_loss	15791.3590088
batch	5900	valid_loss	15743.2143555
batch	5920	valid_loss	15803.2871094
batch	5940	valid_loss	15736.6289062
batch	5960	valid_loss	15774.1442871
batch	5980	valid_loss	15755.8095703
batch	6000	valid_loss	15748.5922852
batch	6020	valid_loss	15784.645752
batch	6040	valid_loss	15789.9372559
batch	6060	valid_loss	15771.3023682
batch	6080	valid_loss	15744.4510498
batch	6100	valid_loss	15757.1993408
batch	6120	valid_loss	15750.229126
batch	6140	valid_loss	15766.1832275
batch	6160	valid_loss	15732.5334473
batch	6180	valid_loss	15734.411499
batch	6200	valid_loss	15778.4891357
batch	6220	valid_loss	15776.2685547
batch	6240	valid_loss	15711.9020996
batch	6260	valid_loss	15718.5853271
batch	6280	valid_loss	15724.4475098
batch	6300	valid_loss	15736.5229492
batch	6320	valid_loss	15786.824585
batch	6340	valid_loss	15758.4886475
batch	6360	valid_loss	15759.3001709
batch	6380	valid_loss	15709.2805176
batch	6400	valid_loss	15753.9328613
batch	6420	valid_loss	15707.0992432
batch	6440	valid_loss	15721.3039551
batch	6460	valid_loss	15720.4090576
batch	6480	valid_loss	15701.6236572
batch	6500	valid_loss	15734.1235352
batch	6520	valid_loss	15727.4929199
batch	6540	valid_loss	15703.4422607
batch	6560	valid_loss	15665.8885498
batch	6580	valid_loss	15721.7722168
batch	6600	valid_loss	15696.7780762
batch	6620	valid_loss	15684.2860107
batch	6640	valid_loss	15712.081665
batch	6660	valid_loss	15740.2866211
batch	6680	valid_loss	15698.5024414
batch	6700	valid_loss	15678.4737549
batch	6720	valid_loss	15698.5482178
batch	6740	valid_loss	15656.4229736
batch	6760	valid_loss	15702.6126709
batch	6780	valid_loss	15698.1741943
batch	6800	valid_loss	15671.8691406
batch	6820	valid_loss	15673.4833984
batch	6840	valid_loss	15686.9355469
batch	6860	valid_loss	15705.7490234
batch	6880	valid_loss	15666.0168457
batch	6900	valid_loss	15683.84021
batch	6920	valid_loss	15665.7988281
batch	6940	valid_loss	15668.3530273
batch	6960	valid_loss	15689.5303955
batch	6980	valid_loss	15676.4674072
batch	7000	valid_loss	15649.7321777
batch	7020	valid_loss	15676.6707764
batch	7040	valid_loss	15663.3312988
batch	7060	valid_loss	15688.3963623
batch	7080	valid_loss	15618.5004883
batch	7100	valid_loss	15612.0883789
batch	7120	valid_loss	15683.2706299
batch	7140	valid_loss	15688.762207
batch	7160	valid_loss	15699.8205566
batch	7180	valid_loss	15610.9619141
batch	7200	valid_loss	15675.3391113
batch	7220	valid_loss	15642.0531006
batch	7240	valid_loss	15660.8704834
batch	7260	valid_loss	15663.4985352
batch	7280	valid_loss	15653.1329346
batch	7300	valid_loss	15674.0010986
batch	7320	valid_loss	15592.0174561
batch	7340	valid_loss	15678.6340332
batch	7360	valid_loss	15631.6077881
batch	7380	valid_loss	15616.6635742
batch	7400	valid_loss	15666.673584
batch	7420	valid_loss	15620.9902344
batch	7440	valid_loss	15638.036499
batch	7460	valid_loss	15592.8001709
batch	7480	valid_loss	15659.4412842
batch	7500	valid_loss	15584.0446777
batch	7520	valid_loss	15626.5378418
batch	7540	valid_loss	15602.0709229
batch	7560	valid_loss	15605.8071289
batch	7580	valid_loss	15626.2132568
batch	7600	valid_loss	15633.508667
batch	7620	valid_loss	15628.9498291
batch	7640	valid_loss	15589.4240723
batch	7660	valid_loss	15628.0235596
batch	7680	valid_loss	15598.5133057
batch	7700	valid_loss	15634.824707
batch	7720	valid_loss	15595.2561035
batch	7740	valid_loss	15614.7138672
batch	7760	valid_loss	15661.7098389
batch	7780	valid_loss	15637.6368408
batch	7800	valid_loss	15575.2076416
batch	7820	valid_loss	15568.4780273
batch	7840	valid_loss	15592.2265625
batch	7860	valid_loss	15621.779541
batch	7880	valid_loss	15646.489624
batch	7900	valid_loss	15600.0341797
batch	7920	valid_loss	15628.9230957
batch	7940	valid_loss	15557.2138672
batch	7960	valid_loss	15620.1679688
batch	7980	valid_loss	15572.605957
batch	8000	valid_loss	15588.137085
batch	8020	valid_loss	15602.4282227
batch	8040	valid_loss	15564.9543457
batch	8060	valid_loss	15606.7216797
batch	8080	valid_loss	15596.9888916
batch	8100	valid_loss	15600.0454102
batch	8120	valid_loss	15563.572998
batch	8140	valid_loss	15598.4224854
batch	8160	valid_loss	15571.9519043
batch	8180	valid_loss	15574.496582
batch	8200	valid_loss	15576.8840332
batch	8220	valid_loss	15604.2896729
batch	8240	valid_loss	15582.5661621
batch	8260	valid_loss	15556.7879639
batch	8280	valid_loss	15582.2409668
batch	8300	valid_loss	15541.5166016
batch	8320	valid_loss	15585.1035156
batch	8340	valid_loss	15596.9720459
batch	8360	valid_loss	15569.1002197
batch	8380	valid_loss	15567.4627686
batch	8400	valid_loss	15566.5377197
batch	8420	valid_loss	15593.3074951
batch	8440	valid_loss	15562.1463623
batch	8460	valid_loss	15570.0789795
batch	8480	valid_loss	15550.0593262
batch	8500	valid_loss	15579.8839111
batch	8520	valid_loss	15572.8615723
batch	8540	valid_loss	15586.9038086
batch	8560	valid_loss	15567.7098389
batch	8580	valid_loss	15567.9451904
batch	8600	valid_loss	15553.0531006
batch	8620	valid_loss	15588.078125
batch	8640	valid_loss	15532.0063477
batch	8660	valid_loss	15520.8138428
batch	8680	valid_loss	15578.1152344
batch	8700	valid_loss	15579.6658936
batch	8720	valid_loss	15626.5114746
batch	8740	valid_loss	15519.3033447
batch	8760	valid_loss	15573.013916
batch	8780	valid_loss	15540.7729492
batch	8800	valid_loss	15568.1906738
batch	8820	valid_loss	15561.5137939
batch	8840	valid_loss	15553.9274902
batch	8860	valid_loss	15569.9035645
batch	8880	valid_loss	15492.5379639
batch	8900	valid_loss	15564.2961426
batch	8920	valid_loss	15536.8518066
batch	8940	valid_loss	15525.7902832
batch	8960	valid_loss	15579.1047363
batch	8980	valid_loss	15545.3979492
batch	9000	valid_loss	15540.5377197
batch	9020	valid_loss	15514.8063965
batch	9040	valid_loss	15567.020752
batch	9060	valid_loss	15502.7734375
batch	9080	valid_loss	15517.9022217
batch	9100	valid_loss	15518.8051758
batch	9120	valid_loss	15539.854126
batch	9140	valid_loss	15566.8673096
batch	9160	valid_loss	15539.4041748
batch	9180	valid_loss	15539.2521973
batch	9200	valid_loss	15523.9289551
batch	9220	valid_loss	15521.2420654
batch	9240	valid_loss	15510.4562988
batch	9260	valid_loss	15554.0095215
batch	9280	valid_loss	15532.5795898
batch	9300	valid_loss	15521.3985596
batch	9320	valid_loss	15568.9383545
batch	9340	valid_loss	15546.039917
batch	9360	valid_loss	15510.5966797
