START
config	120	360
batch	0	test_loss	67959.7
batch	20	test_loss	56584.1
batch	40	test_loss	53163.6
batch	60	test_loss	50786.7
batch	80	test_loss	48441.5
batch	100	test_loss	46007.6
batch	120	test_loss	43464.5
batch	140	test_loss	40741.8
batch	160	test_loss	37990.2
batch	180	test_loss	35260.0
batch	200	test_loss	32524.5
batch	220	test_loss	30002.9
batch	240	test_loss	27657.0
batch	260	test_loss	25579.5
batch	280	test_loss	23757.6
batch	300	test_loss	22162.6
batch	320	test_loss	20787.2
batch	340	test_loss	19654.7
batch	360	test_loss	18703.1
batch	380	test_loss	17914.4
batch	400	test_loss	17268.5
batch	420	test_loss	16780.0
batch	440	test_loss	16390.3
batch	460	test_loss	16039.7
batch	480	test_loss	15749.3
batch	500	test_loss	15520.2
batch	520	test_loss	15326.7
batch	540	test_loss	15157.5
batch	560	test_loss	15002.2
batch	580	test_loss	14892.2
batch	600	test_loss	14783.2
batch	620	test_loss	14704.4
batch	640	test_loss	14596.7
batch	660	test_loss	14551.4
batch	680	test_loss	14495.3
batch	700	test_loss	14418.7
batch	720	test_loss	14376.2
batch	740	test_loss	14326.9
batch	760	test_loss	14300.1
batch	780	test_loss	14242.9
batch	800	test_loss	14245.3
batch	820	test_loss	14238.8
batch	840	test_loss	14178.9
batch	860	test_loss	14166.8
batch	880	test_loss	14174.4
batch	900	test_loss	14112.8
batch	920	test_loss	14104.0
batch	940	test_loss	14106.4
batch	960	test_loss	14049.7
batch	980	test_loss	14063.2
batch	1000	test_loss	14047.5
batch	1020	test_loss	14053.3
batch	1040	test_loss	14021.4
batch	1060	test_loss	14000.9
batch	1080	test_loss	14005.4
batch	1100	test_loss	13994.6
batch	1120	test_loss	14033.2
batch	1140	test_loss	13974.0
batch	1160	test_loss	13999.7
batch	1180	test_loss	13976.6
batch	1200	test_loss	13967.6
batch	1220	test_loss	14003.3
batch	1240	test_loss	13958.3
batch	1260	test_loss	13987.8
batch	1280	test_loss	13974.5
batch	1300	test_loss	13959.4
batch	1320	test_loss	13995.6
