START
config	180	360
batch	0	test_loss	100869.0
batch	20	test_loss	82956.6
batch	40	test_loss	77698.1
batch	60	test_loss	73604.0
batch	80	test_loss	69552.6
batch	100	test_loss	65276.9
batch	120	test_loss	60865.4
batch	140	test_loss	56359.6
batch	160	test_loss	51881.1
batch	180	test_loss	47438.9
batch	200	test_loss	43266.1
batch	220	test_loss	39458.4
batch	240	test_loss	35912.1
batch	260	test_loss	32848.5
batch	280	test_loss	30073.4
batch	300	test_loss	27656.9
batch	320	test_loss	25427.4
batch	340	test_loss	23545.2
batch	360	test_loss	21969.3
batch	380	test_loss	20534.8
batch	400	test_loss	19279.3
batch	420	test_loss	18228.3
batch	440	test_loss	17327.4
batch	460	test_loss	16561.8
batch	480	test_loss	15952.9
batch	500	test_loss	15384.4
batch	520	test_loss	14956.8
batch	540	test_loss	14593.6
batch	560	test_loss	14307.9
batch	580	test_loss	14054.8
batch	600	test_loss	13837.9
batch	620	test_loss	13698.0
batch	640	test_loss	13548.5
batch	660	test_loss	13433.4
batch	680	test_loss	13320.5
batch	700	test_loss	13247.3
batch	720	test_loss	13212.2
batch	740	test_loss	13087.1
batch	760	test_loss	13058.3
batch	780	test_loss	13003.0
batch	800	test_loss	12952.1
batch	820	test_loss	12916.0
batch	840	test_loss	12883.2
batch	860	test_loss	12875.7
batch	880	test_loss	12839.0
batch	900	test_loss	12833.8
batch	920	test_loss	12834.9
batch	940	test_loss	12796.0
batch	960	test_loss	12882.6
batch	980	test_loss	12785.8
batch	1000	test_loss	12778.3
batch	1020	test_loss	12794.8
batch	1040	test_loss	12768.5
batch	1060	test_loss	12751.2
batch	1080	test_loss	12747.1
batch	1100	test_loss	12755.4
batch	1120	test_loss	12765.0
batch	1140	test_loss	12777.9
batch	1160	test_loss	12788.2
batch	1180	test_loss	12802.7
batch	1200	test_loss	12782.5
batch	1220	test_loss	12743.5
batch	1240	test_loss	12824.6
batch	1260	test_loss	12767.6
batch	1280	test_loss	12767.7
batch	1300	test_loss	12772.6
batch	1320	test_loss	12771.1
batch	1340	test_loss	12745.4
batch	1360	test_loss	12734.1
batch	1380	test_loss	12784.3
batch	1400	test_loss	12758.7
batch	1420	test_loss	12757.6
batch	1440	test_loss	12742.3
batch	1460	test_loss	12772.5
batch	1480	test_loss	12780.9
batch	1500	test_loss	12749.1
batch	1520	test_loss	12736.0
batch	1540	test_loss	12744.8
batch	1560	test_loss	12744.5
batch	1580	test_loss	12759.9
batch	1600	test_loss	12819.8
batch	1620	test_loss	12795.0
batch	1640	test_loss	12737.3
batch	1660	test_loss	12744.6
batch	1680	test_loss	12744.8
batch	1700	test_loss	12763.3
batch	1720	test_loss	12766.6
batch	1740	test_loss	12751.0
batch	1760	test_loss	12747.4
batch	1780	test_loss	12755.9
batch	1800	test_loss	12745.0
batch	1820	test_loss	12804.6
batch	1840	test_loss	12768.5
batch	1860	test_loss	12820.4
batch	1880	test_loss	12745.7
batch	1900	test_loss	12791.0
batch	1920	test_loss	12789.7
batch	1940	test_loss	12765.3
batch	1960	test_loss	12783.6
batch	1980	test_loss	12769.8
STOP
