START
config	180	480
batch	0	valid_loss	36530.2
batch	20	valid_loss	29546.6
batch	40	valid_loss	27585.4
batch	60	valid_loss	26192.6
batch	80	valid_loss	24842.1
batch	100	valid_loss	23440.9
batch	120	valid_loss	21948.1
batch	140	valid_loss	20452.2
batch	160	valid_loss	18921.3
batch	180	valid_loss	17360.2
batch	200	valid_loss	15932.7
batch	220	valid_loss	14589.6
batch	240	valid_loss	13334.9
batch	260	valid_loss	12214.5
batch	280	valid_loss	11218.4
batch	300	valid_loss	10325.9
batch	320	valid_loss	9542.54
batch	340	valid_loss	8854.57
batch	360	valid_loss	8227.34
batch	380	valid_loss	7693.96
batch	400	valid_loss	7215.85
batch	420	valid_loss	6806.29
batch	440	valid_loss	6454.61
batch	460	valid_loss	6141.32
batch	480	valid_loss	5875.89
batch	500	valid_loss	5634.68
batch	520	valid_loss	5446.16
batch	540	valid_loss	5281.59
batch	560	valid_loss	5146.3
batch	580	valid_loss	5029.52
batch	600	valid_loss	4930.12
batch	620	valid_loss	4852.68
batch	640	valid_loss	4789.22
batch	660	valid_loss	4733.93
batch	680	valid_loss	4690.52
batch	700	valid_loss	4649.93
batch	720	valid_loss	4617.83
batch	740	valid_loss	4588.46
batch	760	valid_loss	4558.24
batch	780	valid_loss	4546.04
batch	800	valid_loss	4528.04
batch	820	valid_loss	4512.76
batch	840	valid_loss	4502.4
batch	860	valid_loss	4489.87
batch	880	valid_loss	4481.35
batch	900	valid_loss	4475.95
batch	920	valid_loss	4466.7
batch	940	valid_loss	4457.08
batch	960	valid_loss	4456.22
batch	980	valid_loss	4451.92
batch	1000	valid_loss	4447.38
batch	1020	valid_loss	4445.79
batch	1040	valid_loss	4444.18
batch	1060	valid_loss	4442.58
batch	1080	valid_loss	4442.49
batch	1100	valid_loss	4431.85
batch	1120	valid_loss	4441.06
batch	1140	valid_loss	4433.28
batch	1160	valid_loss	4433.95
batch	1180	valid_loss	4439.29
batch	1200	valid_loss	4429.89
batch	1220	valid_loss	4424.52
batch	1240	valid_loss	4427.93
batch	1260	valid_loss	4428.82
batch	1280	valid_loss	4431.78
batch	1300	valid_loss	4430.62
batch	1320	valid_loss	4426.89
batch	1340	valid_loss	4432.19
batch	1360	valid_loss	4428.67
batch	1380	valid_loss	4422.23
batch	1400	valid_loss	4431.19
batch	1420	valid_loss	4426.29
batch	1440	valid_loss	4418.92
batch	1460	valid_loss	4435.3
batch	1480	valid_loss	4430.78
batch	1500	valid_loss	4428.51
batch	1520	valid_loss	4430.41
batch	1540	valid_loss	4427.25
batch	1560	valid_loss	4423.08
batch	1580	valid_loss	4430.59
batch	1600	valid_loss	4426.66
batch	1620	valid_loss	4431.86
batch	1640	valid_loss	4429.3
batch	1660	valid_loss	4429.88
batch	1680	valid_loss	4432.55
batch	1700	valid_loss	4436.98
batch	1720	valid_loss	4430.65
batch	1740	valid_loss	4429.22
batch	1760	valid_loss	4428.88
batch	1780	valid_loss	4427.95
batch	1800	valid_loss	4437.93
batch	1820	valid_loss	4434.15
batch	1840	valid_loss	4431.62
batch	1860	valid_loss	4438.3
batch	1880	valid_loss	4432.6
batch	1900	valid_loss	4426.39
batch	1920	valid_loss	4440.07
batch	1940	valid_loss	4436.58
batch	1960	valid_loss	4432.91
batch	1980	valid_loss	4435.33
batch	2000	valid_loss	4430.87
batch	2020	valid_loss	4433.53
batch	2040	valid_loss	4434.62
batch	2060	valid_loss	4429.36
batch	2080	valid_loss	4432.54
batch	2100	valid_loss	4433.45
batch	2120	valid_loss	4428.27
batch	2140	valid_loss	4443.73
batch	2160	valid_loss	4437.54
batch	2180	valid_loss	4433.69
batch	2200	valid_loss	4440.62
batch	2220	valid_loss	4436.33
batch	2240	valid_loss	4426.22
batch	2260	valid_loss	4448.05
batch	2280	valid_loss	4436.61
batch	2300	valid_loss	4440.13
batch	2320	valid_loss	4437.02
batch	2340	valid_loss	4437.12
batch	2360	valid_loss	4438.01
batch	2380	valid_loss	4436.96
batch	2400	valid_loss	4433.96
batch	2420	valid_loss	4438.18
batch	2440	valid_loss	4444.29
batch	2460	valid_loss	4435.71
batch	2480	valid_loss	4442.78
batch	2500	valid_loss	4440.82
batch	2520	valid_loss	4436.55
batch	2540	valid_loss	4438.15
batch	2560	valid_loss	4434.24
batch	2580	valid_loss	4430.21
batch	2600	valid_loss	4447.65
batch	2620	valid_loss	4441.43
batch	2640	valid_loss	4443.65
batch	2660	valid_loss	4440.34
batch	2680	valid_loss	4438.88
batch	2700	valid_loss	4431.32
batch	2720	valid_loss	4446.75
batch	2740	valid_loss	4441.83
batch	2760	valid_loss	4445.05
batch	2780	valid_loss	4439.08
batch	2800	valid_loss	4442.03
batch	2820	valid_loss	4445.99
batch	2840	valid_loss	4440.3
batch	2860	valid_loss	4437.87
batch	2880	valid_loss	4436.54
batch	2900	valid_loss	4435.55
batch	2920	valid_loss	4434.11
batch	2940	valid_loss	4446.74
batch	2960	valid_loss	4438.84
batch	2980	valid_loss	4440.92
batch	3000	valid_loss	4438.77
batch	3020	valid_loss	4443.08
batch	3040	valid_loss	4431.0
batch	3060	valid_loss	4440.78
batch	3080	valid_loss	4438.65
batch	3100	valid_loss	4441.09
batch	3120	valid_loss	4438.67
batch	3140	valid_loss	4442.98
batch	3160	valid_loss	4443.29
batch	3180	valid_loss	4439.09
batch	3200	valid_loss	4434.77
batch	3220	valid_loss	4435.96
batch	3240	valid_loss	4439.04
batch	3260	valid_loss	4433.38
batch	3280	valid_loss	4445.55
batch	3300	valid_loss	4443.98
batch	3320	valid_loss	4437.42
batch	3340	valid_loss	4441.69
batch	3360	valid_loss	4434.22
batch	3380	valid_loss	4431.27
batch	3400	valid_loss	4441.96
batch	3420	valid_loss	4435.4
batch	3440	valid_loss	4440.54
batch	3460	valid_loss	4439.21
batch	3480	valid_loss	4439.03
batch	3500	valid_loss	4441.84
batch	3520	valid_loss	4437.46
batch	3540	valid_loss	4438.21
batch	3560	valid_loss	4438.8
batch	3580	valid_loss	4436.21
batch	3600	valid_loss	4435.5
batch	3620	valid_loss	4443.58
batch	3640	valid_loss	4433.22
batch	3660	valid_loss	4438.02
batch	3680	valid_loss	4441.91
