START
config	180	960
batch	0	valid_loss	8556287.9375
batch	30	valid_loss	237757.429688
batch	60	valid_loss	101148.637695
batch	90	valid_loss	94024.3100586
batch	120	valid_loss	92587.8149414
batch	150	valid_loss	91331.8554688
batch	180	valid_loss	90056.0639648
batch	210	valid_loss	88691.9267578
batch	240	valid_loss	87199.0102539
batch	270	valid_loss	85655.6445312
batch	300	valid_loss	84107.7412109
batch	330	valid_loss	82580.6000977
batch	360	valid_loss	81065.4780273
batch	390	valid_loss	79519.3339844
batch	420	valid_loss	78044.9384766
batch	450	valid_loss	76602.9501953
batch	480	valid_loss	75138.9819336
batch	510	valid_loss	73741.4868164
batch	540	valid_loss	72360.1748047
batch	570	valid_loss	70934.8842773
batch	600	valid_loss	69544.8364258
batch	630	valid_loss	68159.7509766
batch	660	valid_loss	66858.8041992
batch	690	valid_loss	65572.2451172
batch	720	valid_loss	64298.0009766
batch	750	valid_loss	63043.0742188
batch	780	valid_loss	61892.3139648
batch	810	valid_loss	60734.6015625
batch	840	valid_loss	59590.0083008
batch	870	valid_loss	58452.6606445
batch	900	valid_loss	57366.3662109
batch	930	valid_loss	56294.6904297
batch	960	valid_loss	55291.5800781
batch	990	valid_loss	54254.2705078
batch	1020	valid_loss	53253.6875
batch	1050	valid_loss	52282.7104492
batch	1080	valid_loss	51289.078125
batch	1110	valid_loss	50345.4794922
batch	1140	valid_loss	49450.5600586
batch	1170	valid_loss	48536.5444336
batch	1200	valid_loss	47658.3010254
batch	1230	valid_loss	46807.904541
batch	1260	valid_loss	45986.9677734
batch	1290	valid_loss	45184.8981934
batch	1320	valid_loss	44358.5678711
batch	1350	valid_loss	43615.3903809
batch	1380	valid_loss	42849.9841309
batch	1410	valid_loss	42118.6315918
batch	1440	valid_loss	41437.8198242
batch	1470	valid_loss	40752.5256348
batch	1500	valid_loss	40047.3537598
batch	1530	valid_loss	39432.6425781
batch	1560	valid_loss	38768.5336914
batch	1590	valid_loss	38175.4506836
batch	1620	valid_loss	37581.6425781
batch	1650	valid_loss	37005.2514648
batch	1680	valid_loss	36404.3835449
batch	1710	valid_loss	35859.6828613
batch	1740	valid_loss	35323.0710449
batch	1770	valid_loss	34825.4819336
batch	1800	valid_loss	34292.6066895
batch	1830	valid_loss	33801.1489258
batch	1860	valid_loss	33298.4716797
batch	1890	valid_loss	32830.8813477
batch	1920	valid_loss	32389.2751465
batch	1950	valid_loss	31921.125
batch	1980	valid_loss	31519.9499512
batch	2010	valid_loss	31085.5463867
batch	2040	valid_loss	30656.0649414
batch	2070	valid_loss	30258.4875488
batch	2100	valid_loss	29867.0581055
batch	2130	valid_loss	29495.2297363
batch	2160	valid_loss	29137.8759766
batch	2190	valid_loss	28761.2849121
batch	2220	valid_loss	28425.3632812
batch	2250	valid_loss	28051.1311035
batch	2280	valid_loss	27746.1184082
batch	2310	valid_loss	27410.0493164
batch	2340	valid_loss	27108.9719238
batch	2370	valid_loss	26793.388916
batch	2400	valid_loss	26517.5837402
batch	2430	valid_loss	26201.5302734
batch	2460	valid_loss	25952.6169434
batch	2490	valid_loss	25634.5512695
batch	2520	valid_loss	25379.8393555
batch	2550	valid_loss	25102.7429199
batch	2580	valid_loss	24880.2021484
batch	2610	valid_loss	24603.9250488
batch	2640	valid_loss	24351.0214844
batch	2670	valid_loss	24128.2595215
batch	2700	valid_loss	23910.1589355
batch	2730	valid_loss	23662.1907959
batch	2760	valid_loss	23467.8820801
batch	2790	valid_loss	23243.9313965
batch	2820	valid_loss	23041.5825195
batch	2850	valid_loss	22853.5526123
batch	2880	valid_loss	22620.8347168
batch	2910	valid_loss	22438.4124756
batch	2940	valid_loss	22248.0114746
batch	2970	valid_loss	22078.713501
batch	3000	valid_loss	21910.6181641
batch	3030	valid_loss	21748.880127
batch	3060	valid_loss	21546.532959
batch	3090	valid_loss	21419.4980469
batch	3120	valid_loss	21234.236084
batch	3150	valid_loss	21073.0026855
batch	3180	valid_loss	20907.0510254
batch	3210	valid_loss	20779.5836182
batch	3240	valid_loss	20628.4893799
batch	3270	valid_loss	20517.9619141
batch	3300	valid_loss	20365.4317627
batch	3330	valid_loss	20240.6864014
batch	3360	valid_loss	20091.2104492
batch	3390	valid_loss	19972.0429688
batch	3420	valid_loss	19844.78479
batch	3450	valid_loss	19721.4350586
batch	3480	valid_loss	19616.4313965
batch	3510	valid_loss	19502.8300781
batch	3540	valid_loss	19373.9029541
batch	3570	valid_loss	19276.3544922
batch	3600	valid_loss	19167.850708
batch	3630	valid_loss	19077.9222412
batch	3660	valid_loss	18980.8692627
batch	3690	valid_loss	18871.0064697
batch	3720	valid_loss	18782.3193359
batch	3750	valid_loss	18679.7084961
batch	3780	valid_loss	18629.0460205
batch	3810	valid_loss	18472.19104
batch	3840	valid_loss	18416.3193359
batch	3870	valid_loss	18317.6872559
batch	3900	valid_loss	18238.0463867
batch	3930	valid_loss	18173.1680908
batch	3960	valid_loss	18118.151123
batch	3990	valid_loss	18004.3980713
batch	4020	valid_loss	17954.512207
batch	4050	valid_loss	17876.1793213
batch	4080	valid_loss	17824.3115234
batch	4110	valid_loss	17744.164917
batch	4140	valid_loss	17678.5946045
batch	4170	valid_loss	17592.9371338
batch	4200	valid_loss	17543.7277832
batch	4230	valid_loss	17477.8963623
batch	4260	valid_loss	17404.4886475
batch	4290	valid_loss	17381.6608887
batch	4320	valid_loss	17322.0291748
batch	4350	valid_loss	17259.0042725
batch	4380	valid_loss	17203.3713379
batch	4410	valid_loss	17152.1619873
batch	4440	valid_loss	17094.0073242
batch	4470	valid_loss	17075.4030762
batch	4500	valid_loss	17009.3217773
batch	4530	valid_loss	16969.9355469
batch	4560	valid_loss	16924.7825928
batch	4590	valid_loss	16919.2434082
batch	4620	valid_loss	16830.364502
batch	4650	valid_loss	16805.3945312
batch	4680	valid_loss	16742.5362549
batch	4710	valid_loss	16735.6623535
batch	4740	valid_loss	16634.1325684
batch	4770	valid_loss	16630.5349121
batch	4800	valid_loss	16599.0653076
batch	4830	valid_loss	16582.6452637
batch	4860	valid_loss	16553.8363037
batch	4890	valid_loss	16494.083252
batch	4920	valid_loss	16454.7983398
batch	4950	valid_loss	16439.3155518
batch	4980	valid_loss	16410.7070312
batch	5010	valid_loss	16382.2833252
batch	5040	valid_loss	16354.7633057
batch	5070	valid_loss	16323.9345703
batch	5100	valid_loss	16281.4260254
batch	5130	valid_loss	16265.4312744
batch	5160	valid_loss	16227.7746582
batch	5190	valid_loss	16205.796875
batch	5220	valid_loss	16200.9759521
batch	5250	valid_loss	16157.7093506
batch	5280	valid_loss	16145.7006836
batch	5310	valid_loss	16117.9853516
batch	5340	valid_loss	16117.59375
batch	5370	valid_loss	16084.5205078
batch	5400	valid_loss	16036.0281982
batch	5430	valid_loss	16021.6750488
batch	5460	valid_loss	16015.2253418
batch	5490	valid_loss	15981.1678467
batch	5520	valid_loss	15984.0946045
batch	5550	valid_loss	15974.2471924
batch	5580	valid_loss	15954.0955811
batch	5610	valid_loss	15935.3010254
batch	5640	valid_loss	15934.4645996
batch	5670	valid_loss	15880.6037598
batch	5700	valid_loss	15848.067749
batch	5730	valid_loss	15873.3999023
batch	5760	valid_loss	15875.0992432
batch	5790	valid_loss	15887.9776611
batch	5820	valid_loss	15828.3300781
batch	5850	valid_loss	15801.1728516
batch	5880	valid_loss	15784.3128662
batch	5910	valid_loss	15762.1781006
batch	5940	valid_loss	15794.4029541
batch	5970	valid_loss	15778.3227539
batch	6000	valid_loss	15755.6795654
batch	6030	valid_loss	15713.0251465
batch	6060	valid_loss	15748.9459229
batch	6090	valid_loss	15710.6789551
batch	6120	valid_loss	15712.4267578
batch	6150	valid_loss	15706.8260498
batch	6180	valid_loss	15685.5234375
batch	6210	valid_loss	15679.6243896
batch	6240	valid_loss	15700.7260742
batch	6270	valid_loss	15694.7087402
batch	6300	valid_loss	15663.0749512
batch	6330	valid_loss	15644.2589111
batch	6360	valid_loss	15646.5115967
batch	6390	valid_loss	15636.1928711
batch	6420	valid_loss	15623.8673096
batch	6450	valid_loss	15646.9460449
batch	6480	valid_loss	15617.6700439
batch	6510	valid_loss	15635.6713867
batch	6540	valid_loss	15597.7098389
batch	6570	valid_loss	15606.098877
batch	6600	valid_loss	15579.411377
batch	6630	valid_loss	15575.9786377
batch	6660	valid_loss	15591.2749023
batch	6690	valid_loss	15585.6796875
batch	6720	valid_loss	15572.8200684
batch	6750	valid_loss	15555.8271484
batch	6780	valid_loss	15546.8762207
batch	6810	valid_loss	15538.1732178
batch	6840	valid_loss	15533.5469971
batch	6870	valid_loss	15553.6982422
batch	6900	valid_loss	15553.4412842
batch	6930	valid_loss	15495.7094727
batch	6960	valid_loss	15506.4222412
batch	6990	valid_loss	15512.2749023
batch	7020	valid_loss	15515.0556641
batch	7050	valid_loss	15491.7641602
batch	7080	valid_loss	15492.6678467
batch	7110	valid_loss	15497.8653564
batch	7140	valid_loss	15485.6835938
batch	7170	valid_loss	15508.4182129
batch	7200	valid_loss	15505.8529053
batch	7230	valid_loss	15481.7049561
batch	7260	valid_loss	15471.71521
batch	7290	valid_loss	15502.5491943
batch	7320	valid_loss	15474.3422852
batch	7350	valid_loss	15466.5402832
batch	7380	valid_loss	15489.5568848
batch	7410	valid_loss	15460.0267334
batch	7440	valid_loss	15471.0554199
batch	7470	valid_loss	15459.5612793
batch	7500	valid_loss	15470.2591553
batch	7530	valid_loss	15445.1412354
batch	7560	valid_loss	15449.2121582
batch	7590	valid_loss	15438.8433838
batch	7620	valid_loss	15446.2823486
batch	7650	valid_loss	15430.8813477
batch	7680	valid_loss	15432.7613525
batch	7710	valid_loss	15437.0512695
batch	7740	valid_loss	15409.3557129
