START
config	10	360
batch	0	test_loss	2.65875e+07
batch	20	test_loss	2.19963e+07
batch	40	test_loss	1.77325e+07
batch	60	test_loss	1.38413e+07
batch	80	test_loss	1.0499e+07
batch	100	test_loss	7.81548e+06
batch	120	test_loss	5.78343e+06
batch	140	test_loss	4.32718e+06
batch	160	test_loss	3.31294e+06
batch	180	test_loss	2.61106e+06
batch	200	test_loss	2.12484e+06
batch	220	test_loss	1.78335e+06
batch	240	test_loss	1.54073e+06
batch	260	test_loss	1.3668e+06
batch	280	test_loss	1.23883e+06
batch	300	test_loss	1.14413e+06
batch	320	test_loss	1.07299e+06
batch	340	test_loss	1.0191e+06
batch	360	test_loss	977256.0
batch	380	test_loss	943331.0
batch	400	test_loss	914736.0
batch	420	test_loss	891928.0
batch	440	test_loss	872660.0
batch	460	test_loss	855608.0
batch	480	test_loss	840068.0
batch	500	test_loss	826510.0
batch	520	test_loss	814122.0
batch	540	test_loss	801722.0
batch	560	test_loss	789372.0
batch	580	test_loss	778808.0
batch	600	test_loss	766392.0
batch	620	test_loss	757255.0
batch	640	test_loss	746578.0
batch	660	test_loss	736253.0
batch	680	test_loss	725098.0
batch	700	test_loss	714234.0
batch	720	test_loss	704510.0
batch	740	test_loss	695320.0
batch	760	test_loss	684559.0
batch	780	test_loss	674931.0
batch	800	test_loss	666811.0
batch	820	test_loss	658019.0
batch	840	test_loss	648857.0
batch	860	test_loss	639130.0
batch	880	test_loss	629120.0
batch	900	test_loss	620185.0
batch	920	test_loss	611567.0
batch	940	test_loss	602376.0
batch	960	test_loss	593629.0
batch	980	test_loss	585056.0
batch	1000	test_loss	575869.0
batch	1020	test_loss	567624.0
batch	1040	test_loss	559929.0
batch	1060	test_loss	551619.0
batch	1080	test_loss	542612.0
batch	1100	test_loss	533624.0
batch	1120	test_loss	526347.0
batch	1140	test_loss	518683.0
batch	1160	test_loss	510808.0
batch	1180	test_loss	503038.0
batch	1200	test_loss	495145.0
batch	1220	test_loss	486904.0
batch	1240	test_loss	478761.0
batch	1260	test_loss	470917.0
batch	1280	test_loss	463664.0
batch	1300	test_loss	456506.0
batch	1320	test_loss	449941.0
batch	1340	test_loss	443512.0
batch	1360	test_loss	437256.0
batch	1380	test_loss	431273.0
batch	1400	test_loss	425920.0
batch	1420	test_loss	420884.0
batch	1440	test_loss	416084.0
batch	1460	test_loss	411604.0
batch	1480	test_loss	407203.0
batch	1500	test_loss	403091.0
batch	1520	test_loss	399660.0
batch	1540	test_loss	396119.0
batch	1560	test_loss	392874.0
batch	1580	test_loss	389925.0
batch	1600	test_loss	387235.0
batch	1620	test_loss	384666.0
batch	1640	test_loss	382428.0
batch	1660	test_loss	380224.0
batch	1680	test_loss	378121.0
batch	1700	test_loss	376203.0
batch	1720	test_loss	374414.0
batch	1740	test_loss	372708.0
batch	1760	test_loss	371093.0
batch	1780	test_loss	369417.0
batch	1800	test_loss	367970.0
batch	1820	test_loss	366618.0
batch	1840	test_loss	365119.0
batch	1860	test_loss	363799.0
batch	1880	test_loss	362591.0
batch	1900	test_loss	361487.0
batch	1920	test_loss	360397.0
batch	1940	test_loss	359268.0
batch	1960	test_loss	358193.0
batch	1980	test_loss	357152.0
batch	2000	test_loss	356162.0
batch	2020	test_loss	355282.0
batch	2040	test_loss	354140.0
batch	2060	test_loss	353236.0
batch	2080	test_loss	352381.0
batch	2100	test_loss	352184.0
batch	2120	test_loss	350666.0
batch	2140	test_loss	349683.0
batch	2160	test_loss	348782.0
batch	2180	test_loss	347890.0
batch	2200	test_loss	347029.0
batch	2220	test_loss	346160.0
batch	2240	test_loss	345308.0
batch	2260	test_loss	344555.0
batch	2280	test_loss	343729.0
batch	2300	test_loss	342908.0
batch	2320	test_loss	342096.0
batch	2340	test_loss	341263.0
batch	2360	test_loss	340504.0
batch	2380	test_loss	339740.0
batch	2400	test_loss	338979.0
batch	2420	test_loss	338174.0
batch	2440	test_loss	337382.0
batch	2460	test_loss	336658.0
batch	2480	test_loss	335893.0
batch	2500	test_loss	335130.0
batch	2520	test_loss	334423.0
batch	2540	test_loss	333650.0
batch	2560	test_loss	333002.0
batch	2580	test_loss	332231.0
batch	2600	test_loss	331471.0
batch	2620	test_loss	330776.0
batch	2640	test_loss	330019.0
batch	2660	test_loss	329338.0
batch	2680	test_loss	328665.0
batch	2700	test_loss	328002.0
batch	2720	test_loss	327324.0
batch	2740	test_loss	326584.0
batch	2760	test_loss	325881.0
batch	2780	test_loss	325219.0
batch	2800	test_loss	324589.0
batch	2820	test_loss	323937.0
batch	2840	test_loss	323314.0
batch	2860	test_loss	322647.0
batch	2880	test_loss	322191.0
batch	2900	test_loss	321414.0
batch	2920	test_loss	320803.0
batch	2940	test_loss	320124.0
batch	2960	test_loss	319493.0
batch	2980	test_loss	318921.0
batch	3000	test_loss	318353.0
batch	3020	test_loss	317726.0
batch	3040	test_loss	317121.0
batch	3060	test_loss	316493.0
batch	3080	test_loss	315923.0
batch	3100	test_loss	315437.0
batch	3120	test_loss	314821.0
batch	3140	test_loss	314241.0
batch	3160	test_loss	313643.0
batch	3180	test_loss	313219.0
batch	3200	test_loss	312669.0
batch	3220	test_loss	312102.0
batch	3240	test_loss	311502.0
batch	3260	test_loss	311024.0
batch	3280	test_loss	310450.0
batch	3300	test_loss	309921.0
batch	3320	test_loss	309389.0
batch	3340	test_loss	308959.0
batch	3360	test_loss	308317.0
batch	3380	test_loss	307778.0
batch	3400	test_loss	307286.0
batch	3420	test_loss	306819.0
batch	3440	test_loss	306352.0
batch	3460	test_loss	305791.0
batch	3480	test_loss	305292.0
batch	3500	test_loss	304847.0
batch	3520	test_loss	304361.0
batch	3540	test_loss	303970.0
batch	3560	test_loss	303496.0
batch	3580	test_loss	302986.0
batch	3600	test_loss	302560.0
batch	3620	test_loss	302158.0
batch	3640	test_loss	301718.0
batch	3660	test_loss	301228.0
batch	3680	test_loss	300837.0
batch	3700	test_loss	300446.0
batch	3720	test_loss	300023.0
batch	3740	test_loss	299711.0
batch	3760	test_loss	299258.0
batch	3780	test_loss	298851.0
batch	3800	test_loss	298426.0
batch	3820	test_loss	298108.0
batch	3840	test_loss	297679.0
batch	3860	test_loss	297308.0
batch	3880	test_loss	296965.0
batch	3900	test_loss	296593.0
batch	3920	test_loss	296225.0
batch	3940	test_loss	296002.0
batch	3960	test_loss	295754.0
batch	3980	test_loss	295338.0
batch	4000	test_loss	294863.0
batch	4020	test_loss	294641.0
batch	4040	test_loss	294370.0
batch	4060	test_loss	293962.0
batch	4080	test_loss	293629.0
batch	4100	test_loss	293357.0
batch	4120	test_loss	293037.0
batch	4140	test_loss	292820.0
batch	4160	test_loss	292408.0
batch	4180	test_loss	292147.0
batch	4200	test_loss	291877.0
batch	4220	test_loss	292192.0
batch	4240	test_loss	291479.0
batch	4260	test_loss	291102.0
batch	4280	test_loss	290831.0
batch	4300	test_loss	290592.0
batch	4320	test_loss	290313.0
batch	4340	test_loss	290032.0
batch	4360	test_loss	290093.0
batch	4380	test_loss	289606.0
batch	4400	test_loss	289354.0
batch	4420	test_loss	289061.0
batch	4440	test_loss	288840.0
batch	4460	test_loss	288609.0
batch	4480	test_loss	288423.0
batch	4500	test_loss	288214.0
batch	4520	test_loss	287983.0
batch	4540	test_loss	287786.0
batch	4560	test_loss	287605.0
batch	4580	test_loss	287382.0
batch	4600	test_loss	287223.0
batch	4620	test_loss	287215.0
batch	4640	test_loss	286786.0
batch	4660	test_loss	286603.0
batch	4680	test_loss	286409.0
batch	4700	test_loss	286256.0
batch	4720	test_loss	286014.0
batch	4740	test_loss	285923.0
batch	4760	test_loss	285769.0
batch	4780	test_loss	285548.0
batch	4800	test_loss	285335.0
batch	4820	test_loss	285370.0
batch	4840	test_loss	285086.0
batch	4860	test_loss	284997.0
batch	4880	test_loss	284858.0
batch	4900	test_loss	284658.0
batch	4920	test_loss	284649.0
batch	4940	test_loss	284285.0
batch	4960	test_loss	284257.0
batch	4980	test_loss	284056.0
batch	5000	test_loss	283872.0
batch	5020	test_loss	283816.0
batch	5040	test_loss	283844.0
batch	5060	test_loss	283595.0
batch	5080	test_loss	283452.0
batch	5100	test_loss	283355.0
batch	5120	test_loss	283196.0
batch	5140	test_loss	283094.0
batch	5160	test_loss	282926.0
batch	5180	test_loss	282785.0
batch	5200	test_loss	282669.0
batch	5220	test_loss	282566.0
batch	5240	test_loss	282607.0
batch	5260	test_loss	282362.0
batch	5280	test_loss	282356.0
batch	5300	test_loss	282313.0
batch	5320	test_loss	282082.0
batch	5340	test_loss	282033.0
batch	5360	test_loss	281877.0
batch	5380	test_loss	281791.0
batch	5400	test_loss	281653.0
batch	5420	test_loss	281603.0
batch	5440	test_loss	281623.0
batch	5460	test_loss	281555.0
batch	5480	test_loss	281362.0
batch	5500	test_loss	281253.0
batch	5520	test_loss	281165.0
batch	5540	test_loss	281040.0
batch	5560	test_loss	281139.0
batch	5580	test_loss	280914.0
batch	5600	test_loss	280932.0
batch	5620	test_loss	280828.0
batch	5640	test_loss	280727.0
batch	5660	test_loss	280642.0
batch	5680	test_loss	280564.0
batch	5700	test_loss	280531.0
batch	5720	test_loss	280526.0
batch	5740	test_loss	280486.0
batch	5760	test_loss	280295.0
batch	5780	test_loss	280249.0
batch	5800	test_loss	280173.0
batch	5820	test_loss	280195.0
batch	5840	test_loss	280176.0
batch	5860	test_loss	280085.0
batch	5880	test_loss	280004.0
batch	5900	test_loss	279863.0
batch	5920	test_loss	279869.0
batch	5940	test_loss	279820.0
batch	5960	test_loss	279781.0
batch	5980	test_loss	279694.0
batch	6000	test_loss	279597.0
batch	6020	test_loss	279640.0
batch	6040	test_loss	279499.0
batch	6060	test_loss	279455.0
batch	6080	test_loss	279449.0
batch	6100	test_loss	279389.0
batch	6120	test_loss	279312.0
batch	6140	test_loss	279232.0
batch	6160	test_loss	279320.0
batch	6180	test_loss	279298.0
batch	6200	test_loss	279197.0
batch	6220	test_loss	279086.0
batch	6240	test_loss	279024.0
batch	6260	test_loss	279053.0
batch	6280	test_loss	278961.0
batch	6300	test_loss	279048.0
