START
config	180	360
batch	0	test_loss	3.64818e+06
batch	20	test_loss	282473.0
batch	40	test_loss	112866.0
batch	60	test_loss	88605.4
batch	80	test_loss	84381.0
batch	100	test_loss	82122.3
batch	120	test_loss	80175.4
batch	140	test_loss	78292.4
batch	160	test_loss	76373.6
batch	180	test_loss	74481.9
batch	200	test_loss	72589.8
batch	220	test_loss	70708.4
batch	240	test_loss	68879.4
batch	260	test_loss	67088.2
batch	280	test_loss	65330.2
batch	300	test_loss	63593.3
batch	320	test_loss	61908.4
batch	340	test_loss	60281.4
batch	360	test_loss	58691.8
batch	380	test_loss	57163.5
batch	400	test_loss	55648.5
batch	420	test_loss	54170.3
batch	440	test_loss	52754.0
batch	460	test_loss	51393.2
batch	480	test_loss	50048.9
batch	500	test_loss	48768.9
batch	520	test_loss	47549.5
batch	540	test_loss	46344.5
batch	560	test_loss	45216.1
batch	580	test_loss	44106.5
batch	600	test_loss	43018.8
batch	620	test_loss	41965.6
batch	640	test_loss	40959.7
batch	660	test_loss	39985.9
batch	680	test_loss	39050.2
batch	700	test_loss	38137.0
batch	720	test_loss	37230.9
batch	740	test_loss	36379.9
batch	760	test_loss	35552.2
batch	780	test_loss	34744.4
batch	800	test_loss	33978.9
batch	820	test_loss	33269.0
batch	840	test_loss	32518.0
batch	860	test_loss	31822.0
batch	880	test_loss	31148.4
batch	900	test_loss	30523.9
batch	920	test_loss	29889.6
batch	940	test_loss	29268.9
batch	960	test_loss	28681.0
batch	980	test_loss	28122.1
batch	1000	test_loss	27591.1
batch	1020	test_loss	27057.6
batch	1040	test_loss	26540.4
batch	1060	test_loss	26056.5
batch	1080	test_loss	25603.3
batch	1100	test_loss	25143.0
batch	1120	test_loss	24688.2
batch	1140	test_loss	24260.5
batch	1160	test_loss	23846.2
batch	1180	test_loss	23424.6
batch	1200	test_loss	23051.9
batch	1220	test_loss	22676.0
batch	1240	test_loss	22319.3
batch	1260	test_loss	21972.1
batch	1280	test_loss	21629.4
batch	1300	test_loss	21298.6
batch	1320	test_loss	20980.6
batch	1340	test_loss	20675.3
batch	1360	test_loss	20380.7
batch	1380	test_loss	20103.9
batch	1400	test_loss	19799.6
batch	1420	test_loss	19530.8
batch	1440	test_loss	19297.7
batch	1460	test_loss	19043.7
batch	1480	test_loss	18805.2
batch	1500	test_loss	18543.1
batch	1520	test_loss	18327.5
batch	1540	test_loss	18101.8
batch	1560	test_loss	17883.5
batch	1580	test_loss	17674.3
batch	1600	test_loss	17468.9
batch	1620	test_loss	17272.1
batch	1640	test_loss	17077.9
batch	1660	test_loss	16902.1
batch	1680	test_loss	16724.4
batch	1700	test_loss	16541.6
batch	1720	test_loss	16388.3
batch	1740	test_loss	16216.8
batch	1760	test_loss	16064.6
batch	1780	test_loss	15935.3
batch	1800	test_loss	15753.0
batch	1820	test_loss	15608.2
batch	1840	test_loss	15464.6
batch	1860	test_loss	15320.0
batch	1880	test_loss	15194.6
batch	1900	test_loss	15050.4
batch	1920	test_loss	14927.8
batch	1940	test_loss	14805.9
batch	1960	test_loss	14689.4
batch	1980	test_loss	14559.9
batch	2000	test_loss	14436.7
batch	2020	test_loss	14346.3
batch	2040	test_loss	14228.5
batch	2060	test_loss	14134.1
batch	2080	test_loss	14010.5
batch	2100	test_loss	13911.0
batch	2120	test_loss	13798.6
batch	2140	test_loss	13730.4
batch	2160	test_loss	13622.1
batch	2180	test_loss	13540.0
batch	2200	test_loss	13413.8
batch	2220	test_loss	13357.5
batch	2240	test_loss	13260.7
batch	2260	test_loss	13156.3
batch	2280	test_loss	13080.5
batch	2300	test_loss	13012.3
batch	2320	test_loss	12910.4
batch	2340	test_loss	12847.7
batch	2360	test_loss	12789.1
batch	2380	test_loss	12713.2
batch	2400	test_loss	12611.4
batch	2420	test_loss	12553.9
batch	2440	test_loss	12475.8
batch	2460	test_loss	12420.3
batch	2480	test_loss	12353.2
batch	2500	test_loss	12279.6
batch	2520	test_loss	12213.2
batch	2540	test_loss	12148.6
batch	2560	test_loss	12095.8
batch	2580	test_loss	12064.9
batch	2600	test_loss	11962.8
batch	2620	test_loss	11913.0
batch	2640	test_loss	11869.9
batch	2660	test_loss	11803.1
batch	2680	test_loss	11756.8
batch	2700	test_loss	11701.3
batch	2720	test_loss	11650.6
batch	2740	test_loss	11610.9
batch	2760	test_loss	11547.1
batch	2780	test_loss	11502.6
batch	2800	test_loss	11431.6
batch	2820	test_loss	11397.9
batch	2840	test_loss	11365.8
batch	2860	test_loss	11304.5
batch	2880	test_loss	11255.7
batch	2900	test_loss	11205.9
batch	2920	test_loss	11173.3
batch	2940	test_loss	11121.7
batch	2960	test_loss	11089.7
batch	2980	test_loss	11024.3
batch	3000	test_loss	11010.8
batch	3020	test_loss	10968.1
batch	3040	test_loss	10912.2
batch	3060	test_loss	10896.3
batch	3080	test_loss	10851.7
batch	3100	test_loss	10808.2
batch	3120	test_loss	10757.6
batch	3140	test_loss	10752.8
batch	3160	test_loss	10715.6
batch	3180	test_loss	10666.4
batch	3200	test_loss	10637.1
batch	3220	test_loss	10612.8
batch	3240	test_loss	10593.6
batch	3260	test_loss	10544.8
batch	3280	test_loss	10526.4
batch	3300	test_loss	10485.7
batch	3320	test_loss	10459.0
batch	3340	test_loss	10416.9
batch	3360	test_loss	10375.6
batch	3380	test_loss	10370.5
batch	3400	test_loss	10351.7
batch	3420	test_loss	10304.0
batch	3440	test_loss	10283.8
batch	3460	test_loss	10249.9
batch	3480	test_loss	10250.9
batch	3500	test_loss	10200.9
batch	3520	test_loss	10171.0
batch	3540	test_loss	10146.4
batch	3560	test_loss	10129.1
batch	3580	test_loss	10111.1
batch	3600	test_loss	10084.9
batch	3620	test_loss	10090.0
batch	3640	test_loss	10030.9
batch	3660	test_loss	10028.9
batch	3680	test_loss	10023.2
batch	3700	test_loss	9959.21
batch	3720	test_loss	9947.04
