START
config	180	470
batch	0	valid_loss	2.4419e+07
batch	20	valid_loss	1.65813e+06
batch	40	valid_loss	593729.0
batch	60	valid_loss	434252.0
batch	80	valid_loss	409995.0
batch	100	valid_loss	401106.0
batch	120	valid_loss	394126.0
batch	140	valid_loss	387386.0
batch	160	valid_loss	380238.0
batch	180	valid_loss	373094.0
batch	200	valid_loss	365842.0
batch	220	valid_loss	358742.0
batch	240	valid_loss	351475.0
batch	260	valid_loss	344500.0
batch	280	valid_loss	338017.0
batch	300	valid_loss	331467.0
batch	320	valid_loss	325039.0
batch	340	valid_loss	318840.0
batch	360	valid_loss	312802.0
batch	380	valid_loss	306934.0
batch	400	valid_loss	301382.0
batch	420	valid_loss	295443.0
batch	440	valid_loss	289828.0
batch	460	valid_loss	284304.0
batch	480	valid_loss	278900.0
batch	500	valid_loss	273373.0
batch	520	valid_loss	268178.0
batch	540	valid_loss	262921.0
batch	560	valid_loss	257927.0
batch	580	valid_loss	252986.0
batch	600	valid_loss	248048.0
batch	620	valid_loss	243266.0
batch	640	valid_loss	238754.0
batch	660	valid_loss	234248.0
batch	680	valid_loss	229797.0
batch	700	valid_loss	225426.0
batch	720	valid_loss	221370.0
batch	740	valid_loss	217369.0
batch	760	valid_loss	213350.0
batch	780	valid_loss	209467.0
batch	800	valid_loss	205703.0
batch	820	valid_loss	202102.0
batch	840	valid_loss	198519.0
batch	860	valid_loss	194993.0
batch	880	valid_loss	191734.0
batch	900	valid_loss	188360.0
batch	920	valid_loss	185191.0
batch	940	valid_loss	182113.0
batch	960	valid_loss	179020.0
batch	980	valid_loss	176082.0
batch	1000	valid_loss	173159.0
batch	1020	valid_loss	170392.0
batch	1040	valid_loss	167615.0
batch	1060	valid_loss	164908.0
batch	1080	valid_loss	162327.0
batch	1100	valid_loss	159786.0
batch	1120	valid_loss	157310.0
batch	1140	valid_loss	155001.0
batch	1160	valid_loss	152530.0
batch	1180	valid_loss	150350.0
batch	1200	valid_loss	148009.0
batch	1220	valid_loss	145958.0
batch	1240	valid_loss	143802.0
batch	1260	valid_loss	141771.0
batch	1280	valid_loss	139814.0
batch	1300	valid_loss	137832.0
batch	1320	valid_loss	135907.0
batch	1340	valid_loss	134167.0
batch	1360	valid_loss	132363.0
batch	1380	valid_loss	130618.0
batch	1400	valid_loss	128896.0
batch	1420	valid_loss	127154.0
batch	1440	valid_loss	125654.0
batch	1460	valid_loss	124011.0
batch	1480	valid_loss	122439.0
batch	1500	valid_loss	120900.0
batch	1520	valid_loss	119498.0
batch	1540	valid_loss	117944.0
batch	1560	valid_loss	116564.0
batch	1580	valid_loss	115284.0
batch	1600	valid_loss	113838.0
batch	1620	valid_loss	112587.0
batch	1640	valid_loss	111303.0
batch	1660	valid_loss	110165.0
batch	1680	valid_loss	108905.0
batch	1700	valid_loss	107695.0
batch	1720	valid_loss	106627.0
batch	1740	valid_loss	105438.0
batch	1760	valid_loss	104379.0
batch	1780	valid_loss	103231.0
batch	1800	valid_loss	102193.0
batch	1820	valid_loss	101090.0
batch	1840	valid_loss	100179.0
batch	1860	valid_loss	99186.7
batch	1880	valid_loss	98291.6
batch	1900	valid_loss	97393.7
batch	1920	valid_loss	96396.6
batch	1940	valid_loss	95517.2
batch	1960	valid_loss	94601.9
batch	1980	valid_loss	93847.5
batch	2000	valid_loss	92902.9
batch	2020	valid_loss	92151.0
batch	2040	valid_loss	91321.4
batch	2060	valid_loss	90554.8
batch	2080	valid_loss	89767.7
batch	2100	valid_loss	88993.9
batch	2120	valid_loss	88254.9
batch	2140	valid_loss	87508.7
batch	2160	valid_loss	86790.3
batch	2180	valid_loss	86112.9
batch	2200	valid_loss	85490.2
batch	2220	valid_loss	84866.5
batch	2240	valid_loss	84175.6
batch	2260	valid_loss	83603.0
batch	2280	valid_loss	82978.6
batch	2300	valid_loss	82316.6
batch	2320	valid_loss	81735.3
batch	2340	valid_loss	81144.4
batch	2360	valid_loss	80598.6
batch	2380	valid_loss	80058.3
batch	2400	valid_loss	79443.1
batch	2420	valid_loss	79013.4
batch	2440	valid_loss	78409.8
batch	2460	valid_loss	77950.1
batch	2480	valid_loss	77374.7
batch	2500	valid_loss	76894.2
