START
config	180	360
batch	0	test_loss	101006.0
batch	20	test_loss	82983.2
batch	40	test_loss	77732.7
batch	60	test_loss	73625.1
batch	80	test_loss	69520.7
batch	100	test_loss	65376.2
batch	120	test_loss	60955.0
batch	140	test_loss	56390.4
batch	160	test_loss	51882.9
batch	180	test_loss	47414.6
batch	200	test_loss	43244.1
batch	220	test_loss	39320.6
batch	240	test_loss	35810.2
batch	260	test_loss	32700.7
batch	280	test_loss	29890.4
batch	300	test_loss	27458.1
batch	320	test_loss	25345.2
batch	340	test_loss	23514.7
batch	360	test_loss	21867.2
batch	380	test_loss	20434.6
batch	400	test_loss	19221.3
batch	420	test_loss	18159.0
batch	440	test_loss	17274.7
batch	460	test_loss	16530.3
batch	480	test_loss	15888.4
batch	500	test_loss	15345.7
batch	520	test_loss	14932.5
batch	540	test_loss	14594.3
batch	560	test_loss	14288.4
batch	580	test_loss	14020.6
batch	600	test_loss	13823.2
batch	620	test_loss	13642.5
batch	640	test_loss	13477.6
batch	660	test_loss	13380.8
batch	680	test_loss	13256.1
batch	700	test_loss	13159.3
batch	720	test_loss	13126.1
batch	740	test_loss	13054.8
batch	760	test_loss	12976.3
batch	780	test_loss	12920.1
batch	800	test_loss	12883.0
batch	820	test_loss	12832.4
batch	840	test_loss	12850.5
batch	860	test_loss	12872.8
batch	880	test_loss	12814.2
batch	900	test_loss	12761.0
batch	920	test_loss	12767.9
batch	940	test_loss	12741.0
batch	960	test_loss	12751.5
batch	980	test_loss	12698.6
batch	1000	test_loss	12700.5
batch	1020	test_loss	12691.3
batch	1040	test_loss	12685.7
batch	1060	test_loss	12664.8
batch	1080	test_loss	12672.5
batch	1100	test_loss	12653.5
batch	1120	test_loss	12672.3
batch	1140	test_loss	12660.7
batch	1160	test_loss	12699.0
batch	1180	test_loss	12660.5
batch	1200	test_loss	12668.5
batch	1220	test_loss	12664.3
batch	1240	test_loss	12709.4
batch	1260	test_loss	12670.2
batch	1280	test_loss	12661.9
batch	1300	test_loss	12652.4
batch	1320	test_loss	12717.9
batch	1340	test_loss	12644.0
batch	1360	test_loss	12647.0
batch	1380	test_loss	12677.3
batch	1400	test_loss	12681.6
batch	1420	test_loss	12673.3
batch	1440	test_loss	12688.0
batch	1460	test_loss	12667.7
batch	1480	test_loss	12633.0
batch	1500	test_loss	12662.8
batch	1520	test_loss	12679.1
batch	1540	test_loss	12640.2
batch	1560	test_loss	12664.0
batch	1580	test_loss	12657.2
batch	1600	test_loss	12716.5
batch	1620	test_loss	12735.5
batch	1640	test_loss	12690.0
batch	1660	test_loss	12691.7
batch	1680	test_loss	12682.9
batch	1700	test_loss	12680.0
batch	1720	test_loss	12659.5
batch	1740	test_loss	12649.4
batch	1760	test_loss	12662.4
