START
config	180	480
batch	0	valid_loss	36515.5
batch	20	valid_loss	29365.1
batch	40	valid_loss	27455.4
batch	60	valid_loss	26062.8
batch	80	valid_loss	24688.8
batch	100	valid_loss	23247.9
batch	120	valid_loss	21799.6
batch	140	valid_loss	20292.2
batch	160	valid_loss	18721.9
batch	180	valid_loss	17213.0
batch	200	valid_loss	15727.1
batch	220	valid_loss	14384.1
batch	240	valid_loss	13112.8
batch	260	valid_loss	12004.2
batch	280	valid_loss	10996.7
batch	300	valid_loss	10107.0
batch	320	valid_loss	9328.74
batch	340	valid_loss	8654.66
batch	360	valid_loss	8040.19
batch	380	valid_loss	7509.37
batch	400	valid_loss	7051.86
batch	420	valid_loss	6640.55
batch	440	valid_loss	6292.98
batch	460	valid_loss	5997.54
batch	480	valid_loss	5733.05
batch	500	valid_loss	5515.75
batch	520	valid_loss	5330.68
batch	540	valid_loss	5177.78
batch	560	valid_loss	5046.12
batch	580	valid_loss	4933.92
batch	600	valid_loss	4838.32
batch	620	valid_loss	4775.45
batch	640	valid_loss	4706.0
batch	660	valid_loss	4649.6
batch	680	valid_loss	4617.44
batch	700	valid_loss	4579.49
batch	720	valid_loss	4541.29
batch	740	valid_loss	4518.14
batch	760	valid_loss	4495.28
batch	780	valid_loss	4473.78
batch	800	valid_loss	4464.7
batch	820	valid_loss	4451.15
batch	840	valid_loss	4439.92
batch	860	valid_loss	4425.96
batch	880	valid_loss	4420.44
batch	900	valid_loss	4412.23
batch	920	valid_loss	4406.13
batch	940	valid_loss	4399.33
batch	960	valid_loss	4399.6
batch	980	valid_loss	4388.46
batch	1000	valid_loss	4391.59
batch	1020	valid_loss	4387.9
batch	1040	valid_loss	4385.07
batch	1060	valid_loss	4377.2
batch	1080	valid_loss	4381.74
batch	1100	valid_loss	4376.05
batch	1120	valid_loss	4374.4
batch	1140	valid_loss	4378.11
batch	1160	valid_loss	4371.49
batch	1180	valid_loss	4374.22
batch	1200	valid_loss	4372.31
batch	1220	valid_loss	4374.77
batch	1240	valid_loss	4375.04
batch	1260	valid_loss	4371.72
batch	1280	valid_loss	4368.17
batch	1300	valid_loss	4374.97
batch	1320	valid_loss	4372.59
batch	1340	valid_loss	4366.45
batch	1360	valid_loss	4367.34
batch	1380	valid_loss	4370.97
batch	1400	valid_loss	4369.57
batch	1420	valid_loss	4375.67
batch	1440	valid_loss	4366.08
batch	1460	valid_loss	4365.0
batch	1480	valid_loss	4373.24
batch	1500	valid_loss	4368.39
batch	1520	valid_loss	4370.29
batch	1540	valid_loss	4370.65
batch	1560	valid_loss	4369.72
batch	1580	valid_loss	4372.6
batch	1600	valid_loss	4378.61
batch	1620	valid_loss	4368.19
batch	1640	valid_loss	4380.82
batch	1660	valid_loss	4373.02
batch	1680	valid_loss	4372.45
batch	1700	valid_loss	4373.9
batch	1720	valid_loss	4374.46
batch	1740	valid_loss	4375.94
batch	1760	valid_loss	4381.19
batch	1780	valid_loss	4375.32
batch	1800	valid_loss	4369.98
batch	1820	valid_loss	4377.65
batch	1840	valid_loss	4376.0
batch	1860	valid_loss	4375.1
batch	1880	valid_loss	4378.16
batch	1900	valid_loss	4372.26
batch	1920	valid_loss	4370.82
batch	1940	valid_loss	4379.36
batch	1960	valid_loss	4369.44
batch	1980	valid_loss	4381.55
batch	2000	valid_loss	4379.14
batch	2020	valid_loss	4374.77
batch	2040	valid_loss	4371.35
batch	2060	valid_loss	4377.61
batch	2080	valid_loss	4373.59
batch	2100	valid_loss	4381.65
batch	2120	valid_loss	4374.41
batch	2140	valid_loss	4373.04
batch	2160	valid_loss	4374.73
batch	2180	valid_loss	4377.84
batch	2200	valid_loss	4371.39
batch	2220	valid_loss	4381.17
batch	2240	valid_loss	4374.87
batch	2260	valid_loss	4370.97
