START
config	180	960
batch	0	valid_loss	8445284.125
batch	30	valid_loss	245756.521484
batch	60	valid_loss	101091.045898
batch	90	valid_loss	94123.8183594
batch	120	valid_loss	92631.3857422
batch	150	valid_loss	91263.7167969
batch	180	valid_loss	89782.2514648
batch	210	valid_loss	88176.8710938
batch	240	valid_loss	86381.8178711
batch	270	valid_loss	84648.956543
batch	300	valid_loss	83020.9282227
batch	330	valid_loss	81529.1567383
batch	360	valid_loss	80174.3754883
batch	390	valid_loss	78825.7275391
batch	420	valid_loss	77461.0239258
batch	450	valid_loss	76149.546875
batch	480	valid_loss	74787.1772461
batch	510	valid_loss	73436.715332
batch	540	valid_loss	72081.3276367
batch	570	valid_loss	70713.9091797
batch	600	valid_loss	69332.402832
batch	630	valid_loss	67986.1806641
batch	660	valid_loss	66619.8139648
batch	690	valid_loss	65241.0683594
batch	720	valid_loss	63926.8896484
batch	750	valid_loss	62625.3168945
batch	780	valid_loss	61347.2895508
batch	810	valid_loss	60107.0043945
batch	840	valid_loss	58864.5424805
batch	870	valid_loss	57686.1025391
batch	900	valid_loss	56466.3774414
batch	930	valid_loss	55319.453125
batch	960	valid_loss	54252.3466797
batch	990	valid_loss	53163.1542969
batch	1020	valid_loss	52110.8032227
batch	1050	valid_loss	51114.4663086
batch	1080	valid_loss	50106.1679688
batch	1110	valid_loss	49163.0258789
batch	1140	valid_loss	48242.6069336
batch	1170	valid_loss	47338.3444824
batch	1200	valid_loss	46462.0192871
batch	1230	valid_loss	45642.1945801
batch	1260	valid_loss	44787.3908691
batch	1290	valid_loss	43984.8173828
batch	1320	valid_loss	43245.8754883
batch	1350	valid_loss	42506.3354492
batch	1380	valid_loss	41754.0080566
batch	1410	valid_loss	41047.690918
batch	1440	valid_loss	40394.1159668
batch	1470	valid_loss	39711.7871094
batch	1500	valid_loss	39038.0422363
batch	1530	valid_loss	38414.1281738
batch	1560	valid_loss	37809.6657715
batch	1590	valid_loss	37180.8374023
batch	1620	valid_loss	36616.8342285
batch	1650	valid_loss	36075.5983887
batch	1680	valid_loss	35479.0187988
batch	1710	valid_loss	34949.0187988
batch	1740	valid_loss	34422.6257324
batch	1770	valid_loss	33934.1049805
batch	1800	valid_loss	33399.3664551
batch	1830	valid_loss	32921.5722656
batch	1860	valid_loss	32478.9580078
batch	1890	valid_loss	31976.4521484
batch	1920	valid_loss	31550.9926758
batch	1950	valid_loss	31109.2788086
batch	1980	valid_loss	30708.1420898
batch	2010	valid_loss	30262.6809082
batch	2040	valid_loss	29866.3596191
batch	2070	valid_loss	29477.4780273
batch	2100	valid_loss	29089.0512695
batch	2130	valid_loss	28734.901123
batch	2160	valid_loss	28383.4985352
batch	2190	valid_loss	28019.6762695
batch	2220	valid_loss	27689.8991699
batch	2250	valid_loss	27356.3754883
batch	2280	valid_loss	27038.434082
batch	2310	valid_loss	26704.9338379
batch	2340	valid_loss	26435.0058594
batch	2370	valid_loss	26154.0551758
batch	2400	valid_loss	25843.668457
batch	2430	valid_loss	25554.6894531
