	Experiment	Encoded_len	Uniq_words	Variational	Uniq	Layernum	Train_char_acc	Valid_char_acc	Test_char_acc	Test_word_acc	Test_Leven_avg	Train_Leven_avg	Valid_Leven_avg	Layers
0	uniq_variational_top_uni__20170426181649	20	200000	True	True	2	0.6993986607142857	0.6983175	0.7017475	0.00075	5.95695	5.9957125	6.01855	[20, 960]
1	uniq_variational_top_uni__20170426181649	20	200000	True	True	2	0.6993285714285714	0.698235	0.7015575	0.00095	5.9583	5.99704375	6.02055	[20, 960]
2	uniq_autoencoder_top_uni__20170426181705	20	200000	False	True	2	0.6968246875	0.696345	0.6949125	0.00055	6.0891	6.05071875	6.0611	[20, 960]
3	uniq_autoencoder_top_uni__20170426181705	20	200000	False	True	2	0.6957278125	0.695835	0.6943625	0.00055	6.09915	6.0720125	6.0701	[20, 960]
4	uniq_autoencoder_top_uni__20170426182211	40	200000	False	True	2	0.766488125	0.7659125	0.7648675	0.0072	4.69485	4.6630125	4.67475	[40, 960]
5	uniq_autoencoder_top_uni__20170426182211	40	200000	False	True	2	0.76531	0.764845	0.7638175	0.00715	4.7156	4.68705625	4.69625	[40, 960]
6	uniq_variational_top_uni__20170426182341	40	200000	True	True	2	0.7669049107142857	0.76596	0.768895	0.00715	4.61985	4.65045	4.6737	[40, 960]
7	uniq_variational_top_uni__20170426182341	40	200000	True	True	2	0.7663035714285714	0.76543	0.76823	0.0065	4.62915	4.6641875	4.6876	[40, 960]
8	uniq_autoencoder_top_uni__20170426182714	60	200000	False	True	2	0.81568375	0.814975	0.813835	0.0247	3.71915	3.6829375	3.69745	[60, 960]
9	uniq_autoencoder_top_uni__20170426182714	60	200000	False	True	2	0.8155653125	0.81511	0.814045	0.0245	3.71555	3.685225	3.69505	[60, 960]
10	uniq_variational_top_uni__20170426182915	60	200000	True	True	2	0.812796875	0.8123325	0.814685	0.0245	3.7004	3.73439375	3.7495	[60, 960]
11	uniq_variational_top_uni__20170426182915	60	200000	True	True	2	0.8126924107142857	0.8121875	0.8144725	0.02485	3.70435	3.73580625	3.74955	[60, 960]
12	uniq_autoencoder_top_uni__20170426182925	20	200000	False	True	4	0.79346625	0.7924325	0.7929525	0.0141	4.13075	4.1217375	4.14135	[220, 20, 220, 960]
13	uniq_autoencoder_top_uni__20170426182925	20	200000	False	True	4	0.80090625	0.79938	0.8010325	0.01685	3.97285	3.975375	4.0059	[220, 20, 220, 960]
